,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년08월_계_총인구수,"347,262","8,372","4,178","7,783","2,256","1,942","2,642","1,623","1,527","1,493","3,298","21,401","4,803","1,641","4,082","1,087","2,232","27,951","10,950","11,486","14,460","20,194","25,359","12,008","27,114","28,192","12,023","12,311","21,655","26,471","26,728"
2020년08월_계_연령구간인구수,"347,262","8,372","4,178","7,783","2,256","1,942","2,642","1,623","1,527","1,493","3,298","21,401","4,803","1,641","4,082","1,087","2,232","27,951","10,950","11,486","14,460","20,194","25,359","12,008","27,114","28,192","12,023","12,311","21,655","26,471","26,728"
2020년08월_계_0~9세,"28,820",665,389,875,42,50,100,28,37,41,63,"2,291",263,20,150,27,61,"1,649",499,365,655,"1,105","1,481",819,"3,498","2,226",687,728,"2,619","2,434","4,953"
2020년08월_계_10~19세,"35,453",686,473,474,118,60,194,51,52,75,161,"2,833",422,63,203,46,110,"2,570",751,708,"1,122","1,665","2,632","1,114","4,071","3,623","1,160","1,297","3,016","2,689","3,014"
2020년08월_계_20~29세,"44,764",819,409,"1,006",161,133,224,77,70,107,214,"2,294",448,84,361,110,139,"4,261","1,454","1,103","1,842","2,958","3,897","1,536","3,360","4,173","1,691","1,634","2,365","4,971","2,863"
2020년08월_계_30~39세,"41,986",952,431,"1,483",132,128,189,74,87,73,180,"2,552",409,57,233,56,105,"2,778","1,287",894,"1,396","2,256","2,704","1,450","3,812","3,104","1,208","1,118","2,769","4,058","6,011"
2020년08월_계_40~49세,"54,524","1,110",690,"1,060",188,153,304,115,157,161,292,"3,888",660,126,439,104,224,"4,034","1,608","1,465","1,988","2,922","3,844","1,816","5,327","4,895","1,667","1,841","4,116","4,152","5,178"
2020년08월_계_50~59세,"57,786","1,449",683,"1,209",391,360,490,284,230,259,596,"3,395",891,305,791,197,424,"4,621","1,851","2,064","2,700","3,717","5,146","2,129","4,024","5,223","2,147","2,390","3,248","3,857","2,715"
2020년08월_계_60~69세,"44,424","1,340",559,926,461,469,499,403,348,293,685,"2,318",786,370,937,235,482,"3,950","1,847","2,359","2,447","3,092","3,431","1,835","1,780","2,755","1,921","1,861","2,106","2,557","1,372"
2020년08월_계_70~79세,"25,551",818,331,453,419,293,367,321,312,255,597,"1,178",549,324,582,165,366,"2,733","1,094","1,749","1,562","1,768","1,521",942,833,"1,374","1,014","1,001",974,"1,222",434
2020년08월_계_80~89세,"12,169",453,181,242,291,256,248,236,209,189,434,577,332,259,334,125,294,"1,176",478,676,665,648,619,324,360,714,465,374,391,463,156
2020년08월_계_90~99세,"1,691",78,30,51,52,38,26,34,25,39,73,74,41,32,49,21,26,163,74,85,80,62,81,41,42,104,62,62,50,66,30
2020년08월_계_100세 이상,94,2,2,4,1,2,1,0,0,1,3,1,2,1,3,1,1,16,7,18,3,1,3,2,7,1,1,5,1,2,2
2020년08월_남_총인구수,"171,852","4,243","2,087","3,991","1,065",942,"1,287",812,757,749,"1,634","10,755","2,405",791,"2,028",523,"1,079","13,713","5,406","5,575","7,107","10,016","12,697","6,097","13,731","13,557","5,760","6,068","10,364","13,346","13,267"
2020년08월_남_연령구간인구수,"171,852","4,243","2,087","3,991","1,065",942,"1,287",812,757,749,"1,634","10,755","2,405",791,"2,028",523,"1,079","13,713","5,406","5,575","7,107","10,016","12,697","6,097","13,731","13,557","5,760","6,068","10,364","13,346","13,267"
2020년08월_남_0~9세,"14,979",363,215,444,18,25,47,20,15,19,35,"1,208",139,8,78,11,33,859,267,196,373,562,784,387,"1,888","1,142",366,387,"1,329","1,289","2,472"
2020년08월_남_10~19세,"18,692",360,233,252,66,29,104,32,33,33,88,"1,493",217,37,104,24,61,"1,423",394,399,598,856,"1,406",560,"2,285","1,881",610,718,"1,459","1,371","1,566"
2020년08월_남_20~29세,"24,704",459,212,565,95,72,139,53,42,70,144,"1,331",263,50,202,62,70,"2,326",774,629,966,"1,652","2,193",873,"1,861","2,231",882,944,"1,262","2,850","1,432"
2020년08월_남_30~39세,"21,409",502,212,794,78,74,92,48,48,44,96,"1,269",203,32,136,27,53,"1,474",695,515,743,"1,208","1,487",768,"1,780","1,523",625,558,"1,265","2,153","2,907"
2020년08월_남_40~49세,"27,162",607,339,587,119,96,175,75,113,111,190,"1,898",353,83,243,62,148,"1,999",856,819,"1,080","1,481","1,815",965,"2,466","2,146",792,860,"1,965","2,030","2,689"
2020년08월_남_50~59세,"28,480",761,363,564,214,199,258,173,135,152,343,"1,688",491,175,418,109,238,"2,232",887,"1,022","1,322","1,763","2,453","1,076","2,057","2,514",983,"1,151","1,580","1,850","1,309"
2020년08월_남_60~69세,"21,249",709,292,500,234,237,257,210,173,147,335,"1,136",403,204,477,131,256,"1,772",852,"1,043","1,118","1,401","1,666",899,917,"1,318",863,877,997,"1,181",644
2020년08월_남_70~79세,"11,147",350,167,213,151,124,150,130,140,122,266,535,227,132,258,67,140,"1,186",496,734,681,825,701,437,365,548,457,460,388,492,205
2020년08월_남_80~89세,"3,709",117,49,67,84,77,59,64,53,46,121,185,102,64,102,28,75,398,173,197,214,255,177,123,100,234,168,103,111,122,41
2020년08월_남_90~99세,299,15,4,5,6,9,5,7,5,5,15,12,7,6,9,2,5,38,11,18,12,13,13,9,9,20,13,9,8,7,2
2020년08월_남_100세 이상,22,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,3,0,0,2,0,3,0,1,1,0,1,0
2020년08월_여_총인구수,"175,410","4,129","2,091","3,792","1,191","1,000","1,355",811,770,744,"1,664","10,646","2,398",850,"2,054",564,"1,153","14,238","5,544","5,911","7,353","10,178","12,662","5,911","13,383","14,635","6,263","6,243","11,291","13,125","13,461"
2020년08월_여_연령구간인구수,"175,410","4,129","2,091","3,792","1,191","1,000","1,355",811,770,744,"1,664","10,646","2,398",850,"2,054",564,"1,153","14,238","5,544","5,911","7,353","10,178","12,662","5,911","13,383","14,635","6,263","6,243","11,291","13,125","13,461"
2020년08월_여_0~9세,"13,841",302,174,431,24,25,53,8,22,22,28,"1,083",124,12,72,16,28,790,232,169,282,543,697,432,"1,610","1,084",321,341,"1,290","1,145","2,481"
2020년08월_여_10~19세,"16,761",326,240,222,52,31,90,19,19,42,73,"1,340",205,26,99,22,49,"1,147",357,309,524,809,"1,226",554,"1,786","1,742",550,579,"1,557","1,318","1,448"
2020년08월_여_20~29세,"20,060",360,197,441,66,61,85,24,28,37,70,963,185,34,159,48,69,"1,935",680,474,876,"1,306","1,704",663,"1,499","1,942",809,690,"1,103","2,121","1,431"
2020년08월_여_30~39세,"20,577",450,219,689,54,54,97,26,39,29,84,"1,283",206,25,97,29,52,"1,304",592,379,653,"1,048","1,217",682,"2,032","1,581",583,560,"1,504","1,905","3,104"
2020년08월_여_40~49세,"27,362",503,351,473,69,57,129,40,44,50,102,"1,990",307,43,196,42,76,"2,035",752,646,908,"1,441","2,029",851,"2,861","2,749",875,981,"2,151","2,122","2,489"
2020년08월_여_50~59세,"29,306",688,320,645,177,161,232,111,95,107,253,"1,707",400,130,373,88,186,"2,389",964,"1,042","1,378","1,954","2,693","1,053","1,967","2,709","1,164","1,239","1,668","2,007","1,406"
2020년08월_여_60~69세,"23,175",631,267,426,227,232,242,193,175,146,350,"1,182",383,166,460,104,226,"2,178",995,"1,316","1,329","1,691","1,765",936,863,"1,437","1,058",984,"1,109","1,376",728
2020년08월_여_70~79세,"14,404",468,164,240,268,169,217,191,172,133,331,643,322,192,324,98,226,"1,547",598,"1,015",881,943,820,505,468,826,557,541,586,730,229
