카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년08월_계_총인구수,"262,300","25,772","36,110","20,924","6,060","5,571","3,363","3,765","3,023","10,151","6,668","20,377","37,073","29,955","16,141","37,347"
2020년08월_계_연령구간인구수,"262,300","25,772","36,110","20,924","6,060","5,571","3,363","3,765","3,023","10,151","6,668","20,377","37,073","29,955","16,141","37,347"
2020년08월_계_0~9세,"20,881","1,735","2,491","2,381",191,146,79,111,88,613,246,"2,104","2,988","3,331","1,072","3,305"
2020년08월_계_10~19세,"22,806","2,776","3,650","1,171",293,254,104,158,115,609,418,"2,016","4,069","2,278",819,"4,076"
2020년08월_계_20~29세,"35,743","3,830","5,312","3,133",536,478,212,272,266,"1,601","1,023","2,114","4,506","3,790","3,660","5,010"
2020년08월_계_30~39세,"33,393","2,617","3,953","4,220",506,421,211,235,194,"1,218",696,"2,849","4,133","4,571","2,824","4,745"
2020년08월_계_40~49세,"41,539","4,102","6,441","3,000",651,628,272,404,291,"1,353",854,"3,548","6,582","4,557","2,249","6,607"
2020년08월_계_50~59세,"44,605","4,240","6,852","2,845","1,209","1,079",633,740,607,"1,938","1,307","3,060","6,299","5,108","2,431","6,257"
2020년08월_계_60~69세,"33,954","3,240","3,904","2,266","1,368","1,245",835,843,693,"1,708","1,102","2,510","4,696","3,560","1,782","4,202"
2020년08월_계_70~79세,"19,177","2,082","2,251","1,229",807,823,595,558,479,767,648,"1,498","2,550","1,924",874,"2,092"
2020년08월_계_80~89세,"9,094","1,034","1,147",607,437,444,368,384,241,307,337,599,"1,110",749,386,944
2020년08월_계_90~99세,"1,040",104,102,68,55,51,52,57,47,35,34,70,134,83,42,106
2020년08월_계_100세 이상,68,12,7,4,7,2,2,3,2,2,3,9,6,4,2,3
2020년08월_남_총인구수,"132,072","12,935","18,795","11,090","3,232","2,837","1,773","1,950","1,542","4,926","3,313","10,027","17,765","14,406","8,780","18,701"
2020년08월_남_연령구간인구수,"132,072","12,935","18,795","11,090","3,232","2,837","1,773","1,950","1,542","4,926","3,313","10,027","17,765","14,406","8,780","18,701"
2020년08월_남_0~9세,"10,653",924,"1,276","1,245",112,73,42,55,45,297,135,"1,066","1,461","1,658",562,"1,702"
2020년08월_남_10~19세,"11,849","1,459","1,872",607,150,133,55,82,67,320,232,"1,097","1,996","1,142",443,"2,194"
2020년08월_남_20~29세,"19,649","2,138","3,017","1,746",318,280,140,161,164,838,555,"1,137","2,337","2,016","2,027","2,775"
2020년08월_남_30~39세,"17,885","1,423","2,240","2,374",284,266,138,140,109,626,402,"1,449","2,015","2,247","1,721","2,451"
2020년08월_남_40~49세,"21,258","2,003","3,325","1,732",396,384,177,240,175,649,434,"1,773","3,195","2,205","1,298","3,272"
2020년08월_남_50~59세,"22,432","2,182","3,696","1,462",684,539,351,420,329,913,654,"1,473","3,026","2,341","1,275","3,087"
2020년08월_남_60~69세,"16,569","1,557","2,008","1,149",735,641,463,464,342,824,532,"1,152","2,210","1,620",872,"2,000"
2020년08월_남_70~79세,"8,422",863,949,554,393,370,278,261,228,355,256,635,"1,083",858,442,897
2020년08월_남_80~89세,"3,113",362,381,205,146,142,121,114,69,97,104,226,410,296,133,307
2020년08월_남_90~99세,230,22,31,16,10,9,8,13,12,7,9,17,32,22,6,16
2020년08월_남_100세 이상,12,2,0,0,4,0,0,0,2,0,0,2,0,1,1,0
2020년08월_여_총인구수,"130,228","12,837","17,315","9,834","2,828","2,734","1,590","1,815","1,481","5,225","3,355","10,350","19,308","15,549","7,361","18,646"
2020년08월_여_연령구간인구수,"130,228","12,837","17,315","9,834","2,828","2,734","1,590","1,815","1,481","5,225","3,355","10,350","19,308","15,549","7,361","18,646"
2020년08월_여_0~9세,"10,228",811,"1,215","1,136",79,73,37,56,43,316,111,"1,038","1,527","1,673",510,"1,603"
2020년08월_여_10~19세,"10,957","1,317","1,778",564,143,121,49,76,48,289,186,919,"2,073","1,136",376,"1,882"
2020년08월_여_20~29세,"16,094","1,692","2,295","1,387",218,198,72,111,102,763,468,977,"2,169","1,774","1,633","2,235"
2020년08월_여_30~39세,"15,508","1,194","1,713","1,846",222,155,73,95,85,592,294,"1,400","2,118","2,324","1,103","2,294"
2020년08월_여_40~49세,"20,281","2,099","3,116","1,268",255,244,95,164,116,704,420,"1,775","3,387","2,352",951,"3,335"
2020년08월_여_50~59세,"22,173","2,058","3,156","1,383",525,540,282,320,278,"1,025",653,"1,587","3,273","2,767","1,156","3,170"
2020년08월_여_60~69세,"17,385","1,683","1,896","1,117",633,604,372,379,351,884,570,"1,358","2,486","1,940",910,"2,202"
2020년08월_여_70~79세,"10,755","1,219","1,302",675,414,453,317,297,251,412,392,863,"1,467","1,066",432,"1,195"
2020년08월_여_80~89세,"5,981",672,766,402,291,302,247,270,172,210,233,373,700,453,253,637
2020년08월_여_90~99세,810,82,71,52,45,42,44,44,35,28,25,53,102,61,36,90
2020년08월_여_100세 이상,56,10,7,4,3,2,2,3,0,2,3,7,6,3,1,3
