카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2020년02월_계_총인구수,"343,788","343,788"
2020년02월_계_연령구간인구수,"343,788","343,788"
2020년02월_계_0~9세,"47,454","47,454"
2020년02월_계_10~19세,"40,574","40,574"
2020년02월_계_20~29세,"36,273","36,273"
2020년02월_계_30~39세,"61,442","61,442"
2020년02월_계_40~49세,"65,714","65,714"
2020년02월_계_50~59세,"42,907","42,907"
2020년02월_계_60~69세,"27,813","27,813"
2020년02월_계_70~79세,"13,609","13,609"
2020년02월_계_80~89세,"6,863","6,863"
2020년02월_계_90~99세,"1,084","1,084"
2020년02월_계_100세 이상,55,55
2020년02월_남_총인구수,"171,403","171,403"
2020년02월_남_연령구간인구수,"171,403","171,403"
2020년02월_남_0~9세,"24,284","24,284"
2020년02월_남_10~19세,"20,355","20,355"
2020년02월_남_20~29세,"18,347","18,347"
2020년02월_남_30~39세,"29,923","29,923"
2020년02월_남_40~49세,"33,778","33,778"
2020년02월_남_50~59세,"22,191","22,191"
2020년02월_남_60~69세,"13,798","13,798"
2020년02월_남_70~79세,"6,184","6,184"
2020년02월_남_80~89세,"2,287","2,287"
2020년02월_남_90~99세,246,246
2020년02월_남_100세 이상,10,10
2020년02월_여_총인구수,"172,385","172,385"
2020년02월_여_연령구간인구수,"172,385","172,385"
2020년02월_여_0~9세,"23,170","23,170"
2020년02월_여_10~19세,"20,219","20,219"
2020년02월_여_20~29세,"17,926","17,926"
2020년02월_여_30~39세,"31,519","31,519"
2020년02월_여_40~49세,"31,936","31,936"
2020년02월_여_50~59세,"20,716","20,716"
2020년02월_여_60~69세,"14,015","14,015"
2020년02월_여_70~79세,"7,425","7,425"
2020년02월_여_80~89세,"4,576","4,576"
2020년02월_여_90~99세,838,838
2020년02월_여_100세 이상,45,45
