카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년02월_계_총인구수,"233,072","26,345","5,934","6,950","11,948","10,443","5,353","50,008","9,742","27,136","27,482","51,731"
2021년02월_계_연령구간인구수,"233,072","26,345","5,934","6,950","11,948","10,443","5,353","50,008","9,742","27,136","27,482","51,731"
2021년02월_계_0~9세,"20,200","1,353",146,376,617,487,198,"4,781",634,"1,933","2,254","7,421"
2021년02월_계_10~19세,"24,332","2,537",313,395,858,530,268,"6,962",756,"2,655","3,460","5,598"
2021년02월_계_20~29세,"27,584","3,258",659,800,"1,286","1,099",587,"5,421","1,549","3,477","3,902","5,546"
2021년02월_계_30~39세,"28,411","2,305",456,776,"1,141","1,083",444,"5,359","1,175","2,877","2,999","9,796"
2021년02월_계_40~49세,"39,870","3,893",666,815,"1,701","1,136",630,"10,143","1,365","4,338","5,026","10,157"
2021년02월_계_50~59세,"38,525","5,201","1,269","1,231","2,472","1,811","1,063","7,425","1,783","5,431","4,664","6,175"
2021년02월_계_60~69세,"29,377","4,265","1,362","1,407","2,187","2,207","1,104","5,108","1,359","3,696","2,527","4,155"
2021년02월_계_70~79세,"16,347","2,262",675,704,"1,072","1,293",671,"3,358",726,"1,863","1,654","2,069"
2021년02월_계_80~89세,"7,299","1,113",324,369,533,644,335,"1,278",337,769,890,707
2021년02월_계_90~99세,"1,066",151,61,73,78,146,49,166,46,93,101,102
2021년02월_계_100세 이상,61,7,3,4,3,7,4,7,12,4,5,5
2021년02월_남_총인구수,"118,218","13,320","3,374","3,884","6,437","5,346","2,815","24,447","5,137","13,784","13,617","26,057"
2021년02월_남_연령구간인구수,"118,218","13,320","3,374","3,884","6,437","5,346","2,815","24,447","5,137","13,784","13,617","26,057"
2021년02월_남_0~9세,"10,287",667,73,178,309,258,102,"2,404",314,"1,001","1,164","3,817"
2021년02월_남_10~19세,"12,365","1,295",170,205,459,294,146,"3,497",390,"1,382","1,768","2,759"
2021년02월_남_20~29세,"14,809","1,793",401,514,746,660,325,"2,760",896,"1,833","2,040","2,841"
2021년02월_남_30~39세,"14,670","1,250",289,473,645,601,251,"2,586",642,"1,532","1,498","4,903"
2021년02월_남_40~49세,"20,498","1,974",419,486,966,609,353,"4,998",736,"2,235","2,475","5,247"
2021년02월_남_50~59세,"20,219","2,715",775,731,"1,375",897,562,"3,872",974,"2,795","2,395","3,128"
2021년02월_남_60~69세,"14,763","2,163",765,793,"1,190","1,094",619,"2,270",698,"1,883","1,231","2,057"
2021년02월_남_70~79세,"7,567","1,035",347,351,515,642,311,"1,517",338,816,667,"1,028"
2021년02월_남_80~89세,"2,785",402,120,137,210,255,137,500,135,286,344,259
2021년02월_남_90~99세,243,26,15,14,22,33,8,43,12,21,31,18
2021년02월_남_100세 이상,12,0,0,2,0,3,1,0,2,0,4,0
2021년02월_여_총인구수,"114,854","13,025","2,560","3,066","5,511","5,097","2,538","25,561","4,605","13,352","13,865","25,674"
2021년02월_여_연령구간인구수,"114,854","13,025","2,560","3,066","5,511","5,097","2,538","25,561","4,605","13,352","13,865","25,674"
2021년02월_여_0~9세,"9,913",686,73,198,308,229,96,"2,377",320,932,"1,090","3,604"
2021년02월_여_10~19세,"11,967","1,242",143,190,399,236,122,"3,465",366,"1,273","1,692","2,839"
2021년02월_여_20~29세,"12,775","1,465",258,286,540,439,262,"2,661",653,"1,644","1,862","2,705"
2021년02월_여_30~39세,"13,741","1,055",167,303,496,482,193,"2,773",533,"1,345","1,501","4,893"
2021년02월_여_40~49세,"19,372","1,919",247,329,735,527,277,"5,145",629,"2,103","2,551","4,910"
2021년02월_여_50~59세,"18,306","2,486",494,500,"1,097",914,501,"3,553",809,"2,636","2,269","3,047"
2021년02월_여_60~69세,"14,614","2,102",597,614,997,"1,113",485,"2,838",661,"1,813","1,296","2,098"
2021년02월_여_70~79세,"8,780","1,227",328,353,557,651,360,"1,841",388,"1,047",987,"1,041"
2021년02월_여_80~89세,"4,514",711,204,232,323,389,198,778,202,483,546,448
2021년02월_여_90~99세,823,125,46,59,56,113,41,123,34,72,70,84
2021년02월_여_100세 이상,49,7,3,2,3,4,3,7,10,4,1,5
