카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년09월_계_총인구수,"30,359","9,845","2,098","2,223","3,550","1,506","1,892","2,277","2,714","2,176","2,078"
2021년09월_계_연령구간인구수,"30,359","9,845","2,098","2,223","3,550","1,506","1,892","2,277","2,714","2,176","2,078"
2021년09월_계_0~9세,"1,178",614,49,66,131,36,46,72,72,50,42
2021년09월_계_10~19세,"1,960",943,86,84,256,87,98,104,102,105,95
2021년09월_계_20~29세,"2,475","1,194",133,145,323,83,103,120,164,111,99
2021년09월_계_30~39세,"1,936",866,95,99,251,64,101,97,134,113,116
2021년09월_계_40~49세,"2,970","1,229",160,208,385,118,159,187,192,174,158
2021년09월_계_50~59세,"5,056","1,641",341,414,604,299,288,351,454,310,354
2021년09월_계_60~69세,"6,469","1,617",495,547,717,343,463,547,645,553,542
2021년09월_계_70~79세,"4,468","1,003",364,340,497,239,339,449,477,403,357
2021년09월_계_80~89세,"3,365",626,332,282,341,206,256,314,423,307,278
2021년09월_계_90~99세,473,109,43,37,45,30,38,36,51,49,35
2021년09월_계_100세 이상,9,3,0,1,0,1,1,0,0,1,2
2021년09월_남_총인구수,"15,434","4,965","1,055","1,165","1,860",795,978,"1,151","1,356","1,093","1,016"
2021년09월_남_연령구간인구수,"15,434","4,965","1,055","1,165","1,860",795,978,"1,151","1,356","1,093","1,016"
2021년09월_남_0~9세,604,316,27,35,66,24,20,34,38,27,17
2021년09월_남_10~19세,"1,026",474,53,44,140,52,51,49,60,49,54
2021년09월_남_20~29세,"1,455",679,81,87,208,54,65,60,94,69,58
2021년09월_남_30~39세,"1,095",448,56,61,151,37,63,59,83,71,66
2021년09월_남_40~49세,"1,741",657,90,131,221,71,107,132,118,112,102
2021년09월_남_50~59세,"2,788",874,184,236,328,177,175,204,260,163,187
2021년09월_남_60~69세,"3,326",781,266,291,381,188,243,279,340,281,276
2021년09월_남_70~79세,"2,073",488,169,172,222,109,157,199,207,195,155
2021년09월_남_80~89세,"1,196",218,119,100,124,75,86,124,144,111,95
2021년09월_남_90~99세,126,28,10,8,19,7,10,11,12,15,6
2021년09월_남_100세 이상,4,2,0,0,0,1,1,0,0,0,0
2021년09월_여_총인구수,"14,925","4,880","1,043","1,058","1,690",711,914,"1,126","1,358","1,083","1,062"
2021년09월_여_연령구간인구수,"14,925","4,880","1,043","1,058","1,690",711,914,"1,126","1,358","1,083","1,062"
2021년09월_여_0~9세,574,298,22,31,65,12,26,38,34,23,25
2021년09월_여_10~19세,934,469,33,40,116,35,47,55,42,56,41
2021년09월_여_20~29세,"1,020",515,52,58,115,29,38,60,70,42,41
2021년09월_여_30~39세,841,418,39,38,100,27,38,38,51,42,50
2021년09월_여_40~49세,"1,229",572,70,77,164,47,52,55,74,62,56
2021년09월_여_50~59세,"2,268",767,157,178,276,122,113,147,194,147,167
2021년09월_여_60~69세,"3,143",836,229,256,336,155,220,268,305,272,266
2021년09월_여_70~79세,"2,395",515,195,168,275,130,182,250,270,208,202
2021년09월_여_80~89세,"2,169",408,213,182,217,131,170,190,279,196,183
2021년09월_여_90~99세,347,81,33,29,26,23,28,25,39,34,29
2021년09월_여_100세 이상,5,1,0,1,0,0,0,0,0,1,2
