카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년06월_계_총인구수,"46,522","15,172","2,756","3,150","1,227","3,697","1,916","2,708","2,620","1,840","2,443","4,576","4,417"
2021년06월_계_연령구간인구수,"46,522","15,172","2,756","3,150","1,227","3,697","1,916","2,708","2,620","1,840","2,443","4,576","4,417"
2021년06월_계_0~9세,"2,305","1,142",124,107,28,133,58,58,87,64,100,206,198
2021년06월_계_10~19세,"3,021","1,248",105,163,49,264,107,103,118,76,114,316,358
2021년06월_계_20~29세,"4,711","1,737",215,272,87,302,169,532,205,165,187,433,407
2021년06월_계_30~39세,"3,652","1,611",203,218,73,238,114,133,183,113,185,278,303
2021년06월_계_40~49세,"5,235","2,062",290,301,108,351,179,210,252,171,241,560,510
2021년06월_계_50~59세,"8,177","2,450",509,590,245,684,382,422,450,323,437,864,821
2021년06월_계_60~69세,"8,608","2,251",588,693,289,743,410,515,531,408,519,888,773
2021년06월_계_70~79세,"6,228","1,614",430,494,178,554,279,402,431,309,400,567,570
2021년06월_계_80~89세,"3,958",901,244,271,143,386,185,291,304,182,233,398,420
2021년06월_계_90~99세,603,150,48,38,26,40,32,41,54,27,25,65,57
2021년06월_계_100세 이상,24,6,0,3,1,2,1,1,5,2,2,1,0
2021년06월_남_총인구수,"23,607","7,671","1,404","1,585",621,"1,869",992,"1,511","1,330",915,"1,229","2,300","2,180"
2021년06월_남_연령구간인구수,"23,607","7,671","1,404","1,585",621,"1,869",992,"1,511","1,330",915,"1,229","2,300","2,180"
2021년06월_남_0~9세,"1,147",551,59,52,9,73,32,31,42,39,46,114,99
2021년06월_남_10~19세,"1,567",668,56,82,25,128,65,52,61,34,53,176,167
2021년06월_남_20~29세,"2,785","1,001",118,148,47,172,94,448,111,87,104,231,224
2021년06월_남_30~39세,"1,886",817,104,121,35,125,61,78,107,51,86,148,153
2021년06월_남_40~49세,"3,005","1,132",194,173,62,211,102,120,165,107,149,303,287
2021년06월_남_50~59세,"4,501","1,290",286,315,143,374,207,238,265,173,250,482,478
2021년06월_남_60~69세,"4,493","1,147",299,375,163,400,239,261,261,205,269,464,410
2021년06월_남_70~79세,"2,793",722,186,222,81,242,124,185,203,146,197,252,233
2021년06월_남_80~89세,"1,295",311,92,86,50,135,63,88,104,64,71,110,121
2021년06월_남_90~99세,135,32,10,11,6,9,5,10,11,9,4,20,8
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"22,915","7,501","1,352","1,565",606,"1,828",924,"1,197","1,290",925,"1,214","2,276","2,237"
2021년06월_여_연령구간인구수,"22,915","7,501","1,352","1,565",606,"1,828",924,"1,197","1,290",925,"1,214","2,276","2,237"
2021년06월_여_0~9세,"1,158",591,65,55,19,60,26,27,45,25,54,92,99
2021년06월_여_10~19세,"1,454",580,49,81,24,136,42,51,57,42,61,140,191
2021년06월_여_20~29세,"1,926",736,97,124,40,130,75,84,94,78,83,202,183
2021년06월_여_30~39세,"1,766",794,99,97,38,113,53,55,76,62,99,130,150
2021년06월_여_40~49세,"2,230",930,96,128,46,140,77,90,87,64,92,257,223
2021년06월_여_50~59세,"3,676","1,160",223,275,102,310,175,184,185,150,187,382,343
2021년06월_여_60~69세,"4,115","1,104",289,318,126,343,171,254,270,203,250,424,363
2021년06월_여_70~79세,"3,435",892,244,272,97,312,155,217,228,163,203,315,337
2021년06월_여_80~89세,"2,663",590,152,185,93,251,122,203,200,118,162,288,299
2021년06월_여_90~99세,468,118,38,27,20,31,27,31,43,18,21,45,49
2021년06월_여_100세 이상,24,6,0,3,1,2,1,1,5,2,2,1,0
