,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년03월_계_총인구수,"438,365","4,957","23,433","4,222","19,300","20,240","9,450","11,040","9,125","8,618","18,422","7,680","28,979","6,653","36,726","37,212","22,360","24,978","36,242","17,031","26,782","28,880","12,036","23,999"
2021년03월_계_연령구간인구수,"438,365","4,957","23,433","4,222","19,300","20,240","9,450","11,040","9,125","8,618","18,422","7,680","28,979","6,653","36,726","37,212","22,360","24,978","36,242","17,031","26,782","28,880","12,036","23,999"
2021년03월_계_0~9세,"33,229",354,"2,334",171,"2,183","1,718",252,594,276,294,"1,169",179,"2,252",302,"3,491","4,492","1,316","1,614","2,630",906,"1,645","2,284",618,"2,155"
2021년03월_계_10~19세,"42,656",354,"2,037",205,"2,268","2,250",440,897,452,476,"1,164",354,"3,013",408,"3,917","3,144","1,742","2,454","4,948","1,584","2,445","4,382",620,"3,102"
2021년03월_계_20~29세,"61,942",561,"2,865",484,"2,141","2,363","1,003","1,631","2,575","1,282","2,887","2,392","4,221",720,"4,239","3,899","3,887","3,703","5,365","2,426","4,286","4,135","1,375","3,502"
2021년03월_계_30~39세,"53,279",676,"3,642",467,"2,753","2,316",741,"1,150","1,139","1,036","2,138","1,024","3,630",809,"4,824","6,320","2,628","2,740","3,443","1,609","3,044","2,829","1,546","2,775"
2021년03월_계_40~49세,"71,680",703,"4,052",481,"3,694","3,480","1,106","1,461","1,029","1,032","2,639",819,"4,651",883,"6,984","6,458","3,116","3,952","6,699","2,508","3,755","5,923","1,614","4,641"
2021년03월_계_50~59세,"77,916",792,"3,266",881,"2,809","3,463","1,881","2,250","1,267","1,553","2,945","1,189","5,085","1,195","6,270","5,916","4,179","4,730","7,244","3,521","5,433","5,501","2,338","4,208"
2021년03월_계_60~69세,"55,146",784,"2,671",904,"1,917","2,425","2,033","1,738","1,246","1,596","2,747","1,010","3,743","1,303","4,179","4,300","3,159","3,392","3,427","2,695","3,671","2,034","2,238","1,934"
2021년03월_계_70~79세,"28,455",502,"1,617",429,"1,022","1,485","1,336",895,755,930,"1,753",486,"1,589",699,"2,012","1,909","1,523","1,659","1,638","1,141","1,592","1,139","1,253","1,091"
2021년03월_계_80~89세,"12,508",196,817,171,459,668,606,379,343,379,851,204,686,303,711,678,725,647,755,588,821,613,380,528
2021년03월_계_90~99세,"1,462",31,119,28,49,66,49,44,40,40,113,22,103,30,98,91,83,85,91,50,83,39,46,62
2021년03월_계_100세 이상,92,4,13,1,5,6,3,1,3,0,16,1,6,1,1,5,2,2,2,3,7,1,8,1
2021년03월_남_총인구수,"218,197","2,388","11,297","2,260","9,347","9,798","4,693","5,430","4,721","4,499","9,296","4,189","14,315","3,312","18,718","18,575","11,213","12,247","17,857","8,572","13,332","14,034","6,253","11,851"
2021년03월_남_연령구간인구수,"218,197","2,388","11,297","2,260","9,347","9,798","4,693","5,430","4,721","4,499","9,296","4,189","14,315","3,312","18,718","18,575","11,213","12,247","17,857","8,572","13,332","14,034","6,253","11,851"
2021년03월_남_0~9세,"17,010",166,"1,144",89,"1,094",902,133,299,144,158,574,97,"1,148",156,"1,841","2,315",674,841,"1,304",468,857,"1,178",305,"1,123"
2021년03월_남_10~19세,"22,167",169,"1,030",121,"1,167","1,147",238,463,233,268,592,182,"1,574",216,"2,016","1,596",929,"1,286","2,587",821,"1,331","2,274",308,"1,619"
2021년03월_남_20~29세,"33,448",286,"1,387",284,"1,103","1,267",581,908,"1,397",730,"1,747","1,427","2,302",409,"2,243","2,100","2,049","1,936","2,880","1,359","2,305","2,206",754,"1,788"
2021년03월_남_30~39세,"27,987",357,"1,826",281,"1,297","1,126",439,636,697,645,"1,190",635,"1,876",467,"2,471","3,200","1,460","1,472","1,733",900,"1,660","1,351",898,"1,370"
2021년03월_남_40~49세,"35,154",378,"2,004",273,"1,774","1,628",619,709,590,584,"1,384",469,"2,198",475,"3,565","3,344","1,539","1,913","3,065","1,229","1,723","2,582",908,"2,201"
2021년03월_남_50~59세,"38,670",411,"1,593",465,"1,383","1,698",974,"1,058",633,790,"1,460",592,"2,423",579,"3,301","2,861","2,035","2,261","3,605","1,727","2,604","2,796","1,232","2,189"
2021년03월_남_60~69세,"26,789",338,"1,280",479,886,"1,140",979,832,580,728,"1,286",492,"1,831",599,"2,069","2,104","1,566","1,576","1,748","1,352","1,860","1,014","1,103",947
2021년03월_남_70~79세,"12,272",216,689,206,441,637,507,393,313,435,736,212,708,299,939,831,671,710,675,518,691,417,581,447
2021년03월_남_80~89세,"4,382",58,312,53,184,239,214,121,123,155,299,77,242,107,259,210,272,237,242,188,281,203,148,158
2021년03월_남_90~99세,302,8,30,8,18,14,9,11,11,6,22,5,12,5,14,13,18,15,18,10,19,13,14,9
2021년03월_남_100세 이상,16,1,2,1,0,0,0,0,0,0,6,1,1,0,0,1,0,0,0,0,1,0,2,0
2021년03월_여_총인구수,"220,168","2,569","12,136","1,962","9,953","10,442","4,757","5,610","4,404","4,119","9,126","3,491","14,664","3,341","18,008","18,637","11,147","12,731","18,385","8,459","13,450","14,846","5,783","12,148"
2021년03월_여_연령구간인구수,"220,168","2,569","12,136","1,962","9,953","10,442","4,757","5,610","4,404","4,119","9,126","3,491","14,664","3,341","18,008","18,637","11,147","12,731","18,385","8,459","13,450","14,846","5,783","12,148"
2021년03월_여_0~9세,"16,219",188,"1,190",82,"1,089",816,119,295,132,136,595,82,"1,104",146,"1,650","2,177",642,773,"1,326",438,788,"1,106",313,"1,032"
2021년03월_여_10~19세,"20,489",185,"1,007",84,"1,101","1,103",202,434,219,208,572,172,"1,439",192,"1,901","1,548",813,"1,168","2,361",763,"1,114","2,108",312,"1,483"
2021년03월_여_20~29세,"28,494",275,"1,478",200,"1,038","1,096",422,723,"1,178",552,"1,140",965,"1,919",311,"1,996","1,799","1,838","1,767","2,485","1,067","1,981","1,929",621,"1,714"
2021년03월_여_30~39세,"25,292",319,"1,816",186,"1,456","1,190",302,514,442,391,948,389,"1,754",342,"2,353","3,120","1,168","1,268","1,710",709,"1,384","1,478",648,"1,405"
2021년03월_여_40~49세,"36,526",325,"2,048",208,"1,920","1,852",487,752,439,448,"1,255",350,"2,453",408,"3,419","3,114","1,577","2,039","3,634","1,279","2,032","3,341",706,"2,440"
2021년03월_여_50~59세,"39,246",381,"1,673",416,"1,426","1,765",907,"1,192",634,763,"1,485",597,"2,662",616,"2,969","3,055","2,144","2,469","3,639","1,794","2,829","2,705","1,106","2,019"
2021년03월_여_60~69세,"28,357",446,"1,391",425,"1,031","1,285","1,054",906,666,868,"1,461",518,"1,912",704,"2,110","2,196","1,593","1,816","1,679","1,343","1,811","1,020","1,135",987
2021년03월_여_70~79세,"16,183",286,928,223,581,848,829,502,442,495,"1,017",274,881,400,"1,073","1,078",852,949,963,623,901,722,672,644
2021년03월_여_80~89세,"8,126",138,505,118,275,429,392,258,220,224,552,127,444,196,452,468,453,410,513,400,540,410,232,370
2021년03월_여_90~99세,"1,160",23,89,20,31,52,40,33,29,34,91,17,91,25,84,78,65,70,73,40,64,26,32,53
2021년03월_여_100세 이상,76,3,11,0,5,6,3,1,3,0,10,0,5,1,1,4,2,2,2,3,6,1,6,1
