카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년01월_계_총인구수,"77,282","9,181","6,597","4,916","4,604","5,309","8,325","5,224","3,433","7,191","12,231","7,727","2,544"
2020년01월_계_연령구간인구수,"77,282","9,181","6,597","4,916","4,604","5,309","8,325","5,224","3,433","7,191","12,231","7,727","2,544"
2020년01월_계_0~9세,"5,474",381,532,184,140,563,923,302,119,654,"1,013",583,80
2020년01월_계_10~19세,"5,184",521,376,244,214,262,566,329,211,526,"1,111",651,173
2020년01월_계_20~29세,"11,600","1,540","1,676","1,280",792,669,883,840,535,733,"1,397",996,259
2020년01월_계_30~39세,"11,099","1,229","1,245",745,543,"1,057","1,483",692,384,"1,031","1,485",983,222
2020년01월_계_40~49세,"10,985","1,216",917,565,528,708,"1,175",689,484,"1,149","1,967","1,194",393
2020년01월_계_50~59세,"11,546","1,421",688,644,773,770,"1,286",844,573,"1,114","1,828","1,185",420
2020년01월_계_60~69세,"10,160","1,323",580,570,783,678,"1,021",708,491,965,"1,682",935,424
2020년01월_계_70~79세,"7,403","1,042",365,444,558,401,671,557,406,667,"1,146",747,399
2020년01월_계_80~89세,"3,256",424,182,188,220,164,271,242,185,312,533,387,148
2020년01월_계_90~99세,483,75,29,46,39,32,36,19,31,36,61,59,20
2020년01월_계_100세 이상,92,9,7,6,14,5,10,2,14,4,8,7,6
2020년01월_남_총인구수,"37,289","4,552","3,140","2,340","2,349","2,648","4,055","2,521","1,657","3,334","5,805","3,643","1,245"
2020년01월_남_연령구간인구수,"37,289","4,552","3,140","2,340","2,349","2,648","4,055","2,521","1,657","3,334","5,805","3,643","1,245"
2020년01월_남_0~9세,"2,820",179,267,94,74,276,442,167,60,355,548,318,40
2020년01월_남_10~19세,"2,636",261,179,110,108,135,313,158,112,268,585,313,94
2020년01월_남_20~29세,"5,642",762,761,544,401,333,465,402,265,337,727,510,135
2020년01월_남_30~39세,"5,743",689,651,421,316,545,735,342,196,516,740,470,122
2020년01월_남_40~49세,"5,629",667,473,288,298,376,611,366,247,569,957,570,207
2020년01월_남_50~59세,"5,664",726,332,343,399,390,607,427,296,512,852,566,214
2020년01월_남_60~69세,"4,693",653,245,285,398,332,491,333,228,396,711,421,200
2020년01월_남_70~79세,"3,145",445,155,175,257,195,280,245,174,267,491,292,169
2020년01월_남_80~89세,"1,182",152,71,64,85,56,103,74,73,107,179,159,59
2020년01월_남_90~99세,118,17,5,13,10,9,7,6,3,7,13,23,5
2020년01월_남_100세 이상,17,1,1,3,3,1,1,1,3,0,2,1,0
2020년01월_여_총인구수,"39,993","4,629","3,457","2,576","2,255","2,661","4,270","2,703","1,776","3,857","6,426","4,084","1,299"
2020년01월_여_연령구간인구수,"39,993","4,629","3,457","2,576","2,255","2,661","4,270","2,703","1,776","3,857","6,426","4,084","1,299"
2020년01월_여_0~9세,"2,654",202,265,90,66,287,481,135,59,299,465,265,40
2020년01월_여_10~19세,"2,548",260,197,134,106,127,253,171,99,258,526,338,79
2020년01월_여_20~29세,"5,958",778,915,736,391,336,418,438,270,396,670,486,124
2020년01월_여_30~39세,"5,356",540,594,324,227,512,748,350,188,515,745,513,100
2020년01월_여_40~49세,"5,356",549,444,277,230,332,564,323,237,580,"1,010",624,186
2020년01월_여_50~59세,"5,882",695,356,301,374,380,679,417,277,602,976,619,206
2020년01월_여_60~69세,"5,467",670,335,285,385,346,530,375,263,569,971,514,224
2020년01월_여_70~79세,"4,258",597,210,269,301,206,391,312,232,400,655,455,230
2020년01월_여_80~89세,"2,074",272,111,124,135,108,168,168,112,205,354,228,89
2020년01월_여_90~99세,365,58,24,33,29,23,29,13,28,29,48,36,15
2020년01월_여_100세 이상,75,8,6,3,11,4,9,1,11,4,6,6,6
