,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2021년03월_계_총인구수,"934,308","238,984","13,318","20,224","11,259","15,529","15,556","13,416","13,392","12,619","16,028","15,772","8,413","9,924","11,081","45,846","4,748","8,708","3,151","215,336","33,834","13,739","6,932","25,433","10,556","24,236","25,736","13,551","12,445","21,091","27,783","479,988","26,319","17,989","10,567","14,027","19,673","30,985","15,815","15,497","32,275","18,640","25,874","13,633","17,573","16,697","29,005","23,750","24,788","27,554","28,676","17,711","31,366","21,574"
2021년03월_계_연령구간인구수,"934,308","238,984","13,318","20,224","11,259","15,529","15,556","13,416","13,392","12,619","16,028","15,772","8,413","9,924","11,081","45,846","4,748","8,708","3,151","215,336","33,834","13,739","6,932","25,433","10,556","24,236","25,736","13,551","12,445","21,091","27,783","479,988","26,319","17,989","10,567","14,027","19,673","30,985","15,815","15,497","32,275","18,640","25,874","13,633","17,573","16,697","29,005","23,750","24,788","27,554","28,676","17,711","31,366","21,574"
2021년03월_계_0~9세,"67,599","15,427",486,"1,768",429,514,742,604,676,369,785,"1,056",398,562,707,"4,948",502,720,161,"13,102","1,565",855,406,"1,363",654,"1,272","1,644",528,556,"1,431","2,828","39,070","1,983","1,274","1,168","1,039","1,429","2,023",906,"1,323","2,437","1,408","2,265","1,006","1,288","1,269","2,172","2,965","2,677","2,833","1,910","1,324","2,202","2,169"
2021년03월_계_10~19세,"86,844","17,285",722,"1,613",631,756,"1,067",926,"1,174",659,"1,090","1,291",695,921,476,"4,153",453,510,148,"16,390","1,933",855,437,"2,005","1,004","1,937","1,800",947,871,"1,755","2,846","53,169","2,935","2,204","1,945","2,408","1,917","3,303","1,355","1,760","4,333","2,282","3,119","1,840","1,288","1,763","2,042","3,429","3,049","3,080","2,333","1,673","2,713","2,398"
2021년03월_계_20~29세,"131,115","34,975","1,987","2,645","1,745","2,812","2,512","1,951","2,061","1,788","2,342","2,139","1,056","1,373","2,276","5,645",733,"1,394",516,"31,040","5,883","1,551",942,"3,853","1,798","3,627","3,447","1,734","1,785","3,095","3,325","65,100","3,702","2,456",957,"1,849","3,103","4,707","2,048","2,003","4,555","2,736","3,364","1,778","2,721","2,120","4,124","2,328","3,036","3,800","4,029","2,718","4,523","2,443"
2021년03월_계_30~39세,"135,757","35,463","1,784","3,357","1,546","2,161","2,144","1,710","1,622","1,465","2,101","2,197","1,032","1,094","2,579","7,373",880,"1,903",515,"31,205","5,839","1,869","1,098","3,678","1,374","3,033","3,989","1,606","1,557","2,883","4,279","69,089","3,581","2,419",865,"1,549","3,441","4,954","2,915","2,301","4,197","2,364","3,586","1,322","2,846","2,077","5,313","3,047","3,548","3,728","4,667","2,749","4,501","3,119"
2021년03월_계_40~49세,"155,458","37,099","1,996","3,082","1,704","2,133","2,240","1,976","2,109","1,743","2,274","2,440","1,395","1,635","2,000","8,091",771,"1,088",422,"32,669","4,802","2,156","1,019","3,818","1,606","3,601","3,953","1,932","1,768","3,043","4,971","85,690","4,578","3,691","2,600","3,138","3,216","5,940","2,629","2,813","6,261","3,232","4,572","2,356","2,734","2,736","4,336","5,258","4,657","4,678","4,348","2,932","4,945","4,040"
2021년03월_계_50~59세,"154,987","40,636","2,494","3,485","2,154","2,694","2,785","2,537","2,365","2,531","2,853","2,734","1,432","1,744","1,355","7,093",598,"1,315",467,"37,845","5,504","2,564","1,197","4,352","1,761","4,423","4,579","2,855","2,514","3,907","4,189","76,506","4,285","2,867","1,489","2,143","2,939","4,836","2,371","2,409","5,059","3,297","4,178","2,406","2,683","2,579","4,537","3,429","3,970","4,808","4,564","2,925","5,221","3,511"
2021년03월_계_60~69세,"115,374","33,761","2,246","2,739","1,741","2,448","2,267","2,139","1,831","2,260","2,612","2,171","1,295","1,430","1,064","5,422",505,"1,058",533,"31,209","4,709","2,297","1,100","3,731","1,324","3,458","3,810","2,344","2,022","3,177","3,237","50,404","2,940","1,389",766,"1,128","2,128","2,548","1,771","1,456","2,822","1,964","2,660","1,653","2,301","2,261","3,825","2,000","2,384","2,862","3,555","1,872","3,619","2,500"
2021년03월_계_70~79세,"57,793","17,032","1,113","1,115",957,"1,411","1,230","1,084","1,057","1,248","1,436","1,195",808,821,459,"2,087",212,520,279,"15,253","2,493","1,146",480,"1,852",722,"2,019","1,774","1,132",965,"1,243","1,427","25,508","1,449",934,470,493,"1,018","1,658","1,033",803,"1,552",836,"1,372",798,"1,147","1,187","1,729",876,972,"1,204","1,996",937,"2,101",943
