카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년01월_계_총인구수,"215,885","14,904","35,932","13,226","11,058","5,711","12,718","14,396","4,476","4,866","2,717","17,383","53,670","14,536","10,292"
2020년01월_계_연령구간인구수,"215,885","14,904","35,932","13,226","11,058","5,711","12,718","14,396","4,476","4,866","2,717","17,383","53,670","14,536","10,292"
2020년01월_계_0~9세,"19,870","1,069","3,625","1,037",813,335,"1,343","1,323",166,203,78,"1,039","7,213","1,000",626
2020년01월_계_10~19세,"22,524","1,438","4,608","1,009",866,310,"1,005","1,256",258,243,128,"1,617","7,989",968,829
2020년01월_계_20~29세,"28,889","1,601","4,674","1,631","1,316",652,"1,869","2,374",423,433,202,"2,816","6,489","2,863","1,546"
2020년01월_계_30~39세,"30,754","1,584","5,305","1,755","1,224",659,"2,170","2,549",368,394,151,"2,274","8,591","2,336","1,394"
2020년01월_계_40~49세,"34,930","2,095","6,793","1,937","1,634",746,"1,788","2,128",504,523,264,"2,619","10,469","1,903","1,527"
2020년01월_계_50~59세,"34,966","2,596","5,366","2,510","2,155","1,103","1,859","2,000",910,962,482,"3,148","7,558","2,368","1,949"
2020년01월_계_60~69세,"23,787","2,240","3,142","1,876","1,579",972,"1,417","1,434",908,975,623,"2,246","3,219","1,740","1,416"
2020년01월_계_70~79세,"12,800","1,402","1,564",960,911,579,804,875,541,672,400,"1,114","1,379",910,689
2020년01월_계_80~89세,"6,403",778,754,426,475,306,394,381,354,397,338,458,674,390,278
2020년01월_계_90~99세,897,92,96,79,81,48,64,72,41,57,47,46,86,53,35
2020년01월_계_100세 이상,65,9,5,6,4,1,5,4,3,7,4,6,3,5,3
2020년01월_남_총인구수,"111,284","7,570","18,693","6,937","5,636","3,007","6,914","7,379","2,395","2,566","1,377","8,654","26,758","8,149","5,249"
2020년01월_남_연령구간인구수,"111,284","7,570","18,693","6,937","5,636","3,007","6,914","7,379","2,395","2,566","1,377","8,654","26,758","8,149","5,249"
2020년01월_남_0~9세,"10,271",550,"1,851",531,417,182,678,696,91,96,41,541,"3,727",535,335
2020년01월_남_10~19세,"11,707",761,"2,394",537,462,165,515,624,141,136,68,832,"4,175",505,392
2020년01월_남_20~29세,"16,245",943,"2,660",888,709,346,"1,157","1,238",264,246,112,"1,533","3,415","1,918",816
2020년01월_남_30~39세,"16,344",830,"2,790",949,627,391,"1,236","1,345",230,241,91,"1,251","4,114","1,448",801
2020년01월_남_40~49세,"18,041","1,100","3,492","1,066",871,439,"1,039","1,145",292,321,163,"1,268","5,018","1,033",794
2020년01월_남_50~59세,"18,091","1,311","2,852","1,321","1,098",597,"1,002","1,062",498,532,252,"1,483","3,892","1,215",976
2020년01월_남_60~69세,"12,133","1,117","1,635","1,006",810,504,748,719,481,512,320,"1,061","1,611",886,723
2020년01월_남_70~79세,"5,900",653,725,454,435,264,379,393,257,322,194,515,575,435,299
2020년01월_남_80~89세,"2,318",273,273,164,183,109,141,139,129,148,123,157,218,157,104
2020년01월_남_90~99세,215,28,21,19,24,10,18,16,12,9,12,13,11,14,8
2020년01월_남_100세 이상,19,4,0,2,0,0,1,2,0,3,1,0,2,3,1
2020년01월_여_총인구수,"104,601","7,334","17,239","6,289","5,422","2,704","5,804","7,017","2,081","2,300","1,340","8,729","26,912","6,387","5,043"
2020년01월_여_연령구간인구수,"104,601","7,334","17,239","6,289","5,422","2,704","5,804","7,017","2,081","2,300","1,340","8,729","26,912","6,387","5,043"
2020년01월_여_0~9세,"9,599",519,"1,774",506,396,153,665,627,75,107,37,498,"3,486",465,291
2020년01월_여_10~19세,"10,817",677,"2,214",472,404,145,490,632,117,107,60,785,"3,814",463,437
2020년01월_여_20~29세,"12,644",658,"2,014",743,607,306,712,"1,136",159,187,90,"1,283","3,074",945,730
2020년01월_여_30~39세,"14,410",754,"2,515",806,597,268,934,"1,204",138,153,60,"1,023","4,477",888,593
2020년01월_여_40~49세,"16,889",995,"3,301",871,763,307,749,983,212,202,101,"1,351","5,451",870,733
2020년01월_여_50~59세,"16,875","1,285","2,514","1,189","1,057",506,857,938,412,430,230,"1,665","3,666","1,153",973
2020년01월_여_60~69세,"11,654","1,123","1,507",870,769,468,669,715,427,463,303,"1,185","1,608",854,693
2020년01월_여_70~79세,"6,900",749,839,506,476,315,425,482,284,350,206,599,804,475,390
2020년01월_여_80~89세,"4,085",505,481,262,292,197,253,242,225,249,215,301,456,233,174
2020년01월_여_90~99세,682,64,75,60,57,38,46,56,29,48,35,33,75,39,27
2020년01월_여_100세 이상,46,5,5,4,4,1,4,2,3,4,3,6,1,2,2
