카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년04월_계_총인구수,"520,649","27,495","43,796","23,979","25,787","11,409","3,645","18,374","6,757","5,420","43,997","26,185","19,271","12,020","21,985","7,104","5,772","22,814","10,759","4,163","75,790","52,977","24,820","26,330"
2020년04월_계_연령구간인구수,"520,649","27,495","43,796","23,979","25,787","11,409","3,645","18,374","6,757","5,420","43,997","26,185","19,271","12,020","21,985","7,104","5,772","22,814","10,759","4,163","75,790","52,977","24,820","26,330"
2020년04월_계_0~9세,"48,432","1,567","4,235","2,086","4,135",529,121,"2,120",338,165,"3,132","1,480","2,304",732,"1,693",553,183,"1,166",601,133,"9,704","5,693","3,528","2,234"
2020년04월_계_10~19세,"52,932","1,731","5,965","2,007","2,936",856,218,"1,556",499,307,"5,197","2,493","1,842",963,"2,230",491,312,"1,817",718,228,"8,553","6,244","3,028","2,741"
2020년04월_계_20~29세,"70,582","2,961","5,706","2,957","2,202","1,512",351,"2,543",730,459,"6,980","3,761","2,522","2,196","2,967",971,715,"3,911","1,586",614,"10,241","7,391","3,231","4,075"
2020년04월_계_30~39세,"77,768","2,988","5,806","4,007","4,960","1,358",367,"3,287",632,389,"5,411","3,153","3,306","2,122","2,677","1,181",620,"2,901","1,521",395,"14,342","8,085","4,698","3,562"
2020년04월_계_40~49세,"91,173","3,965","8,751","4,628","4,957","1,736",464,"2,941",887,633,"7,790","4,366","3,478","2,000","3,721","1,172",802,"3,494","1,607",555,"14,518","9,334","5,035","4,339"
2020년04월_계_50~59세,"84,715","5,189","6,761","3,845","2,870","2,134",700,"2,766","1,349","1,065","8,016","4,953","3,119","1,868","4,074","1,092","1,029","4,296","1,940",858,"10,268","8,485","3,149","4,889"
2020년04월_계_60~69세,"51,443","4,493","3,537","2,446","2,002","1,741",696,"1,699","1,097","1,090","4,170","3,164","1,574","1,144","2,539",851,969,"2,828","1,443",719,"4,907","4,470","1,351","2,513"
2020년04월_계_70~79세,"27,931","2,841","1,917","1,288","1,086","1,004",449,908,723,785,"2,155","1,849",723,671,"1,348",506,713,"1,590",863,450,"2,139","2,103",533,"1,287"
2020년04월_계_80~89세,"13,547","1,517",955,620,529,482,252,471,443,458,996,837,343,280,626,232,351,710,411,185,984,"1,022",234,609
2020년04월_계_90~99세,"1,887",195,152,91,100,53,24,77,57,66,132,112,54,39,98,44,56,90,54,23,125,137,32,76
2020년04월_계_100세 이상,239,48,11,4,10,4,3,6,2,3,18,17,6,5,12,11,22,11,15,3,9,13,1,5
2020년04월_남_총인구수,"268,331","14,046","22,410","14,263","13,649","6,251","1,992","9,647","3,575","2,856","22,483","13,195","10,034","6,359","10,958","3,516","2,913","11,664","5,547","2,182","38,384","26,331","12,862","13,214"
2020년04월_남_연령구간인구수,"268,331","14,046","22,410","14,263","13,649","6,251","1,992","9,647","3,575","2,856","22,483","13,195","10,034","6,359","10,958","3,516","2,913","11,664","5,547","2,182","38,384","26,331","12,862","13,214"
2020년04월_남_0~9세,"24,756",813,"2,090","1,046","2,176",268,57,"1,062",186,86,"1,616",744,"1,171",361,846,281,99,614,295,67,"4,982","2,915","1,832","1,149"
2020년04월_남_10~19세,"27,367",905,"3,035","1,073","1,502",464,125,784,257,165,"2,696","1,282",917,469,"1,136",262,164,940,377,127,"4,428","3,317","1,553","1,389"
2020년04월_남_20~29세,"38,520","1,709","3,075","1,900","1,232",898,206,"1,485",412,262,"3,888","2,039","1,343","1,248","1,611",533,396,"2,119",872,349,"5,273","3,794","1,714","2,162"
2020년04월_남_30~39세,"42,042","1,685","3,096","2,617","2,552",865,226,"1,762",375,233,"2,948","1,768","1,746","1,226","1,345",643,382,"1,632",880,240,"7,406","4,097","2,432","1,886"
2020년04월_남_40~49세,"48,250","2,208","4,474","3,012","2,843","1,005",293,"1,628",531,394,"3,889","2,294","1,905","1,114","1,928",617,475,"1,825",824,305,"7,394","4,471","2,647","2,174"
2020년04월_남_50~59세,"44,399","2,804","3,675","2,412","1,595","1,172",399,"1,431",769,610,"4,094","2,494","1,632",992,"2,055",560,539,"2,172","1,035",460,"5,197","4,183","1,694","2,425"
