카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년01월_계_총인구수,"1,081,175","478,147","15,048","23,678","45,384","21,886","11,508","12,829","23,120","21,356","30,396","36,738","15,659","37,992","33,391","19,119","22,082","32,331","46,022","27,123","2,485","300,665","36,559","47,414","23,717","39,074","30,848","20,946","24,436","16,637","11,003","26,957","23,074","302,363","27,665","18,679","36,048","52,059","28,152","29,332","36,567","21,878","51,983"
2021년01월_계_연령구간인구수,"1,081,175","478,147","15,048","23,678","45,384","21,886","11,508","12,829","23,120","21,356","30,396","36,738","15,659","37,992","33,391","19,119","22,082","32,331","46,022","27,123","2,485","300,665","36,559","47,414","23,717","39,074","30,848","20,946","24,436","16,637","11,003","26,957","23,074","302,363","27,665","18,679","36,048","52,059","28,152","29,332","36,567","21,878","51,983"
2021년01월_계_0~9세,"81,889","38,517",570,"3,089","5,363","1,294",626,"1,884","2,321","2,591","2,202","2,138",890,"1,971","2,617",720,"1,362","2,243","2,720","3,836",80,"20,868","3,626","3,412","1,236","3,163","2,031",886,"1,407","1,224","1,389","1,104","1,390","22,504","1,990",918,"2,636","4,573","1,877","2,011","2,278","1,644","4,577"
2021년01월_계_10~19세,"104,814","41,468","1,184","1,987","3,976","1,847","1,070",917,"1,490","1,545","3,131","2,844","1,218","3,682","3,765","1,228","2,057","2,830","4,867","1,699",131,"29,618","4,854","4,477","2,095","4,518","2,750","1,335","3,295","2,231",945,"1,586","1,532","33,728","2,670","1,478","5,834","5,570","3,253","3,224","3,057","2,273","6,369"
2021년01월_계_20~29세,"150,816","62,787","2,122","2,256","5,062","3,004","1,470","1,544","2,729","2,371","3,614","4,348","2,120","6,222","4,646","2,852","3,110","4,978","6,960","2,995",384,"45,052","4,927","6,956","4,037","5,405","4,976","3,456","3,831","2,287","1,192","5,037","2,948","42,977","3,997","2,792","4,798","7,517","3,751","3,841","6,414","3,144","6,723"
2021년01월_계_30~39세,"143,262","68,185","1,532","3,991","7,646","2,552","1,290","2,762","4,460","4,787","3,290","4,123","1,828","4,260","4,319","2,289","2,726","4,855","5,111","6,096",268,"38,658","4,140","5,556","2,911","4,718","4,562","3,377","2,295","1,570","1,741","4,854","2,934","36,419","3,236","1,939","3,531","7,056","3,304","3,295","5,349","2,932","5,777"
2021년01월_계_40~49세,"182,175","78,812","2,153","4,288","8,442","3,485","1,744","2,191","3,799","3,700","5,299","5,746","2,248","5,871","6,204","2,741","3,512","4,986","7,450","4,654",299,"51,295","7,270","7,404","3,629","6,765","5,021","3,740","4,194","2,978","1,997","4,821","3,476","52,068","4,315","2,561","7,166","9,210","4,678","4,868","5,717","3,751","9,802"
2021년01월_계_50~59세,"194,901","82,908","3,181","3,310","6,456","4,224","2,126","1,639","3,301","2,692","5,091","6,940","3,162","7,556","5,797","4,025","4,278","5,985","9,308","3,370",467,"55,985","6,457","9,203","4,487","7,003","5,733","3,874","4,808","3,123","1,901","4,812","4,584","56,008","5,260","4,189","6,566","9,534","5,013","5,194","6,809","4,003","9,440"
2021년01월_계_60~69세,"122,721","57,521","2,352","2,804","4,740","2,976","1,616","1,080","2,744","2,122","4,069","5,839","2,326","4,169","3,129","2,983","2,819","3,443","5,235","2,617",458,"33,195","3,104","5,750","3,004","4,212","3,392","2,338","2,590","1,579","1,186","2,539","3,501","32,005","3,329","2,766","3,172","4,658","3,112","3,273","3,959","2,342","5,394"
2021년01월_계_70~79세,"62,076","30,512","1,253","1,333","2,517","1,573",951,519,"1,544","1,058","2,466","3,111","1,190","2,545","1,735","1,423","1,373","1,839","2,628","1,197",257,"15,670","1,391","2,752","1,451","2,061","1,490","1,156","1,162",846,453,"1,252","1,656","15,894","1,818","1,235","1,354","2,325","1,726","1,952","1,877","1,116","2,491"
