카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년10월_계_총인구수,"463,752","32,558","38,948","10,108","25,865","17,569","24,691","22,245","34,532","15,193","17,914","26,851","33,326","26,475","20,031","23,684","23,200","45,669",134,"24,759"
2021년10월_계_연령구간인구수,"463,752","32,558","38,948","10,108","25,865","17,569","24,691","22,245","34,532","15,193","17,914","26,851","33,326","26,475","20,031","23,684","23,200","45,669",134,"24,759"
2021년10월_계_0~9세,"34,674","3,021","5,039",872,"2,148","1,108","2,759","2,517","2,031","1,353","1,852","1,337","1,618","1,259","1,502","1,019","1,187","2,366",3,"1,683"
2021년10월_계_10~19세,"38,973","3,617","4,046","1,309","2,442","2,497","3,524","1,987","2,525","1,018","1,940","1,710","1,739","1,221","1,688","1,122","1,723","2,822",6,"2,037"
2021년10월_계_20~29세,"60,910","3,581","3,943","1,502","3,067","2,263","2,218","2,268","4,754","1,899","1,896","3,675","4,963","4,377","2,744","3,816","3,569","6,996",16,"3,363"
2021년10월_계_30~39세,"71,523","4,649","5,935","1,385","3,977","1,920","3,012","3,747","4,966","2,803","2,362","3,941","6,109","4,846","3,204","4,206","3,482","7,353",14,"3,612"
2021년10월_계_40~49세,"74,946","5,315","7,378","1,545","4,184","3,095","5,318","3,954","5,413","2,384","3,251","3,945","4,815","3,722","3,276","3,313","3,535","6,787",24,"3,692"
2021년10월_계_50~59세,"71,849","4,670","5,423","1,502","4,008","2,718","3,386","3,233","5,882","2,252","2,662","4,502","5,359","4,152","3,025","3,739","3,957","7,272",20,"4,087"
2021년10월_계_60~69세,"66,348","4,499","4,883","1,020","3,710","2,551","2,798","2,894","5,141","1,978","2,425","4,536","5,006","3,995","2,680","3,747","3,356","7,308",30,"3,791"
2021년10월_계_70~79세,"31,423","2,192","1,718",613,"1,639","1,010","1,098","1,168","2,716","1,088","1,085","2,283","2,650","2,057","1,364","1,910","1,717","3,393",12,"1,710"
2021년10월_계_80~89세,"11,137",841,485,301,571,318,432,403,958,375,370,789,939,745,470,723,583,"1,177",4,653
2021년10월_계_90~99세,"1,849",168,94,55,115,86,118,72,138,41,67,129,127,93,76,80,84,185,4,117
2021년10월_계_100세 이상,120,5,4,4,4,3,28,2,8,2,4,4,1,8,2,9,7,10,1,14
2021년10월_남_총인구수,"227,755","15,642","19,228","4,761","12,606","8,639","12,541","11,228","17,136","7,364","8,772","13,184","16,387","12,907","9,683","11,676","11,419","22,320",76,"12,186"
2021년10월_남_연령구간인구수,"227,755","15,642","19,228","4,761","12,606","8,639","12,541","11,228","17,136","7,364","8,772","13,184","16,387","12,907","9,683","11,676","11,419","22,320",76,"12,186"
2021년10월_남_0~9세,"18,045","1,593","2,598",429,"1,102",566,"1,477","1,304","1,034",705,945,663,844,675,799,534,633,"1,252",2,890
2021년10월_남_10~19세,"20,595","1,852","2,072",676,"1,294","1,390","2,002","1,062","1,301",506,"1,015",901,909,625,848,561,"1,012","1,477",3,"1,089"
2021년10월_남_20~29세,"29,766","1,815","2,021",676,"1,565","1,104","1,182","1,191","2,496",894,965,"1,811","2,270","1,891","1,373","1,727","1,820","3,292",9,"1,664"
2021년10월_남_30~39세,"35,428","2,193","2,716",637,"1,964",934,"1,405","1,796","2,577","1,374","1,069","2,084","3,139","2,405","1,540","2,195","1,797","3,757",8,"1,838"
2021년10월_남_40~49세,"37,532","2,607","3,731",724,"1,993","1,378","2,630","2,039","2,776","1,207","1,606","2,061","2,478","1,926","1,588","1,732","1,718","3,473",11,"1,854"
2021년10월_남_50~59세,"35,272","2,218","2,618",766,"1,946","1,354","1,734","1,643","2,890","1,094","1,299","2,162","2,697","2,151","1,433","1,876","1,896","3,525",12,"1,958"
2021년10월_남_60~69세,"31,223","1,987","2,372",457,"1,701","1,232","1,375","1,410","2,429",895,"1,152","2,110","2,416","1,956","1,224","1,797","1,496","3,423",18,"1,773"
2021년10월_남_70~79세,"15,165","1,035",908,270,799,545,536,603,"1,234",519,550,"1,072","1,243",981,653,925,799,"1,631",7,855
2021년10월_남_80~89세,"4,316",297,178,110,222,120,169,161,369,162,156,304,366,278,201,307,226,450,4,236
2021년10월_남_90~99세,380,44,13,16,18,16,21,18,28,7,12,16,25,17,23,19,19,38,2,28
2021년10월_남_100세 이상,33,1,1,0,2,0,10,1,2,1,3,0,0,2,1,3,3,2,0,1
2021년10월_여_총인구수,"235,997","16,916","19,720","5,347","13,259","8,930","12,150","11,017","17,396","7,829","9,142","13,667","16,939","13,568","10,348","12,008","11,781","23,349",58,"12,573"
2021년10월_여_연령구간인구수,"235,997","16,916","19,720","5,347","13,259","8,930","12,150","11,017","17,396","7,829","9,142","13,667","16,939","13,568","10,348","12,008","11,781","23,349",58,"12,573"
2021년10월_여_0~9세,"16,629","1,428","2,441",443,"1,046",542,"1,282","1,213",997,648,907,674,774,584,703,485,554,"1,114",1,793
2021년10월_여_10~19세,"18,378","1,765","1,974",633,"1,148","1,107","1,522",925,"1,224",512,925,809,830,596,840,561,711,"1,345",3,948
2021년10월_여_20~29세,"31,144","1,766","1,922",826,"1,502","1,159","1,036","1,077","2,258","1,005",931,"1,864","2,693","2,486","1,371","2,089","1,749","3,704",7,"1,699"
2021년10월_여_30~39세,"36,095","2,456","3,219",748,"2,013",986,"1,607","1,951","2,389","1,429","1,293","1,857","2,970","2,441","1,664","2,011","1,685","3,596",6,"1,774"
2021년10월_여_40~49세,"37,414","2,708","3,647",821,"2,191","1,717","2,688","1,915","2,637","1,177","1,645","1,884","2,337","1,796","1,688","1,581","1,817","3,314",13,"1,838"
2021년10월_여_50~59세,"36,577","2,452","2,805",736,"2,062","1,364","1,652","1,590","2,992","1,158","1,363","2,340","2,662","2,001","1,592","1,863","2,061","3,747",8,"2,129"
2021년10월_여_60~69세,"35,125","2,512","2,511",563,"2,009","1,319","1,423","1,484","2,712","1,083","1,273","2,426","2,590","2,039","1,456","1,950","1,860","3,885",12,"2,018"
2021년10월_여_70~79세,"16,258","1,157",810,343,840,465,562,565,"1,482",569,535,"1,211","1,407","1,076",711,985,918,"1,762",5,855
2021년10월_여_80~89세,"6,821",544,307,191,349,198,263,242,589,213,214,485,573,467,269,416,357,727,0,417
2021년10월_여_90~99세,"1,469",124,81,39,97,70,97,54,110,34,55,113,102,76,53,61,65,147,2,89
2021년10월_여_100세 이상,87,4,3,4,2,3,18,1,6,1,1,4,1,6,1,6,4,8,1,13
