,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년06월_계_총인구수,"658,670","13,337","25,157","12,690","19,012","19,191","19,128","15,835","26,483","18,239","38,814","24,270","19,460","31,968","30,899","26,587","27,403","32,626","20,280","29,157","29,570","32,301","28,258","35,474","34,680","21,332","16,860","9,659"
2021년06월_계_연령구간인구수,"658,670","13,337","25,157","12,690","19,012","19,191","19,128","15,835","26,483","18,239","38,814","24,270","19,460","31,968","30,899","26,587","27,403","32,626","20,280","29,157","29,570","32,301","28,258","35,474","34,680","21,332","16,860","9,659"
2021년06월_계_0~9세,"48,533",661,"1,886",618,"1,315",883,838,"1,007","1,144","1,247","2,750","1,168","1,511","1,538","1,482","1,582","3,104","2,533","1,280","1,643","2,277","5,067","1,216","3,965","3,172","2,682","1,399",565
2021년06월_계_10~19세,"57,871",841,"2,009",940,"1,498","1,564","1,315","1,629","1,246","2,677","3,085","1,338","1,826","1,846","1,971","1,829","2,285","3,437","1,470","1,423","2,677","4,277","1,707","5,819","4,029","2,410","1,725",998
2021년06월_계_20~29세,"92,215","1,647","3,835","1,828","2,235","2,308","2,427","2,411","5,356","2,163","5,406","4,495","2,718","5,495","5,256","4,080","3,288","4,497","3,150","5,183","4,018","3,061","5,087","3,287","3,770","1,973","1,994","1,247"
2021년06월_계_30~39세,"107,398","1,847","4,140","1,733","2,675","2,165","2,216","2,234","6,167","1,676","5,530","5,339","2,831","6,893","6,518","4,659","5,004","4,728","3,478","7,436","4,666","5,360","6,084","3,768","4,187","2,889","2,199",976
2021년06월_계_40~49세,"107,534","1,875","4,030","1,820","2,940","2,741","2,684","2,560","3,656","3,240","5,701","3,438","3,056","4,797","5,090","3,818","4,408","5,569","2,872","4,362","4,701","6,578","4,410","8,535","6,184","4,360","2,767","1,342"
2021년06월_계_50~59세,"101,179","2,280","3,639","2,289","3,276","3,536","3,632","2,674","3,606","3,128","6,768","3,365","3,135","4,678","4,427","4,637","3,970","5,218","3,320","3,480","4,788","3,814","4,070","4,985","5,218","2,947","2,637","1,662"
2021년06월_계_60~69세,"86,178","2,482","3,334","1,984","2,841","3,279","3,467","2,018","3,223","2,553","5,796","3,090","2,728","3,975","3,743","3,763","3,529","4,174","2,997","3,177","3,883","2,590","3,462","2,956","4,747","2,450","2,454","1,483"
2021년06월_계_70~79세,"40,706","1,179","1,625","1,045","1,558","1,889","1,735",862,"1,523","1,084","2,534","1,469","1,162","2,005","1,739","1,543","1,405","1,695","1,220","1,634","1,735","1,098","1,630","1,602","2,509","1,181","1,146",899
