카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년01월_계_총인구수,"222,628","20,416","28,494","28,702","70,621","19,399","21,718","8,399","7,731","4,221","3,140","7,962","1,825"
2021년01월_계_연령구간인구수,"222,628","20,416","28,494","28,702","70,621","19,399","21,718","8,399","7,731","4,221","3,140","7,962","1,825"
2021년01월_계_0~9세,"17,680","1,494","2,412","2,597","6,609","1,787","1,500",486,281,139,56,266,53
2021년01월_계_10~19세,"22,393","1,633","2,781","3,282","9,970","1,548","1,492",518,390,191,111,409,68
2021년01월_계_20~29세,"26,537","2,531","3,536","3,323","9,264","2,309","2,712",736,831,297,172,712,114
2021년01월_계_30~39세,"25,734","2,816","3,237","3,522","7,676","2,884","2,936",881,628,283,210,545,116
2021년01월_계_40~49세,"37,193","3,715","4,542","5,372","13,729","2,948","3,158","1,178",794,428,250,915,164
2021년01월_계_50~59세,"41,944","4,011","5,265","5,139","12,909","3,502","4,288","1,601","1,687",914,555,"1,713",360
2021년01월_계_60~69세,"29,878","2,549","3,965","3,251","6,669","2,667","3,289","1,642","1,652","1,069",825,"1,832",468
2021년01월_계_70~79세,"13,776","1,114","1,760","1,436","2,581","1,145","1,569",904,927,538,547,974,281
2021년01월_계_80~89세,"6,478",475,863,686,"1,075",513,657,400,471,301,352,510,175
2021년01월_계_90~99세,981,67,126,93,137,91,116,51,70,59,62,84,25
2021년01월_계_100세 이상,34,11,7,1,2,5,1,2,0,2,0,2,1
2021년01월_남_총인구수,"114,952","11,669","14,289","14,968","35,524","10,026","11,165","4,537","4,036","2,186","1,560","4,048",944
2021년01월_남_연령구간인구수,"114,952","11,669","14,289","14,968","35,524","10,026","11,165","4,537","4,036","2,186","1,560","4,048",944
2021년01월_남_0~9세,"9,077",778,"1,203","1,348","3,387",907,787,253,150,70,31,143,20
2021년01월_남_10~19세,"11,643",863,"1,412","1,679","5,215",775,781,278,222,103,53,224,38
2021년01월_남_20~29세,"15,081","1,577","2,003","1,857","5,125","1,253","1,558",446,500,171,102,420,69
2021년01월_남_30~39세,"13,689","1,765","1,676","1,854","3,705","1,595","1,610",471,351,165,119,315,63
2021년01월_남_40~49세,"18,999","2,270","2,233","2,807","6,377","1,508","1,631",743,455,250,147,475,103
2021년01월_남_50~59세,"22,231","2,385","2,651","2,797","6,690","1,857","2,163",927,890,495,303,870,203
2021년01월_남_60~69세,"15,463","1,364","1,977","1,738","3,454","1,401","1,639",839,868,561,432,941,249
2021년01월_남_70~79세,"6,501",506,842,662,"1,209",540,748,421,436,270,252,483,132
2021년01월_남_80~89세,"2,071",148,269,206,335,170,225,148,145,92,110,160,63
2021년01월_남_90~99세,192,10,23,20,27,19,23,10,19,9,11,17,4
2021년01월_남_100세 이상,5,3,0,0,0,1,0,1,0,0,0,0,0
2021년01월_여_총인구수,"107,676","8,747","14,205","13,734","35,097","9,373","10,553","3,862","3,695","2,035","1,580","3,914",881
2021년01월_여_연령구간인구수,"107,676","8,747","14,205","13,734","35,097","9,373","10,553","3,862","3,695","2,035","1,580","3,914",881
2021년01월_여_0~9세,"8,603",716,"1,209","1,249","3,222",880,713,233,131,69,25,123,33
2021년01월_여_10~19세,"10,750",770,"1,369","1,603","4,755",773,711,240,168,88,58,185,30
2021년01월_여_20~29세,"11,456",954,"1,533","1,466","4,139","1,056","1,154",290,331,126,70,292,45
2021년01월_여_30~39세,"12,045","1,051","1,561","1,668","3,971","1,289","1,326",410,277,118,91,230,53
2021년01월_여_40~49세,"18,194","1,445","2,309","2,565","7,352","1,440","1,527",435,339,178,103,440,61
2021년01월_여_50~59세,"19,713","1,626","2,614","2,342","6,219","1,645","2,125",674,797,419,252,843,157
2021년01월_여_60~69세,"14,415","1,185","1,988","1,513","3,215","1,266","1,650",803,784,508,393,891,219
2021년01월_여_70~79세,"7,275",608,918,774,"1,372",605,821,483,491,268,295,491,149
2021년01월_여_80~89세,"4,407",327,594,480,740,343,432,252,326,209,242,350,112
2021년01월_여_90~99세,789,57,103,73,110,72,93,41,51,50,51,67,21
2021년01월_여_100세 이상,29,8,7,1,2,4,1,1,0,2,0,2,1
