,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년11월_계_총인구수,"215,527","7,046","6,647","8,939","13,488","28,773","5,219","8,657","8,512","6,416","12,226","6,359","21,908","8,021","29,449","16,151","21,401","6,315"
2021년11월_계_연령구간인구수,"215,527","7,046","6,647","8,939","13,488","28,773","5,219","8,657","8,512","6,416","12,226","6,359","21,908","8,021","29,449","16,151","21,401","6,315"
2021년11월_계_0~9세,"17,041",422,507,446,790,"2,853",260,558,311,234,897,445,"1,676",451,"2,141","1,544","3,119",387
2021년11월_계_10~19세,"22,738",757,652,734,"1,267","4,886",285,508,548,331,"1,136",417,"2,265",543,"4,089","1,718","2,193",409
2021년11월_계_20~29세,"27,682",790,826,"1,183","1,958","3,179",645,"1,021","1,150",918,"1,490",990,"3,154","1,037","4,153","2,142","2,530",516
2021년11월_계_30~39세,"25,252",640,788,839,"1,520","2,689",614,"1,146","1,018",737,"1,374",877,"2,590",891,"2,882","2,239","3,825",583
2021년11월_계_40~49세,"34,296","1,016","1,061","1,205","1,993","5,615",743,"1,197","1,122",811,"1,841",865,"3,509","1,075","4,932","2,722","3,783",806
2021년11월_계_50~59세,"32,915","1,102",967,"1,469","2,133","4,299",833,"1,321","1,429","1,131","1,886",943,"3,549","1,348","4,730","2,100","2,701",974
2021년11월_계_60~69세,"29,082","1,016",911,"1,426","1,959","2,960",839,"1,298","1,525","1,247","1,900",916,"2,896","1,439","3,480","2,049","2,025","1,196"
2021년11월_계_70~79세,"17,554",864,641,"1,090","1,136","1,441",666,"1,074",965,693,"1,131",618,"1,601",876,"2,014","1,134",794,816
2021년11월_계_80~89세,"7,799",380,261,481,634,725,305,470,388,279,487,255,591,323,898,422,354,546
2021년11월_계_90~99세,"1,132",56,27,64,95,124,28,63,54,35,83,33,76,36,130,75,75,78
