카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년08월_계_총인구수,"1,540,689","281,854","352,964","212,935","90,548","42,980","82,343","65,708","69,167","46,409","38,773","41,742","37,006","44,833","24,802","22,329","31,571","26,857","27,868"
2020년08월_계_연령구간인구수,"1,540,689","281,854","352,964","212,935","90,548","42,980","82,343","65,708","69,167","46,409","38,773","41,742","37,006","44,833","24,802","22,329","31,571","26,857","27,868"
2020년08월_계_0~9세,"107,032","21,827","28,583","13,710","6,758","2,674","5,903","3,929","3,846","2,215","1,706","1,930","1,761","3,373","1,852","1,767","2,529","1,302","1,367"
2020년08월_계_10~19세,"139,068","27,139","36,157","19,281","8,839","3,864","7,534","5,265","5,251","3,614","2,971","2,970","2,600","3,847","1,813","2,100","2,299","1,647","1,877"
2020년08월_계_20~29세,"179,267","37,103","45,212","25,069","9,353","3,677","8,971","7,397","6,939","3,856","3,302","3,377","2,840","5,861","3,854","3,099","4,060","2,921","2,376"
2020년08월_계_30~39세,"167,651","34,416","45,394","21,815","9,377","3,895","9,278","5,940","6,173","3,486","2,850","3,189","3,178","4,732","2,860","2,597","3,881","2,217","2,373"
2020년08월_계_40~49세,"225,317","42,504","57,409","32,400","14,700","6,506","12,532","9,033","8,324","5,124","4,682","5,392","4,983","5,755","2,764","2,567","4,000","3,097","3,545"
2020년08월_계_50~59세,"268,684","47,083","60,505","36,782","15,624","7,459","15,138","11,446","12,895","8,848","7,424","8,156","7,117","7,310","3,978","3,570","5,313","4,915","5,121"
2020년08월_계_60~69세,"235,672","37,310","44,317","32,970","13,604","7,622","12,440","10,942","13,437","9,936","7,931","8,673","7,402","6,570","3,683","3,312","5,035","5,074","5,414"
2020년08월_계_70~79세,"135,836","21,027","21,678","19,508","8,069","4,908","6,766","7,233","7,317","5,643","4,885","5,038","4,562","4,792","2,450","2,037","2,723","3,528","3,672"
2020년08월_계_80~89세,"70,320","11,445","11,829","9,683","3,682","2,046","3,147","3,900","4,321","3,139","2,624","2,626","2,167","2,191","1,322","1,122","1,472","1,808","1,796"
2020년08월_계_90~99세,"11,003","1,889","1,772","1,611",512,267,600,573,622,515,347,350,346,356,211,144,245,332,311
2020년08월_계_100세 이상,839,111,108,106,30,62,34,50,42,33,51,41,50,46,15,14,14,16,16
