카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년02월_계_총인구수,"24,673","8,473","2,728","2,920","4,212","6,340"
2020년02월_계_연령구간인구수,"24,673","8,473","2,728","2,920","4,212","6,340"
2020년02월_계_0~9세,"1,836",766,57,128,300,585
2020년02월_계_10~19세,"1,864",764,165,303,171,461
2020년02월_계_20~29세,"3,851","1,214",277,281,"1,086",993
2020년02월_계_30~39세,"2,834","1,043",137,254,523,877
2020년02월_계_40~49세,"2,811","1,172",240,398,330,671
2020년02월_계_50~59세,"3,998","1,355",598,546,543,956
2020년02월_계_60~69세,"3,512",990,564,467,570,921
2020년02월_계_70~79세,"2,480",757,421,331,418,553
2020년02월_계_80~89세,"1,285",363,229,186,234,273
2020년02월_계_90~99세,187,46,39,21,35,46
2020년02월_계_100세 이상,15,3,1,5,2,4
2020년02월_남_총인구수,"13,334","4,394","1,473","1,522","2,542","3,403"
2020년02월_남_연령구간인구수,"13,334","4,394","1,473","1,522","2,542","3,403"
2020년02월_남_0~9세,911,378,32,71,142,288
2020년02월_남_10~19세,966,405,86,154,95,226
2020년02월_남_20~29세,"2,653",726,209,150,879,689
2020년02월_남_30~39세,"1,639",577,76,131,352,503
2020년02월_남_40~49세,"1,539",613,123,232,198,373
2020년02월_남_50~59세,"2,170",734,343,311,289,493
2020년02월_남_60~69세,"1,861",513,315,249,317,467
2020년02월_남_70~79세,"1,085",306,196,157,176,250
2020년02월_남_80~89세,456,131,84,59,86,96
2020년02월_남_90~99세,47,10,8,6,7,16
2020년02월_남_100세 이상,7,1,1,2,1,2
2020년02월_여_총인구수,"11,339","4,079","1,255","1,398","1,670","2,937"
2020년02월_여_연령구간인구수,"11,339","4,079","1,255","1,398","1,670","2,937"
2020년02월_여_0~9세,925,388,25,57,158,297
2020년02월_여_10~19세,898,359,79,149,76,235
2020년02월_여_20~29세,"1,198",488,68,131,207,304
2020년02월_여_30~39세,"1,195",466,61,123,171,374
2020년02월_여_40~49세,"1,272",559,117,166,132,298
2020년02월_여_50~59세,"1,828",621,255,235,254,463
2020년02월_여_60~69세,"1,651",477,249,218,253,454
2020년02월_여_70~79세,"1,395",451,225,174,242,303
2020년02월_여_80~89세,829,232,145,127,148,177
2020년02월_여_90~99세,140,36,31,15,28,30
2020년02월_여_100세 이상,8,2,0,3,1,2
