카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년08월_계_총인구수,"528,255","32,130","36,220","28,797","15,365","22,995","22,394","28,588","29,304","16,678","25,007","18,118","21,674","15,860","25,108","20,659","40,040","21,526","32,528","32,947","42,317"
2020년08월_계_연령구간인구수,"528,255","32,130","36,220","28,797","15,365","22,995","22,394","28,588","29,304","16,678","25,007","18,118","21,674","15,860","25,108","20,659","40,040","21,526","32,528","32,947","42,317"
2020년08월_계_0~9세,"43,222","3,308","3,708","1,599",715,"1,328","1,707","1,669","1,869",817,"1,869","1,364","1,560",700,"1,564","1,754","6,135","1,365","2,962","2,584","4,645"
2020년08월_계_10~19세,"50,459","3,053","4,491","1,729","1,110","1,679","2,159","2,206","2,397","1,151","2,483","1,683","1,987","1,034","2,407","2,256","3,609","1,981","3,636","3,426","5,982"
2020년08월_계_20~29세,"71,493","4,234","4,370","6,368","2,172","3,242","2,936","4,146","4,313","2,103","3,311","2,512","2,940","2,219","3,523","2,423","4,054","2,940","4,229","4,547","4,911"
2020년08월_계_30~39세,"73,985","4,902","4,644","5,441","1,755","3,305","2,850","3,791","4,205","2,037","3,155","2,317","2,903","1,915","2,979","2,524","7,920","2,334","4,697","4,682","5,629"
2020년08월_계_40~49세,"89,489","5,607","6,773","4,521","2,323","3,520","3,899","4,433","4,573","2,414","4,215","2,933","3,361","2,194","3,872","3,540","7,308","3,473","5,871","5,727","8,932"
2020년08월_계_50~59세,"90,624","5,150","5,808","4,389","3,121","4,099","3,821","5,423","5,328","3,238","4,401","3,280","3,830","3,143","4,909","3,523","4,965","4,377","5,544","5,578","6,697"
2020년08월_계_60~69세,"64,107","3,605","3,935","2,839","2,262","3,168","2,877","3,985","3,914","2,590","3,386","2,423","3,004","2,652","3,345","2,848","3,893","2,960","3,367","3,584","3,470"
2020년08월_계_70~79세,"30,531","1,527","1,786","1,346","1,278","1,806","1,493","2,015","1,822","1,483","1,559","1,147","1,364","1,428","1,595","1,226","1,561","1,433","1,492","1,813","1,357"
2020년08월_계_80~89세,"12,249",614,585,496,547,736,543,791,745,744,526,384,617,498,767,489,509,574,610,868,606
2020년08월_계_90~99세,"1,962",124,108,67,72,103,105,113,126,99,85,66,105,76,142,75,83,85,117,126,85
2020년08월_계_100세 이상,134,6,12,2,10,9,4,16,12,2,17,9,3,1,5,1,3,4,3,12,3
2020년08월_남_총인구수,"262,483","15,660","17,822","14,358","7,760","11,317","11,242","14,298","14,609","8,083","12,264","9,131","10,602","7,995","12,256","10,283","19,855","11,050","16,363","16,637","20,898"
2020년08월_남_연령구간인구수,"262,483","15,660","17,822","14,358","7,760","11,317","11,242","14,298","14,609","8,083","12,264","9,131","10,602","7,995","12,256","10,283","19,855","11,050","16,363","16,637","20,898"
2020년08월_남_0~9세,"22,209","1,678","1,931",853,376,708,885,830,953,411,947,707,773,368,815,877,"3,156",705,"1,506","1,349","2,381"
2020년08월_남_10~19세,"25,809","1,482","2,330",888,599,858,"1,132","1,100","1,210",596,"1,241",860,"1,049",516,"1,219","1,175","1,883","1,066","1,842","1,791","2,972"
2020년08월_남_20~29세,"36,943","2,101","2,267","2,879","1,143","1,666","1,564","2,142","2,203","1,084","1,730","1,304","1,564","1,198","1,860","1,318","2,012","1,631","2,270","2,451","2,556"
2020년08월_남_30~39세,"38,002","2,371","2,175","2,972",999,"1,768","1,428","2,010","2,222","1,072","1,620","1,252","1,516","1,086","1,547","1,275","3,844","1,223","2,464","2,557","2,601"
2020년08월_남_40~49세,"45,501","2,910","3,261","2,434","1,244","1,833","2,014","2,325","2,304","1,275","2,094","1,504","1,633","1,195","1,837","1,774","3,821","1,818","2,980","2,924","4,321"
2020년08월_남_50~59세,"44,672","2,476","2,897","2,164","1,577","1,968","1,912","2,718","2,621","1,591","2,098","1,629","1,815","1,547","2,346","1,697","2,338","2,230","2,798","2,761","3,489"
2020년08월_남_60~69세,"30,972","1,717","1,872","1,366","1,080","1,472","1,392","1,937","1,956","1,230","1,580","1,201","1,399","1,253","1,670","1,395","1,885","1,498","1,611","1,706","1,752"
2020년08월_남_70~79세,"13,817",701,845,601,545,784,694,919,858,594,744,530,637,634,703,567,754,663,661,772,611
2020년08월_남_80~89세,"4,131",205,215,180,184,248,185,283,253,213,187,128,193,188,236,185,151,198,208,293,198
