카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년03월_계_총인구수,"38,333","15,573","5,041","3,521","2,394","2,888","1,306","2,134","1,125","1,473","2,878"
2020년03월_계_연령구간인구수,"38,333","15,573","5,041","3,521","2,394","2,888","1,306","2,134","1,125","1,473","2,878"
2020년03월_계_0~9세,"2,068","1,336",155,146,88,87,39,42,20,45,110
2020년03월_계_10~19세,"2,966","1,650",323,233,118,142,58,114,46,85,197
2020년03월_계_20~29세,"3,217","1,628",343,263,152,213,83,146,80,96,213
2020년03월_계_30~39세,"2,944","1,655",305,204,146,190,80,89,43,68,164
2020년03월_계_40~49세,"4,303","2,156",448,377,218,268,115,169,108,153,291
2020년03월_계_50~59세,"6,506","2,495",886,606,371,525,209,406,272,254,482
2020년03월_계_60~69세,"6,375","2,104",961,648,478,539,272,362,232,218,561
2020년03월_계_70~79세,"5,531","1,480",917,570,436,484,213,421,184,268,558
2020년03월_계_80~89세,"3,809",892,624,424,327,365,208,341,121,231,276
2020년03월_계_90~99세,587,165,78,45,56,74,26,44,18,55,26
2020년03월_계_100세 이상,27,12,1,5,4,1,3,0,1,0,0
2020년03월_남_총인구수,"18,625","7,587","2,443","1,700","1,153","1,420",628,"1,012",559,710,"1,413"
2020년03월_남_연령구간인구수,"18,625","7,587","2,443","1,700","1,153","1,420",628,"1,012",559,710,"1,413"
2020년03월_남_0~9세,"1,063",670,83,63,53,52,23,20,8,27,64
2020년03월_남_10~19세,"1,564",856,189,122,63,80,26,54,28,39,107
2020년03월_남_20~29세,"1,791",887,197,147,90,123,40,88,40,57,122
2020년03월_남_30~39세,"1,572",831,167,108,92,118,41,53,31,36,95
2020년03월_남_40~49세,"2,391","1,088",262,238,135,160,76,109,65,85,173
2020년03월_남_50~59세,"3,500","1,297",470,332,193,285,117,235,159,159,253
2020년03월_남_60~69세,"3,160","1,010",484,316,263,283,139,181,115,110,259
2020년03월_남_70~79세,"2,316",639,378,235,165,213,95,165,72,109,245
2020년03월_남_80~89세,"1,154",279,199,125,95,90,64,100,35,77,90
2020년03월_남_90~99세,110,29,14,12,4,16,6,7,6,11,5
2020년03월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년03월_여_총인구수,"19,708","7,986","2,598","1,821","1,241","1,468",678,"1,122",566,763,"1,465"
2020년03월_여_연령구간인구수,"19,708","7,986","2,598","1,821","1,241","1,468",678,"1,122",566,763,"1,465"
2020년03월_여_0~9세,"1,005",666,72,83,35,35,16,22,12,18,46
2020년03월_여_10~19세,"1,402",794,134,111,55,62,32,60,18,46,90
2020년03월_여_20~29세,"1,426",741,146,116,62,90,43,58,40,39,91
2020년03월_여_30~39세,"1,372",824,138,96,54,72,39,36,12,32,69
2020년03월_여_40~49세,"1,912","1,068",186,139,83,108,39,60,43,68,118
2020년03월_여_50~59세,"3,006","1,198",416,274,178,240,92,171,113,95,229
2020년03월_여_60~69세,"3,215","1,094",477,332,215,256,133,181,117,108,302
2020년03월_여_70~79세,"3,215",841,539,335,271,271,118,256,112,159,313
2020년03월_여_80~89세,"2,655",613,425,299,232,275,144,241,86,154,186
2020년03월_여_90~99세,477,136,64,33,52,58,20,37,12,44,21
2020년03월_여_100세 이상,23,11,1,3,4,1,2,0,1,0,0
