,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년07월_계_총인구수,"74,433","8,237","6,640","4,929","4,442","4,923","8,010","4,953","4,284","6,885","11,696","7,385","2,049"
2021년07월_계_연령구간인구수,"74,433","8,237","6,640","4,929","4,442","4,923","8,010","4,953","4,284","6,885","11,696","7,385","2,049"
2021년07월_계_0~9세,"4,823",294,404,146,121,583,857,246,259,536,836,479,62
2021년07월_계_10~19세,"4,943",476,384,212,183,212,545,279,269,544,"1,065",641,133
2021년07월_계_20~29세,"11,474","1,419","1,829","1,463",783,543,815,869,608,706,"1,261",959,219
2021년07월_계_30~39세,"10,436","1,131","1,246",756,549,983,"1,273",631,630,884,"1,320",848,185
2021년07월_계_40~49세,"10,460","1,052",891,529,478,712,"1,201",652,604,"1,127","1,826","1,083",305
2021년07월_계_50~59세,"10,972","1,260",711,597,708,658,"1,205",765,655,"1,038","1,807","1,233",335
2021년07월_계_60~69세,"10,192","1,212",617,586,774,653,"1,107",715,544,970,"1,728",937,349
2021년07월_계_70~79세,"7,129",895,349,409,549,388,658,519,442,710,"1,178",712,320
2021년07월_계_80~89세,"3,458",427,181,187,239,171,296,255,221,327,593,434,127
2021년07월_계_90~99세,474,64,27,42,44,19,41,21,37,39,71,55,14
2021년07월_계_100세 이상,72,7,1,2,14,1,12,1,15,4,11,4,0
2021년07월_남_총인구수,"35,757","4,085","3,155","2,363","2,257","2,474","3,902","2,373","2,039","3,175","5,469","3,457","1,008"
2021년07월_남_연령구간인구수,"35,757","4,085","3,155","2,363","2,257","2,474","3,902","2,373","2,039","3,175","5,469","3,457","1,008"
2021년07월_남_0~9세,"2,477",129,206,77,60,286,420,131,128,306,449,251,34
2021년07월_남_10~19세,"2,533",238,185,111,91,110,309,134,135,267,569,307,77
2021년07월_남_20~29세,"5,471",686,808,622,373,280,423,411,289,332,650,476,121
2021년07월_남_30~39세,"5,420",620,671,423,350,494,621,332,309,434,648,416,102
2021년07월_남_40~49세,"5,288",579,461,270,255,391,627,332,302,540,877,511,143
2021년07월_남_50~59세,"5,454",679,341,321,386,321,572,393,338,498,835,593,177
2021년07월_남_60~69세,"4,708",596,257,297,389,338,529,332,250,412,730,417,161
2021년07월_남_70~79세,"3,008",379,151,167,244,192,271,223,195,270,492,284,140
2021년07월_남_80~89세,"1,266",162,67,65,95,60,119,80,83,107,201,179,48
2021년07월_남_90~99세,118,16,8,9,11,2,9,4,7,9,16,22,5
2021년07월_남_100세 이상,14,1,0,1,3,0,2,1,3,0,2,1,0
2021년07월_여_총인구수,"38,676","4,152","3,485","2,566","2,185","2,449","4,108","2,580","2,245","3,710","6,227","3,928","1,041"
2021년07월_여_연령구간인구수,"38,676","4,152","3,485","2,566","2,185","2,449","4,108","2,580","2,245","3,710","6,227","3,928","1,041"
2021년07월_여_0~9세,"2,346",165,198,69,61,297,437,115,131,230,387,228,28
2021년07월_여_10~19세,"2,410",238,199,101,92,102,236,145,134,277,496,334,56
2021년07월_여_20~29세,"6,003",733,"1,021",841,410,263,392,458,319,374,611,483,98
2021년07월_여_30~39세,"5,016",511,575,333,199,489,652,299,321,450,672,432,83
2021년07월_여_40~49세,"5,172",473,430,259,223,321,574,320,302,587,949,572,162
2021년07월_여_50~59세,"5,518",581,370,276,322,337,633,372,317,540,972,640,158
2021년07월_여_60~69세,"5,484",616,360,289,385,315,578,383,294,558,998,520,188
2021년07월_여_70~79세,"4,121",516,198,242,305,196,387,296,247,440,686,428,180
2021년07월_여_80~89세,"2,192",265,114,122,144,111,177,175,138,220,392,255,79
2021년07월_여_90~99세,356,48,19,33,33,17,32,17,30,30,55,33,9
2021년07월_여_100세 이상,58,6,1,1,11,1,10,0,12,4,9,3,0
