,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년03월_계_총인구수,"115,573","8,138","13,453","4,125","4,231","2,997","3,571","3,534","6,038","2,419","6,253","3,378","3,967","2,248","34,959","16,262"
2021년03월_계_연령구간인구수,"115,573","8,138","13,453","4,125","4,231","2,997","3,571","3,534","6,038","2,419","6,253","3,378","3,967","2,248","34,959","16,262"
2021년03월_계_0~9세,"7,113",309,864,121,109,108,72,88,193,67,400,57,105,59,"3,311","1,250"
2021년03월_계_10~19세,"9,687",637,"1,103",174,242,141,166,156,317,97,420,122,200,132,"3,952","1,828"
2021년03월_계_20~29세,"11,157",706,"1,259",280,283,189,212,248,363,118,463,213,430,148,"4,463","1,782"
2021년03월_계_30~39세,"10,543",532,"1,245",233,246,218,210,204,333,108,547,162,252,127,"4,563","1,563"
2021년03월_계_40~49세,"15,117",935,"1,657",358,396,296,376,356,536,228,633,302,436,200,"5,853","2,555"
2021년03월_계_50~59세,"19,360","1,434","2,090",663,750,479,680,636,"1,164",430,"1,045",583,707,368,"5,466","2,865"
2021년03월_계_60~69세,"20,306","1,687","2,412",961,978,665,854,853,"1,492",606,"1,166",866,838,539,"4,044","2,345"
2021년03월_계_70~79세,"12,938","1,156","1,601",714,703,498,543,555,946,438,874,595,555,367,"2,095","1,298"
2021년03월_계_80~89세,"8,128",636,"1,057",558,478,347,396,379,599,277,615,413,373,248,"1,062",690
2021년03월_계_90~99세,"1,176",101,162,61,45,53,59,57,89,49,89,65,67,56,141,82
2021년03월_계_100세 이상,48,5,3,2,1,3,3,2,6,1,1,0,4,4,9,4
2021년03월_남_총인구수,"57,835","3,991","6,710","2,089","2,147","1,511","1,780","1,799","3,144","1,231","3,187","1,714","2,108","1,076","17,441","7,907"
2021년03월_남_연령구간인구수,"57,835","3,991","6,710","2,089","2,147","1,511","1,780","1,799","3,144","1,231","3,187","1,714","2,108","1,076","17,441","7,907"
2021년03월_남_0~9세,"3,632",163,436,63,55,57,38,45,105,28,208,33,52,30,"1,690",629
2021년03월_남_10~19세,"5,014",325,566,97,120,75,93,74,176,55,242,66,89,61,"2,042",933
2021년03월_남_20~29세,"6,241",402,715,159,160,112,115,140,221,63,271,123,271,84,"2,412",993
2021년03월_남_30~39세,"5,603",278,688,153,148,123,111,120,184,71,286,103,167,71,"2,340",760
2021년03월_남_40~49세,"8,019",503,914,237,247,168,202,218,304,140,338,169,282,108,"2,926","1,263"
2021년03월_남_50~59세,"10,240",733,"1,110",347,412,286,382,358,649,246,574,316,411,205,"2,756","1,455"
2021년03월_남_60~69세,"10,246",830,"1,205",499,526,334,443,446,806,319,618,464,445,273,"1,945","1,093"
2021년03월_남_70~79세,"5,782",494,708,301,321,233,254,265,456,212,396,277,252,147,933,533
2021년03월_남_80~89세,"2,755",232,335,214,149,111,122,123,218,84,229,143,125,79,357,234
2021년03월_남_90~99세,293,28,33,19,9,12,20,10,24,13,25,20,13,17,37,13
2021년03월_남_100세 이상,10,3,0,0,0,0,0,0,1,0,0,0,1,1,3,1
2021년03월_여_총인구수,"57,738","4,147","6,743","2,036","2,084","1,486","1,791","1,735","2,894","1,188","3,066","1,664","1,859","1,172","17,518","8,355"
2021년03월_여_연령구간인구수,"57,738","4,147","6,743","2,036","2,084","1,486","1,791","1,735","2,894","1,188","3,066","1,664","1,859","1,172","17,518","8,355"
2021년03월_여_0~9세,"3,481",146,428,58,54,51,34,43,88,39,192,24,53,29,"1,621",621
2021년03월_여_10~19세,"4,673",312,537,77,122,66,73,82,141,42,178,56,111,71,"1,910",895
2021년03월_여_20~29세,"4,916",304,544,121,123,77,97,108,142,55,192,90,159,64,"2,051",789
2021년03월_여_30~39세,"4,940",254,557,80,98,95,99,84,149,37,261,59,85,56,"2,223",803
2021년03월_여_40~49세,"7,098",432,743,121,149,128,174,138,232,88,295,133,154,92,"2,927","1,292"
2021년03월_여_50~59세,"9,120",701,980,316,338,193,298,278,515,184,471,267,296,163,"2,710","1,410"
2021년03월_여_60~69세,"10,060",857,"1,207",462,452,331,411,407,686,287,548,402,393,266,"2,099","1,252"
2021년03월_여_70~79세,"7,156",662,893,413,382,265,289,290,490,226,478,318,303,220,"1,162",765
2021년03월_여_80~89세,"5,373",404,722,344,329,236,274,256,381,193,386,270,248,169,705,456
2021년03월_여_90~99세,883,73,129,42,36,41,39,47,65,36,64,45,54,39,104,69
2021년03월_여_100세 이상,38,2,3,2,1,3,3,2,5,1,1,0,3,3,6,3
