카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년01월_계_총인구수,"538,536","16,583","22,975","21,723","27,190","27,038","13,341","30,025","24,775","37,299","20,347","35,716","36,917","22,075","33,899","6,618","22,184","23,183","44,210","23,885","15,655","17,698","15,200"
2021년01월_계_연령구간인구수,"538,536","16,583","22,975","21,723","27,190","27,038","13,341","30,025","24,775","37,299","20,347","35,716","36,917","22,075","33,899","6,618","22,184","23,183","44,210","23,885","15,655","17,698","15,200"
2021년01월_계_0~9세,"36,450",945,703,"1,113","2,134","2,148",850,"2,366","1,934","1,972",752,"1,032","2,903","1,751","2,892",375,"1,655","1,670","4,439","2,181",749,"1,261",625
2021년01월_계_10~19세,"59,070","1,688",884,"1,325","2,801","2,269","1,287","3,523","5,517","6,309","2,503","1,393","5,586","2,372","4,777",597,"2,530","2,191","4,585","3,378","1,214","1,773",568
2021년01월_계_20~29세,"73,534","2,224","4,618","3,538","3,172","3,801","1,894","3,870","2,451","4,848","3,405","7,512","4,652","2,958","4,008",737,"2,898","3,227","5,374","2,617","2,200","1,920","1,610"
2021년01월_계_30~39세,"81,385","2,368","5,792","4,552","3,349","4,442","1,945","4,915","1,538","3,272","3,341","10,060","5,202","3,204","3,545",679,"2,790","3,564","6,784","2,938","2,251","2,565","2,289"
2021년01월_계_40~49세,"99,180","2,941","3,887","3,819","4,878","4,798","2,163","6,407","6,079","7,195","4,081","6,068","8,641","3,876","6,539",956,"3,694","3,907","7,823","4,549","2,156","3,065","1,658"
2021년01월_계_50~59세,"80,512","2,498","2,821","2,988","4,109","4,010","2,175","4,187","3,824","6,668","3,237","4,225","4,904","3,526","5,483","1,071","3,818","3,867","5,989","3,731","2,507","2,619","2,255"
2021년01월_계_60~69세,"59,621","1,789","2,312","2,240","3,166","3,015","1,681","2,449","1,922","4,196","1,576","3,054","2,592","2,569","3,591","1,201","3,020","2,957","5,015","2,878","2,541","2,495","3,362"
2021년01월_계_70~79세,"34,309","1,415","1,373","1,541","2,420","1,781",966,"1,692","1,075","2,113","1,083","1,688","1,750","1,246","2,150",696,"1,314","1,320","2,703","1,112","1,401","1,493","1,977"
2021년01월_계_80~89세,"11,910",607,491,498,973,618,303,517,353,596,316,563,566,472,759,246,373,398,"1,232",386,526,428,689
