카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년04월_계_총인구수,"303,622","24,104","21,964","29,909","26,973","31,532","18,651","16,140","17,198","20,927","21,432","23,209","20,730","30,853"
2021년04월_계_연령구간인구수,"303,622","24,104","21,964","29,909","26,973","31,532","18,651","16,140","17,198","20,927","21,432","23,209","20,730","30,853"
2021년04월_계_0~9세,"15,092","1,247",744,"1,504","1,016","2,931",657,639,924,996,"1,053",785,"1,080","1,516"
2021년04월_계_10~19세,"21,519","1,921","1,329","2,000","1,600","3,946","1,073","1,050","1,284","1,325","1,426","1,099","1,392","2,074"
2021년04월_계_20~29세,"42,307","3,144","3,832","4,254","3,597","3,333","3,176","2,227","1,901","3,045","2,943","4,234","2,616","4,005"
2021년04월_계_30~39세,"37,877","2,912","2,832","4,042","3,203","3,746","2,711","1,750","1,691","2,784","2,523","3,333","2,583","3,767"
2021년04월_계_40~49세,"45,670","3,570","3,032","4,501","3,831","6,393","2,863","2,350","2,551","2,933","3,064","3,226","2,947","4,409"
2021년04월_계_50~59세,"52,042","4,361","3,791","5,137","5,001","4,960","3,099","2,718","2,790","3,565","3,759","3,990","3,562","5,309"
2021년04월_계_60~69세,"46,344","3,783","3,386","4,610","4,622","3,347","2,643","2,655","2,707","3,365","3,400","3,463","3,305","5,058"
2021년04월_계_70~79세,"29,531","2,188","2,064","2,742","2,854","1,965","1,729","1,981","2,477","1,948","2,137","2,119","2,154","3,173"
2021년04월_계_80~89세,"11,777",859,859,"1,002","1,111",818,627,689,789,851,996,864,958,"1,354"
2021년04월_계_90~99세,"1,415",114,94,110,129,88,73,79,81,111,129,96,127,184
2021년04월_계_100세 이상,48,5,1,7,9,5,0,2,3,4,2,0,6,4
2021년04월_남_총인구수,"148,033","12,012","10,624","14,383","13,409","15,143","9,403","7,805","8,066","10,369","10,269","11,526","10,067","14,957"
2021년04월_남_연령구간인구수,"148,033","12,012","10,624","14,383","13,409","15,143","9,403","7,805","8,066","10,369","10,269","11,526","10,067","14,957"
2021년04월_남_0~9세,"7,819",655,392,780,514,"1,519",348,336,466,508,548,400,570,783
2021년04월_남_10~19세,"11,029","1,009",698,972,808,"1,998",558,550,654,667,758,591,730,"1,036"
2021년04월_남_20~29세,"20,781","1,628","1,684","2,076","1,846","1,652","1,573","1,153",970,"1,532","1,418","2,015","1,228","2,006"
2021년04월_남_30~39세,"19,875","1,538","1,503","2,036","1,715","1,729","1,460",975,878,"1,522","1,325","1,831","1,367","1,996"
2021년04월_남_40~49세,"23,442","1,819","1,590","2,298","2,028","3,088","1,526","1,192","1,288","1,573","1,542","1,711","1,519","2,268"
2021년04월_남_50~59세,"25,608","2,206","1,848","2,426","2,522","2,492","1,613","1,336","1,343","1,741","1,785","2,032","1,736","2,528"
2021년04월_남_60~69세,"21,627","1,790","1,658","2,133","2,255","1,522","1,257","1,208","1,203","1,575","1,559","1,590","1,531","2,346"
2021년04월_남_70~79세,"12,781","1,001",891,"1,206","1,252",836,784,790,941,872,908,958,943,"1,399"
2021년04월_남_80~89세,"4,680",332,337,426,429,286,262,247,306,345,387,364,405,554
2021년04월_남_90~99세,377,31,23,28,38,20,22,18,16,34,38,34,36,39
2021년04월_남_100세 이상,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021년04월_여_총인구수,"155,589","12,092","11,340","15,526","13,564","16,389","9,248","8,335","9,132","10,558","11,163","11,683","10,663","15,896"
2021년04월_여_연령구간인구수,"155,589","12,092","11,340","15,526","13,564","16,389","9,248","8,335","9,132","10,558","11,163","11,683","10,663","15,896"
2021년04월_여_0~9세,"7,273",592,352,724,502,"1,412",309,303,458,488,505,385,510,733
2021년04월_여_10~19세,"10,490",912,631,"1,028",792,"1,948",515,500,630,658,668,508,662,"1,038"
2021년04월_여_20~29세,"21,526","1,516","2,148","2,178","1,751","1,681","1,603","1,074",931,"1,513","1,525","2,219","1,388","1,999"
2021년04월_여_30~39세,"18,002","1,374","1,329","2,006","1,488","2,017","1,251",775,813,"1,262","1,198","1,502","1,216","1,771"
2021년04월_여_40~49세,"22,228","1,751","1,442","2,203","1,803","3,305","1,337","1,158","1,263","1,360","1,522","1,515","1,428","2,141"
2021년04월_여_50~59세,"26,434","2,155","1,943","2,711","2,479","2,468","1,486","1,382","1,447","1,824","1,974","1,958","1,826","2,781"
2021년04월_여_60~69세,"24,717","1,993","1,728","2,477","2,367","1,825","1,386","1,447","1,504","1,790","1,841","1,873","1,774","2,712"
2021년04월_여_70~79세,"16,750","1,187","1,173","1,536","1,602","1,129",945,"1,191","1,536","1,076","1,229","1,161","1,211","1,774"
2021년04월_여_80~89세,"7,097",527,522,576,682,532,365,442,483,506,609,500,553,800
2021년04월_여_90~99세,"1,038",83,71,82,91,68,51,61,65,77,91,62,91,145
2021년04월_여_100세 이상,34,2,1,5,7,4,0,2,2,4,1,0,4,2
