,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년09월_계_총인구수,"26,787","6,997","6,324","2,409","3,754","7,303",0
2020년09월_계_연령구간인구수,"26,787","6,997","6,324","2,409","3,754","7,303",0
2020년09월_계_0~9세,"1,293",560,223,57,156,297,0
2020년09월_계_10~19세,"1,641",582,349,105,186,419,0
2020년09월_계_20~29세,"2,895",904,536,168,405,882,0
2020년09월_계_30~39세,"2,210",784,357,153,307,609,0
2020년09월_계_40~49세,"3,064",902,642,209,392,919,0
2020년09월_계_50~59세,"4,903","1,155","1,173",456,710,"1,409",0
2020년09월_계_60~69세,"5,101","1,016","1,364",574,747,"1,400",0
2020년09월_계_70~79세,"3,513",666,"1,014",430,518,885,0
2020년09월_계_80~89세,"1,818",352,546,219,287,414,0
2020년09월_계_90~99세,333,71,116,38,42,66,0
2020년09월_계_100세 이상,16,5,4,0,4,3,0
2020년09월_남_총인구수,"13,815","3,653","3,152","1,184","1,955","3,871",0
2020년09월_남_연령구간인구수,"13,815","3,653","3,152","1,184","1,955","3,871",0
2020년09월_남_0~9세,656,289,109,25,78,155,0
2020년09월_남_10~19세,881,320,187,61,92,221,0
2020년09월_남_20~29세,"1,847",563,348,92,255,589,0
2020년09월_남_30~39세,"1,254",424,201,92,193,344,0
2020년09월_남_40~49세,"1,711",484,350,133,230,514,0
2020년09월_남_50~59세,"2,641",611,651,241,372,766,0
2020년09월_남_60~69세,"2,610",516,676,291,392,735,0
2020년09월_남_70~79세,"1,513",318,416,177,227,375,0
2020년09월_남_80~89세,624,109,190,64,104,157,0
2020년09월_남_90~99세,75,18,24,8,12,13,0
2020년09월_남_100세 이상,3,1,0,0,0,2,0
2020년09월_여_총인구수,"12,972","3,344","3,172","1,225","1,799","3,432",0
2020년09월_여_연령구간인구수,"12,972","3,344","3,172","1,225","1,799","3,432",0
2020년09월_여_0~9세,637,271,114,32,78,142,0
2020년09월_여_10~19세,760,262,162,44,94,198,0
2020년09월_여_20~29세,"1,048",341,188,76,150,293,0
2020년09월_여_30~39세,956,360,156,61,114,265,0
2020년09월_여_40~49세,"1,353",418,292,76,162,405,0
2020년09월_여_50~59세,"2,262",544,522,215,338,643,0
2020년09월_여_60~69세,"2,491",500,688,283,355,665,0
2020년09월_여_70~79세,"2,000",348,598,253,291,510,0
2020년09월_여_80~89세,"1,194",243,356,155,183,257,0
2020년09월_여_90~99세,258,53,92,30,30,53,0
2020년09월_여_100세 이상,13,4,4,0,4,1,0
