카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년10월_계_총인구수,"340,575","7,559","10,439","10,871","11,590","6,385","13,002","11,804","7,355","13,828","13,320","4,044","21,486","14,517","15,619","18,881","15,164","42,649","11,141","21,144","29,194","18,836","21,747"
2021년10월_계_연령구간인구수,"340,575","7,559","10,439","10,871","11,590","6,385","13,002","11,804","7,355","13,828","13,320","4,044","21,486","14,517","15,619","18,881","15,164","42,649","11,141","21,144","29,194","18,836","21,747"
2021년10월_계_0~9세,"24,007",288,931,"1,122",348,202,698,844,153,465,650,173,"2,150",609,779,870,704,"3,479",620,"2,286","2,374","2,937","1,325"
2021년10월_계_10~19세,"26,196",383,862,698,590,380,878,"1,001",327,781,939,217,"2,309",874,865,"1,278",901,"3,661",613,"2,696","2,926","1,574","1,443"
2021년10월_계_20~29세,"40,702",853,973,"1,134","1,711",746,"1,520","1,473","1,284","1,756","1,653",578,"2,198","1,855","2,123","2,412","1,868","5,050","1,343","2,179","3,756","1,855","2,382"
2021년10월_계_30~39세,"43,089",710,"1,322","1,889","1,356",550,"1,436","1,454","1,067","1,354","1,462",442,"2,641","1,459","1,847","1,786","1,567","5,424","1,343","2,904","3,976","4,475","2,625"
2021년10월_계_40~49세,"50,660",918,"1,800","1,527","1,494",784,"1,841","1,805",922,"1,628","1,873",436,"3,985","1,727","1,961","2,326","1,903","6,670","1,383","4,183","4,845","3,633","3,016"
2021년10월_계_50~59세,"56,414","1,286","1,552","1,627","2,214","1,197","2,188","2,094","1,235","2,508","2,243",711,"3,282","2,811","2,818","3,631","2,746","6,853","2,155","2,925","4,735","1,776","3,827"
2021년10월_계_60~69세,"53,412","1,464","1,445","1,510","2,096","1,297","2,169","1,667","1,250","2,752","2,395",766,"2,808","2,934","2,849","3,523","2,869","6,527","2,051","2,022","3,765","1,578","3,675"
2021년10월_계_70~79세,"30,562","1,017",998,913,"1,231",807,"1,463",919,739,"1,702","1,392",464,"1,441","1,541","1,590","1,986","1,774","3,284","1,115","1,318","1,944",725,"2,199"
2021년10월_계_80~89세,"13,913",567,501,409,489,390,717,494,347,810,627,230,584,645,711,972,744,"1,505",460,572,788,246,"1,105"
2021년10월_계_90~99세,"1,568",67,53,40,59,31,88,51,29,70,82,27,85,60,76,93,85,191,56,58,84,35,148
2021년10월_계_100세 이상,52,6,2,2,2,1,4,2,2,2,4,0,3,2,0,4,3,5,2,1,1,2,2
2021년10월_남_총인구수,"167,505","3,753","4,938","5,367","5,853","3,022","6,169","5,832","3,674","6,886","6,379","2,154","10,540","7,227","7,853","9,101","7,613","20,887","5,596","10,226","14,440","9,323","10,672"
2021년10월_남_연령구간인구수,"167,505","3,753","4,938","5,367","5,853","3,022","6,169","5,832","3,674","6,886","6,379","2,154","10,540","7,227","7,853","9,101","7,613","20,887","5,596","10,226","14,440","9,323","10,672"
2021년10월_남_0~9세,"12,218",153,491,582,178,94,367,441,74,269,310,75,"1,065",304,404,435,350,"1,808",306,"1,149","1,217","1,497",649
2021년10월_남_10~19세,"13,730",224,465,384,319,205,472,579,185,424,474,126,"1,175",458,451,676,493,"1,934",333,"1,326","1,503",787,737
2021년10월_남_20~29세,"21,648",461,509,560,885,418,806,784,609,957,869,391,"1,188","1,026","1,163","1,322","1,032","2,657",734,"1,102","1,995",868,"1,312"
2021년10월_남_30~39세,"22,915",433,650,983,778,303,745,745,600,781,804,262,"1,315",843,"1,045",949,894,"2,820",737,"1,417","2,100","2,292","1,419"
2021년10월_남_40~49세,"25,967",499,911,795,821,405,951,863,542,868,940,246,"1,972",936,"1,052","1,180","1,028","3,392",751,"2,016","2,374","1,936","1,489"
2021년10월_남_50~59세,"27,555",661,742,789,"1,162",560,"1,022","1,041",631,"1,240","1,066",364,"1,603","1,365","1,370","1,682","1,416","3,349","1,052","1,501","2,314",808,"1,817"
