카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년02월_계_총인구수,"32,220","10,319","1,462","1,916","2,640","8,699","2,023","1,646","3,515"
2020년02월_계_연령구간인구수,"32,220","10,319","1,462","1,916","2,640","8,699","2,023","1,646","3,515"
2020년02월_계_0~9세,"1,569",649,35,51,72,560,45,35,122
2020년02월_계_10~19세,"2,168",958,52,50,85,811,47,56,109
2020년02월_계_20~29세,"2,761","1,035",98,136,231,794,157,85,225
2020년02월_계_30~39세,"2,504",878,78,115,193,845,121,79,195
2020년02월_계_40~49세,"4,055","1,589",107,161,269,"1,311",166,148,304
2020년02월_계_50~59세,"6,103","1,889",263,359,567,"1,644",428,295,658
2020년02월_계_60~69세,"6,071","1,627",354,436,573,"1,439",473,368,801
2020년02월_계_70~79세,"4,072","1,042",239,349,375,824,340,314,589
2020년02월_계_80~89세,"2,601",588,213,227,244,426,218,243,442
2020년02월_계_90~99세,309,64,21,31,30,45,28,22,68
2020년02월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년02월_남_총인구수,"16,474","5,188",729,954,"1,439","4,508","1,075",843,"1,738"
2020년02월_남_연령구간인구수,"16,474","5,188",729,954,"1,439","4,508","1,075",843,"1,738"
2020년02월_남_0~9세,798,332,19,26,32,283,25,17,64
2020년02월_남_10~19세,"1,165",524,28,30,44,433,27,24,55
2020년02월_남_20~29세,"1,565",574,56,73,136,449,98,55,124
2020년02월_남_30~39세,"1,367",452,48,68,120,452,73,50,104
2020년02월_남_40~49세,"2,281",830,60,101,173,714,113,95,195
2020년02월_남_50~59세,"3,393","1,046",142,192,331,899,254,172,357
2020년02월_남_60~69세,"3,186",792,202,228,330,757,261,186,430
2020년02월_남_70~79세,"1,776",430,92,153,177,366,155,152,251
2020년02월_남_80~89세,866,197,75,74,89,145,61,85,140
2020년02월_남_90~99세,73,11,6,8,7,10,8,6,17
2020년02월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년02월_여_총인구수,"15,746","5,131",733,962,"1,201","4,191",948,803,"1,777"
2020년02월_여_연령구간인구수,"15,746","5,131",733,962,"1,201","4,191",948,803,"1,777"
2020년02월_여_0~9세,771,317,16,25,40,277,20,18,58
2020년02월_여_10~19세,"1,003",434,24,20,41,378,20,32,54
2020년02월_여_20~29세,"1,196",461,42,63,95,345,59,30,101
2020년02월_여_30~39세,"1,137",426,30,47,73,393,48,29,91
2020년02월_여_40~49세,"1,774",759,47,60,96,597,53,53,109
2020년02월_여_50~59세,"2,710",843,121,167,236,745,174,123,301
2020년02월_여_60~69세,"2,885",835,152,208,243,682,212,182,371
2020년02월_여_70~79세,"2,296",612,147,196,198,458,185,162,338
2020년02월_여_80~89세,"1,735",391,138,153,155,281,157,158,302
2020년02월_여_90~99세,236,53,15,23,23,35,20,16,51
2020년02월_여_100세 이상,3,0,1,0,1,0,0,0,1
