카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년08월_계_총인구수,"38,773","21,180","1,094","1,480","1,752","2,170","2,268","1,272","1,747","3,796","2,014"
2020년08월_계_연령구간인구수,"38,773","21,180","1,094","1,480","1,752","2,170","2,268","1,272","1,747","3,796","2,014"
2020년08월_계_0~9세,"1,706","1,328",20,23,28,33,49,41,45,96,43
2020년08월_계_10~19세,"2,971","2,194",32,58,79,84,94,54,76,216,84
2020년08월_계_20~29세,"3,302","2,341",42,69,95,132,118,105,105,215,80
2020년08월_계_30~39세,"2,850","1,938",52,60,60,112,125,88,109,205,101
2020년08월_계_40~49세,"4,682","3,014",101,120,169,204,226,141,176,347,184
2020년08월_계_50~59세,"7,424","3,777",234,351,417,457,442,270,333,740,403
2020년08월_계_60~69세,"7,931","3,279",268,378,472,558,629,306,426,999,616
2020년08월_계_70~79세,"4,885","2,110",207,267,261,351,340,160,291,548,350
2020년08월_계_80~89세,"2,624","1,036",122,138,147,209,210,94,158,378,132
2020년08월_계_90~99세,347,144,14,15,21,24,30,12,27,41,19
2020년08월_계_100세 이상,51,19,2,1,3,6,5,1,1,11,2
2020년08월_남_총인구수,"20,023","10,835",562,772,903,"1,136","1,192",714,941,"1,948","1,020"
2020년08월_남_연령구간인구수,"20,023","10,835",562,772,903,"1,136","1,192",714,941,"1,948","1,020"
2020년08월_남_0~9세,908,716,15,12,15,15,20,22,25,47,21
2020년08월_남_10~19세,"1,599","1,195",17,25,40,36,54,29,33,127,43
2020년08월_남_20~29세,"1,900","1,330",24,45,57,82,72,70,61,118,41
2020년08월_남_30~39세,"1,559","1,008",28,40,33,66,81,49,80,124,50
2020년08월_남_40~49세,"2,578","1,554",66,78,92,130,143,86,116,199,114
2020년08월_남_50~59세,"4,093","2,062",139,197,224,261,248,166,200,392,204
2020년08월_남_60~69세,"4,119","1,647",133,214,251,304,344,169,222,528,307
2020년08월_남_70~79세,"2,218",914,91,112,134,155,158,83,135,260,176
2020년08월_남_80~89세,940,370,45,44,52,79,61,37,59,136,57
2020년08월_남_90~99세,94,34,3,4,5,5,9,3,10,14,7
2020년08월_남_100세 이상,15,5,1,1,0,3,2,0,0,3,0
2020년08월_여_총인구수,"18,750","10,345",532,708,849,"1,034","1,076",558,806,"1,848",994
2020년08월_여_연령구간인구수,"18,750","10,345",532,708,849,"1,034","1,076",558,806,"1,848",994
2020년08월_여_0~9세,798,612,5,11,13,18,29,19,20,49,22
2020년08월_여_10~19세,"1,372",999,15,33,39,48,40,25,43,89,41
2020년08월_여_20~29세,"1,402","1,011",18,24,38,50,46,35,44,97,39
2020년08월_여_30~39세,"1,291",930,24,20,27,46,44,39,29,81,51
2020년08월_여_40~49세,"2,104","1,460",35,42,77,74,83,55,60,148,70
2020년08월_여_50~59세,"3,331","1,715",95,154,193,196,194,104,133,348,199
2020년08월_여_60~69세,"3,812","1,632",135,164,221,254,285,137,204,471,309
2020년08월_여_70~79세,"2,667","1,196",116,155,127,196,182,77,156,288,174
2020년08월_여_80~89세,"1,684",666,77,94,95,130,149,57,99,242,75
2020년08월_여_90~99세,253,110,11,11,16,19,21,9,17,27,12
2020년08월_여_100세 이상,36,14,1,0,3,3,3,1,1,8,2
