,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년03월_계_총인구수,"25,340","5,267","1,880","2,517","2,095","2,542","2,641","1,814","6,584"
2020년03월_계_연령구간인구수,"25,340","5,267","1,880","2,517","2,095","2,542","2,641","1,814","6,584"
2020년03월_계_0~9세,"1,023",302,46,70,77,62,83,56,327
2020년03월_계_10~19세,"1,284",366,65,101,98,101,95,49,409
2020년03월_계_20~29세,"1,817",504,103,137,142,131,127,105,568
2020년03월_계_30~39세,"1,775",494,128,110,114,126,118,111,574
2020년03월_계_40~49세,"2,492",629,159,169,202,207,215,146,765
2020년03월_계_50~59세,"4,833","1,014",378,512,418,499,499,296,"1,217"
2020년03월_계_60~69세,"5,354",894,451,631,431,673,619,424,"1,231"
2020년03월_계_70~79세,"4,046",636,347,465,351,446,518,337,946
2020년03월_계_80~89세,"2,391",371,184,283,236,260,312,246,499
2020년03월_계_90~99세,305,49,19,36,24,36,54,42,45
2020년03월_계_100세 이상,20,8,0,3,2,1,1,2,3
2020년03월_남_총인구수,"12,651","2,614",926,"1,233","1,058","1,258","1,261",900,"3,401"
2020년03월_남_연령구간인구수,"12,651","2,614",926,"1,233","1,058","1,258","1,261",900,"3,401"
2020년03월_남_0~9세,528,161,24,35,38,36,44,28,162
2020년03월_남_10~19세,690,182,39,58,54,52,55,21,229
2020년03월_남_20~29세,"1,080",291,58,83,88,71,74,62,353
2020년03월_남_30~39세,"1,050",268,81,69,71,75,65,76,345
2020년03월_남_40~49세,"1,428",343,100,86,124,119,123,91,442
2020년03월_남_50~59세,"2,525",533,187,265,223,247,246,165,659
2020년03월_남_60~69세,"2,677",437,234,306,219,334,318,225,604
2020년03월_남_70~79세,"1,753",269,143,206,146,207,217,149,416
2020년03월_남_80~89세,852,122,57,114,90,108,107,74,180
2020년03월_남_90~99세,63,6,3,10,5,9,12,8,10
2020년03월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년03월_여_총인구수,"12,689","2,653",954,"1,284","1,037","1,284","1,380",914,"3,183"
2020년03월_여_연령구간인구수,"12,689","2,653",954,"1,284","1,037","1,284","1,380",914,"3,183"
2020년03월_여_0~9세,495,141,22,35,39,26,39,28,165
2020년03월_여_10~19세,594,184,26,43,44,49,40,28,180
2020년03월_여_20~29세,737,213,45,54,54,60,53,43,215
2020년03월_여_30~39세,725,226,47,41,43,51,53,35,229
2020년03월_여_40~49세,"1,064",286,59,83,78,88,92,55,323
2020년03월_여_50~59세,"2,308",481,191,247,195,252,253,131,558
2020년03월_여_60~69세,"2,677",457,217,325,212,339,301,199,627
2020년03월_여_70~79세,"2,293",367,204,259,205,239,301,188,530
2020년03월_여_80~89세,"1,539",249,127,169,146,152,205,172,319
2020년03월_여_90~99세,242,43,16,26,19,27,42,34,35
2020년03월_여_100세 이상,15,6,0,2,2,1,1,1,2
