카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년04월_계_총인구수,"3,369,704","41,311","106,545","88,159","111,387","357,193","268,996","265,194","282,073","399,821","308,684","230,204","139,652","206,979","176,276","210,943","176,287"
2021년04월_계_연령구간인구수,"3,369,704","41,311","106,545","88,159","111,387","357,193","268,996","265,194","282,073","399,821","308,684","230,204","139,652","206,979","176,276","210,943","176,287"
2021년04월_계_0~9세,"227,645","1,259","5,547","4,075","4,966","20,935","19,262","17,540","18,592","28,044","19,305","12,750","19,948","14,271","10,242","11,957","18,952"
2021년04월_계_10~19세,"269,088","1,978","7,234","4,985","7,233","24,614","24,773","22,790","22,815","37,608","24,962","17,405","12,161","16,329","11,656","14,829","17,716"
2021년04월_계_20~29세,"426,109","5,708","13,417","10,424","11,786","52,602","32,243","34,872","36,709","48,205","39,310","32,848","12,481","25,596","24,180","28,585","17,143"
2021년04월_계_30~39세,"413,070","4,472","10,927","10,389","10,319","47,787","32,518","29,400","33,279","46,134","36,081","24,680","27,178","26,474","23,820","24,811","24,801"
2021년04월_계_40~49세,"507,314","5,347","14,446","11,739","14,840","51,129","42,967","41,398","40,062","65,277","45,393","31,729","24,452","31,567","25,258","29,017","32,693"
2021년04월_계_50~59세,"560,443","6,947","17,488","14,422","18,959","57,559","43,813","42,386","52,859","69,679","54,011","39,673","16,956","33,695","27,345","40,237","24,414"
2021년04월_계_60~69세,"538,609","7,946","19,098","16,142","22,175","56,480","41,406","41,059","46,698","58,799","52,041","39,292","16,334","32,840","28,842","37,496","21,961"
2021년04월_계_70~79세,"293,433","5,109","12,201","10,616","14,432","31,441","22,352","24,859","21,506","30,925","26,327","21,643","6,939","18,206","17,085","17,263","12,529"
2021년04월_계_80~89세,"118,489","2,164","5,493","4,731","5,935","13,126","8,528","9,691","8,469","13,309","9,884","8,980","2,737","7,142","6,931","6,052","5,317"
2021년04월_계_90~99세,"14,737",361,666,572,690,"1,459","1,061","1,132","1,048","1,751","1,329","1,140",444,818,882,652,732
2021년04월_계_100세 이상,767,20,28,64,52,61,73,67,36,90,41,64,22,41,35,44,29
2021년04월_남_총인구수,"1,650,252","20,122","51,621","43,185","54,958","172,498","130,880","129,786","139,491","192,392","153,718","112,515","72,239","99,693","83,320","106,530","87,304"
2021년04월_남_연령구간인구수,"1,650,252","20,122","51,621","43,185","54,958","172,498","130,880","129,786","139,491","192,392","153,718","112,515","72,239","99,693","83,320","106,530","87,304"
2021년04월_남_0~9세,"116,788",652,"2,899","2,158","2,513","10,627","9,950","8,937","9,606","14,467","9,900","6,549","10,285","7,228","5,274","6,085","9,658"
2021년04월_남_10~19세,"138,793",981,"3,667","2,568","3,724","12,467","12,910","11,757","11,879","19,400","12,930","8,972","6,197","8,397","5,997","7,733","9,214"
2021년04월_남_20~29세,"221,748","2,809","6,575","5,272","6,514","25,650","16,836","18,466","19,731","25,226","21,085","17,747","6,760","12,979","11,738","15,287","9,073"
2021년04월_남_30~39세,"211,534","2,409","5,656","5,539","5,567","24,379","16,331","15,097","17,289","22,520","19,161","12,846","13,871","13,275","11,893","13,367","12,334"
2021년04월_남_40~49세,"255,758","2,933","7,482","6,293","7,772","25,887","21,032","20,784","19,902","31,012","23,272","15,813","13,646","15,457","12,439","15,304","16,730"
2021년04월_남_50~59세,"272,472","3,499","8,938","7,378","9,726","27,962","20,819","20,741","25,125","33,186","26,501","18,851","8,720","15,959","12,636","20,032","12,399"
2021년04월_남_60~69세,"254,617","3,733","8,917","7,633","10,633","26,511","19,209","18,897","22,978","27,765","25,032","18,318","8,271","15,101","12,806","18,582","10,231"
2021년04월_남_70~79세,"132,478","2,210","5,322","4,572","6,290","13,956","10,293","11,140","9,895","13,652","12,105","9,870","3,489","8,322","7,655","8,001","5,706"
2021년04월_남_80~89세,"42,798",796,"2,020","1,616","2,082","4,750","3,251","3,716","2,875","4,748","3,472","3,275",918,"2,777","2,653","2,030","1,819"
2021년04월_남_90~99세,"3,117",96,139,138,133,297,236,238,207,389,251,266,76,187,221,105,138
2021년04월_남_100세 이상,149,4,6,18,4,12,13,13,4,27,9,8,6,11,8,4,2
