카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년05월_계_총인구수,"428,262","4,916","6,814","4,840","3,177","7,880","11,966","38,477","19,444","12,109","12,968","23,652","10,520","5,850","21,003","16,135","15,853","7,827","16,142","13,628","14,210","30,123","14,026","11,130","12,643","2,586","22,514","37,870","29,959"
2021년05월_계_연령구간인구수,"428,262","4,916","6,814","4,840","3,177","7,880","11,966","38,477","19,444","12,109","12,968","23,652","10,520","5,850","21,003","16,135","15,853","7,827","16,142","13,628","14,210","30,123","14,026","11,130","12,643","2,586","22,514","37,870","29,959"
2021년05월_계_0~9세,"32,734",226,269,263,85,529,443,"2,600","1,723",538,910,"2,175",392,529,"1,665","1,091","1,049",274,862,444,968,"2,360","1,157",626,504,68,"2,659","3,889","4,436"
2021년05월_계_10~19세,"42,128",186,460,301,110,552,686,"3,761","2,267",881,"1,407","2,297",657,513,"1,649","1,871","1,426",626,"1,334",807,"1,649","4,571","1,731","1,028",790,126,"2,528","4,092","3,822"
2021년05월_계_20~29세,"61,820",935,"1,341",915,483,987,"2,265","7,185","2,514","1,720","1,867","3,060","1,321",712,"2,599","2,387","2,550","1,144","2,293","1,567","2,277","4,694","1,978","1,763","1,900",239,"2,735","5,122","3,267"
2021년05월_계_30~39세,"55,009",953,777,691,420,"1,091","1,787","4,760","2,254","1,303","1,450","3,541",971,792,"3,009","1,584","1,970",738,"1,744","1,280","1,687","2,936","1,679","1,251","1,467",218,"3,508","5,866","5,282"
2021년05월_계_40~49세,"66,607",614,860,712,381,"1,139","1,569","5,551","3,095","1,625","1,873","3,880","1,249",913,"3,005","2,427","2,342","1,005","2,186","1,553","2,389","5,572","2,268","1,619","1,557",223,"4,067","6,561","6,372"
2021년05월_계_50~59세,"71,487",662,982,660,551,"1,197","1,896","6,672","3,094","2,121","2,279","3,912","1,815",910,"3,449","2,986","2,567","1,380","2,910","2,591","2,650","5,668","2,439","2,136","2,429",523,"3,352","5,893","3,763"
2021년05월_계_60~69세,"54,545",679,982,638,561,"1,184","1,715","4,577","2,712","2,105","1,898","2,824","2,078",738,"3,067","2,213","2,136","1,317","2,644","2,809","1,525","2,415","1,604","1,579","2,207",575,"2,060","3,788","1,915"
2021년05월_계_70~79세,"29,612",457,763,454,374,857,"1,088","2,360","1,292","1,248",847,"1,389","1,377",498,"1,692","1,071","1,192",937,"1,534","1,636",736,"1,173",754,791,"1,137",365,"1,006","1,814",770
2021년05월_계_80~89세,"12,469",181,337,186,166,299,466,895,427,513,368,491,574,212,752,451,540,352,546,827,281,644,355,288,573,215,521,721,288
