카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년01월_계_총인구수,"332,753","26,020","30,228","14,640","27,694","25,671","22,082","28,495","22,115","19,772","17,081","19,778","29,680","20,903","28,594"
2020년01월_계_연령구간인구수,"332,753","26,020","30,228","14,640","27,694","25,671","22,082","28,495","22,115","19,772","17,081","19,778","29,680","20,903","28,594"
2020년01월_계_0~9세,"20,492","1,691","2,048",869,"1,920","1,673",963,"1,809","1,283","1,146",895,"1,330","1,693","1,078","2,094"
2020년01월_계_10~19세,"27,411","2,347","2,408","1,142","2,821","2,133","1,299","1,851","1,768","1,513","1,116","2,129","2,373","1,559","2,952"
2020년01월_계_20~29세,"44,909","3,442","4,199","1,925","3,842","3,712","2,756","3,481","3,140","2,647","2,569","2,696","4,064","2,833","3,603"
2020년01월_계_30~39세,"43,112","3,582","4,446","1,823","3,483","3,700","2,530","3,856","2,659","2,740","2,494","2,475","3,536","2,437","3,351"
2020년01월_계_40~49세,"50,921","4,372","4,762","2,265","4,644","3,714","3,097","4,000","3,399","2,935","2,534","3,158","4,482","3,102","4,457"
2020년01월_계_50~59세,"58,438","4,299","5,239","2,692","4,983","4,550","3,935","4,620","3,771","3,398","2,868","3,551","5,544","3,910","5,078"
2020년01월_계_60~69세,"47,617","3,376","3,916","2,042","3,277","3,540","3,806","4,804","3,167","2,916","2,368","2,656","4,413","3,214","4,122"
2020년01월_계_70~79세,"27,166","1,978","2,245","1,328","1,712","1,733","2,615","2,782","2,044","1,643","1,599","1,143","2,553","1,934","1,857"
2020년01월_계_80~89세,"10,935",811,873,480,867,778,951,"1,100",758,719,559,536,860,713,930
2020년01월_계_90~99세,"1,588",113,90,64,137,126,115,164,107,99,73,100,150,107,143
2020년01월_계_100세 이상,164,9,2,10,8,12,15,28,19,16,6,4,12,16,7
2020년01월_남_총인구수,"162,701","12,462","14,815","7,322","13,345","12,352","11,191","13,982","10,703","9,582","8,260","9,444","14,732","10,577","13,934"
2020년01월_남_연령구간인구수,"162,701","12,462","14,815","7,322","13,345","12,352","11,191","13,982","10,703","9,582","8,260","9,444","14,732","10,577","13,934"
2020년01월_남_0~9세,"10,570",888,"1,052",448,980,865,487,911,664,623,456,696,829,556,"1,115"
2020년01월_남_10~19세,"14,121","1,186","1,263",590,"1,442","1,082",698,966,864,781,566,"1,067","1,215",820,"1,581"
2020년01월_남_20~29세,"22,966","1,732","2,104",991,"1,968","1,827","1,468","1,745","1,517","1,350","1,236","1,398","2,108","1,557","1,965"
2020년01월_남_30~39세,"22,047","1,754","2,259",987,"1,682","1,911","1,411","1,967","1,361","1,444","1,291","1,191","1,815","1,309","1,665"
2020년01월_남_40~49세,"25,215","2,139","2,408","1,167","2,188","1,746","1,659","2,052","1,722","1,465","1,315","1,453","2,214","1,592","2,095"
2020년01월_남_50~59세,"27,809","2,001","2,474","1,348","2,368","2,077","1,963","2,240","1,814","1,540","1,310","1,610","2,774","1,952","2,338"
