카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년07월_계_총인구수,"112,203","15,363","4,740","5,127","2,984","6,304","6,998","4,885","4,226","2,651","21,688","18,571","18,666"
2021년07월_계_연령구간인구수,"112,203","15,363","4,740","5,127","2,984","6,304","6,998","4,885","4,226","2,651","21,688","18,571","18,666"
2021년07월_계_0~9세,"7,104",943,196,175,88,264,203,148,141,116,"1,443","1,340","2,047"
2021년07월_계_10~19세,"9,536","1,240",253,274,139,427,410,333,260,224,"1,957","2,145","1,874"
2021년07월_계_20~29세,"12,185","1,647",451,405,225,542,628,415,339,219,"2,780","2,435","2,099"
2021년07월_계_30~39세,"11,272","1,735",288,355,186,466,423,291,306,186,"2,407","1,957","2,672"
2021년07월_계_40~49세,"15,787","2,184",419,518,259,691,662,556,451,255,"3,441","3,059","3,292"
2021년07월_계_50~59세,"20,003","2,771",862,922,556,"1,068","1,263",982,880,430,"3,863","3,355","3,051"
2021년07월_계_60~69세,"19,673","2,657","1,141","1,286",795,"1,442","1,695","1,067",942,631,"3,349","2,513","2,155"
2021년07월_계_70~79세,"10,225","1,351",670,727,462,811,985,620,554,361,"1,565","1,143",976
2021년07월_계_80~89세,"5,527",726,395,390,229,513,628,405,288,198,769,544,442
2021년07월_계_90~99세,861,105,61,73,45,79,99,67,65,30,107,76,54
2021년07월_계_100세 이상,30,4,4,2,0,1,2,1,0,1,7,4,4
2021년07월_남_총인구수,"57,076","7,978","2,457","2,685","1,552","3,244","3,650","2,535","2,188","1,349","10,836","9,320","9,282"
2021년07월_남_연령구간인구수,"57,076","7,978","2,457","2,685","1,552","3,244","3,650","2,535","2,188","1,349","10,836","9,320","9,282"
2021년07월_남_0~9세,"3,656",462,112,96,47,123,98,75,69,52,755,702,"1,065"
2021년07월_남_10~19세,"4,927",646,141,150,64,215,235,192,134,122,995,"1,100",933
2021년07월_남_20~29세,"6,669",920,266,232,147,301,372,232,202,121,"1,485","1,289","1,102"
2021년07월_남_30~39세,"5,964",977,157,208,99,255,247,162,156,104,"1,226","1,024","1,349"
2021년07월_남_40~49세,"8,188","1,172",234,282,146,409,371,296,250,142,"1,745","1,500","1,641"
2021년07월_남_50~59세,"10,486","1,497",460,506,299,602,681,562,494,220,"1,927","1,748","1,490"
2021년07월_남_60~69세,"10,013","1,341",582,672,422,751,909,566,473,326,"1,671","1,226","1,074"
2021년07월_남_70~79세,"4,900",660,349,367,231,398,457,282,277,170,730,518,461
2021년07월_남_80~89세,"2,065",271,137,154,90,174,246,151,122,84,279,200,157
2021년07월_남_90~99세,200,29,18,18,7,15,34,17,11,7,22,13,9
2021년07월_남_100세 이상,8,3,1,0,0,1,0,0,0,1,1,0,1
2021년07월_여_총인구수,"55,127","7,385","2,283","2,442","1,432","3,060","3,348","2,350","2,038","1,302","10,852","9,251","9,384"
2021년07월_여_연령구간인구수,"55,127","7,385","2,283","2,442","1,432","3,060","3,348","2,350","2,038","1,302","10,852","9,251","9,384"
2021년07월_여_0~9세,"3,448",481,84,79,41,141,105,73,72,64,688,638,982
2021년07월_여_10~19세,"4,609",594,112,124,75,212,175,141,126,102,962,"1,045",941
2021년07월_여_20~29세,"5,516",727,185,173,78,241,256,183,137,98,"1,295","1,146",997
2021년07월_여_30~39세,"5,308",758,131,147,87,211,176,129,150,82,"1,181",933,"1,323"
2021년07월_여_40~49세,"7,599","1,012",185,236,113,282,291,260,201,113,"1,696","1,559","1,651"
2021년07월_여_50~59세,"9,517","1,274",402,416,257,466,582,420,386,210,"1,936","1,607","1,561"
2021년07월_여_60~69세,"9,660","1,316",559,614,373,691,786,501,469,305,"1,678","1,287","1,081"
2021년07월_여_70~79세,"5,325",691,321,360,231,413,528,338,277,191,835,625,515
2021년07월_여_80~89세,"3,462",455,258,236,139,339,382,254,166,114,490,344,285
2021년07월_여_90~99세,661,76,43,55,38,64,65,50,54,23,85,63,45
2021년07월_여_100세 이상,22,1,3,2,0,0,2,1,0,0,6,4,3
