카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년11월_계_총인구수,"1,122,495","213,441","314,331","154,383","218,258","222,082"
2021년11월_계_연령구간인구수,"1,122,495","213,441","314,331","154,383","218,258","222,082"
2021년11월_계_0~9세,"92,477","15,382","22,630","13,823","24,088","16,554"
2021년11월_계_10~19세,"110,182","19,555","29,247","15,644","23,735","22,001"
2021년11월_계_20~29세,"138,053","25,394","43,596","16,846","26,201","26,016"
2021년11월_계_30~39세,"145,385","25,261","40,991","21,444","32,840","24,849"
2021년11월_계_40~49세,"183,960","33,173","49,642","26,202","38,855","36,088"
2021년11월_계_50~59세,"207,162","40,298","60,795","24,844","38,792","42,433"
2021년11월_계_60~69세,"155,227","33,489","43,665","23,778","22,204","32,091"
2021년11월_계_70~79세,"62,736","14,792","17,087","8,806","7,850","14,201"
2021년11월_계_80~89세,"23,987","5,433","5,952","2,629","3,204","6,769"
2021년11월_계_90~99세,"3,241",648,706,359,469,"1,059"
2021년11월_계_100세 이상,85,16,20,8,20,21
2021년11월_남_총인구수,"576,636","108,044","160,282","80,551","113,003","114,756"
2021년11월_남_연령구간인구수,"576,636","108,044","160,282","80,551","113,003","114,756"
2021년11월_남_0~9세,"47,508","7,914","11,630","7,040","12,412","8,512"
2021년11월_남_10~19세,"57,850","10,391","15,452","8,293","12,277","11,437"
2021년11월_남_20~29세,"77,901","14,253","24,304","9,418","15,012","14,914"
2021년11월_남_30~39세,"77,336","13,268","21,934","11,774","17,106","13,254"
2021년11월_남_40~49세,"94,098","16,938","24,445","14,278","19,936","18,501"
2021년11월_남_50~59세,"105,198","20,107","30,415","12,512","19,805","22,359"
2021년11월_남_60~69세,"78,076","16,282","21,719","11,796","11,683","16,596"
2021년11월_남_70~79세,"29,956","6,851","8,136","4,483","3,709","6,777"
2021년11월_남_80~89세,"8,152","1,932","2,123",904,986,"2,207"
2021년11월_남_90~99세,553,107,123,52,74,197
2021년11월_남_100세 이상,8,1,1,1,3,2
2021년11월_여_총인구수,"545,859","105,397","154,049","73,832","105,255","107,326"
2021년11월_여_연령구간인구수,"545,859","105,397","154,049","73,832","105,255","107,326"
2021년11월_여_0~9세,"44,969","7,468","11,000","6,783","11,676","8,042"
2021년11월_여_10~19세,"52,332","9,164","13,795","7,351","11,458","10,564"
2021년11월_여_20~29세,"60,152","11,141","19,292","7,428","11,189","11,102"
2021년11월_여_30~39세,"68,049","11,993","19,057","9,670","15,734","11,595"
2021년11월_여_40~49세,"89,862","16,235","25,197","11,924","18,919","17,587"
2021년11월_여_50~59세,"101,964","20,191","30,380","12,332","18,987","20,074"
2021년11월_여_60~69세,"77,151","17,207","21,946","11,982","10,521","15,495"
2021년11월_여_70~79세,"32,780","7,941","8,951","4,323","4,141","7,424"
2021년11월_여_80~89세,"15,835","3,501","3,829","1,725","2,218","4,562"
2021년11월_여_90~99세,"2,688",541,583,307,395,862
2021년11월_여_100세 이상,77,15,19,7,17,19
