카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년02월_계_총인구수,"26,757","9,557","1,686","1,187","1,044","1,524","1,551","1,449","1,848",760,"2,829",995,"1,151","1,176"
2021년02월_계_연령구간인구수,"26,757","9,557","1,686","1,187","1,044","1,524","1,551","1,449","1,848",760,"2,829",995,"1,151","1,176"
2021년02월_계_0~9세,"1,056",679,31,20,28,26,35,41,38,19,86,24,11,18
2021년02월_계_10~19세,"1,499",910,50,32,26,53,57,40,58,28,156,32,31,26
2021년02월_계_20~29세,"2,008",986,102,77,69,126,90,87,116,29,199,44,38,45
2021년02월_계_30~39세,"1,732",946,87,57,50,63,100,50,80,31,135,52,38,43
2021년02월_계_40~49세,"2,862","1,485",134,86,70,132,131,114,150,56,296,73,55,80
2021년02월_계_50~59세,"4,603","1,613",311,217,187,275,288,257,315,106,508,132,201,193
2021년02월_계_60~69세,"5,504","1,460",412,307,237,351,360,340,474,214,557,234,267,291
2021년02월_계_70~79세,"3,963",880,278,204,192,252,245,266,346,141,511,200,228,220
2021년02월_계_80~89세,"3,075",535,242,155,162,219,212,222,241,120,323,177,246,221
2021년02월_계_90~99세,448,62,37,32,23,27,33,32,29,15,58,27,36,37
2021년02월_계_100세 이상,7,1,2,0,0,0,0,0,1,1,0,0,0,2
2021년02월_남_총인구수,"13,141","4,711",841,590,500,755,764,706,942,362,"1,349",521,540,560
2021년02월_남_연령구간인구수,"13,141","4,711",841,590,500,755,764,706,942,362,"1,349",521,540,560
2021년02월_남_0~9세,541,352,18,14,9,14,16,19,21,12,39,16,4,7
2021년02월_남_10~19세,798,486,26,18,17,26,24,17,30,18,82,21,19,14
2021년02월_남_20~29세,"1,140",524,55,50,46,85,46,46,70,18,120,27,30,23
2021년02월_남_30~39세,918,445,52,37,27,29,63,31,43,21,86,36,17,31
2021년02월_남_40~49세,"1,649",786,87,53,46,81,77,70,94,39,174,58,34,50
2021년02월_남_50~59세,"2,560",871,176,114,108,157,162,155,171,56,280,76,117,117
2021년02월_남_60~69세,"2,894",705,240,161,122,191,206,185,269,107,266,143,144,155
2021년02월_남_70~79세,"1,640",376,114,86,81,92,102,106,158,55,211,80,90,89
2021년02월_남_80~89세,906,151,63,48,40,76,63,66,79,35,85,59,79,62
2021년02월_남_90~99세,93,15,10,9,4,4,5,11,6,1,6,5,6,11
2021년02월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2021년02월_여_총인구수,"13,616","4,846",845,597,544,769,787,743,906,398,"1,480",474,611,616
2021년02월_여_연령구간인구수,"13,616","4,846",845,597,544,769,787,743,906,398,"1,480",474,611,616
2021년02월_여_0~9세,515,327,13,6,19,12,19,22,17,7,47,8,7,11
2021년02월_여_10~19세,701,424,24,14,9,27,33,23,28,10,74,11,12,12
2021년02월_여_20~29세,868,462,47,27,23,41,44,41,46,11,79,17,8,22
2021년02월_여_30~39세,814,501,35,20,23,34,37,19,37,10,49,16,21,12
2021년02월_여_40~49세,"1,213",699,47,33,24,51,54,44,56,17,122,15,21,30
2021년02월_여_50~59세,"2,043",742,135,103,79,118,126,102,144,50,228,56,84,76
2021년02월_여_60~69세,"2,610",755,172,146,115,160,154,155,205,107,291,91,123,136
2021년02월_여_70~79세,"2,323",504,164,118,111,160,143,160,188,86,300,120,138,131
2021년02월_여_80~89세,"2,169",384,179,107,122,143,149,156,162,85,238,118,167,159
2021년02월_여_90~99세,355,47,27,23,19,23,28,21,23,14,52,22,30,26
2021년02월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
