카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년01월_계_총인구수,"64,946","9,907","3,325","1,743","5,182","1,326",724,"1,871",695,676,"7,708","14,577","9,086","8,126"
2021년01월_계_연령구간인구수,"64,946","9,907","3,325","1,743","5,182","1,326",724,"1,871",695,676,"7,708","14,577","9,086","8,126"
2021년01월_계_0~9세,"3,826",323,94,41,105,27,9,44,13,17,297,"1,665",646,545
2021년01월_계_10~19세,"5,070",744,143,64,219,36,8,67,26,10,492,"1,678",827,756
2021년01월_계_20~29세,"7,089","1,757",242,133,350,67,35,94,28,26,742,"1,857","1,015",743
2021년01월_계_30~39세,"5,734",558,216,94,281,71,23,95,22,36,584,"2,047",951,756
2021년01월_계_40~49세,"8,884","1,083",392,192,476,149,59,199,78,75,958,"2,532","1,494","1,197"
2021년01월_계_50~59세,"11,300","1,673",628,356,997,293,147,348,140,128,"1,441","2,285","1,537","1,327"
2021년01월_계_60~69세,"11,229","1,855",695,376,"1,177",371,189,434,170,168,"1,601","1,445","1,313","1,435"
2021년01월_계_70~79세,"7,172","1,230",516,297,847,175,138,333,129,121,"1,034",681,835,836
2021년01월_계_80~89세,"4,005",601,340,162,614,123,92,219,77,85,502,325,396,469
2021년01월_계_90~99세,583,66,51,28,108,14,24,37,11,9,55,56,64,60
2021년01월_계_100세 이상,54,17,8,0,8,0,0,1,1,1,2,6,8,2
2021년01월_남_총인구수,"32,836","4,900","1,736",874,"2,666",722,397,978,354,368,"3,772","7,406","4,625","4,038"
2021년01월_남_연령구간인구수,"32,836","4,900","1,736",874,"2,666",722,397,978,354,368,"3,772","7,406","4,625","4,038"
2021년01월_남_0~9세,"1,941",152,50,20,58,15,4,24,11,9,157,846,322,273
2021년01월_남_10~19세,"2,626",347,72,37,138,21,4,43,12,4,250,851,453,394
2021년01월_남_20~29세,"3,965",920,162,74,223,35,25,64,17,14,422,"1,042",553,414
2021년01월_남_30~39세,"3,099",286,135,62,171,49,14,55,11,20,326,"1,062",502,406
2021년01월_남_40~49세,"4,888",613,255,113,306,108,42,142,51,58,511,"1,250",800,639
2021년01월_남_50~59세,"6,067",897,373,194,589,150,96,198,83,77,702,"1,189",855,664
2021년01월_남_60~69세,"5,608",942,364,195,601,209,110,231,79,97,736,720,637,687
2021년01월_남_70~79세,"3,177",535,215,114,364,79,63,153,59,56,480,305,367,387
2021년01월_남_80~89세,"1,343",183,100,58,202,53,34,64,30,32,177,126,123,161
2021년01월_남_90~99세,110,20,7,7,13,3,5,4,1,1,11,14,12,12
2021년01월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2021년01월_여_총인구수,"32,110","5,007","1,589",869,"2,516",604,327,893,341,308,"3,936","7,171","4,461","4,088"
2021년01월_여_연령구간인구수,"32,110","5,007","1,589",869,"2,516",604,327,893,341,308,"3,936","7,171","4,461","4,088"
2021년01월_여_0~9세,"1,885",171,44,21,47,12,5,20,2,8,140,819,324,272
2021년01월_여_10~19세,"2,444",397,71,27,81,15,4,24,14,6,242,827,374,362
2021년01월_여_20~29세,"3,124",837,80,59,127,32,10,30,11,12,320,815,462,329
2021년01월_여_30~39세,"2,635",272,81,32,110,22,9,40,11,16,258,985,449,350
2021년01월_여_40~49세,"3,996",470,137,79,170,41,17,57,27,17,447,"1,282",694,558
2021년01월_여_50~59세,"5,233",776,255,162,408,143,51,150,57,51,739,"1,096",682,663
2021년01월_여_60~69세,"5,621",913,331,181,576,162,79,203,91,71,865,725,676,748
2021년01월_여_70~79세,"3,995",695,301,183,483,96,75,180,70,65,554,376,468,449
2021년01월_여_80~89세,"2,662",418,240,104,412,70,58,155,47,53,325,199,273,308
2021년01월_여_90~99세,473,46,44,21,95,11,19,33,10,8,44,42,52,48
2021년01월_여_100세 이상,42,12,5,0,7,0,0,1,1,1,2,5,7,1
