,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년07월_계_총인구수,"287,736","14,858","26,603","20,635","39,507","43,288","15,650","30,739","12,779","12,651","11,286","12,857","27,539","19,344"
2020년07월_계_연령구간인구수,"287,736","14,858","26,603","20,635","39,507","43,288","15,650","30,739","12,779","12,651","11,286","12,857","27,539","19,344"
2020년07월_계_0~9세,"19,735",753,"1,528",991,"2,273","4,211","1,016","2,756",514,468,492,955,"2,417","1,361"
2020년07월_계_10~19세,"24,083",724,"1,829","1,622","3,333","4,638","1,332","4,049",607,693,665,807,"2,435","1,349"
2020년07월_계_20~29세,"38,535","2,113","3,790","3,043","4,703","6,121","2,316","4,011","1,626","1,968","1,481","1,533","3,331","2,499"
2020년07월_계_30~39세,"34,742","2,028","3,415","2,096","3,975","5,663","1,732","3,288","1,611","1,583","1,222","2,052","3,541","2,536"
2020년07월_계_40~49세,"41,301","1,784","3,551","2,992","5,479","6,747","2,037","5,640","1,571","1,597","1,498","1,589","4,259","2,557"
2020년07월_계_50~59세,"55,079","3,020","5,410","4,392","7,718","8,503","3,295","5,477","2,351","2,396","2,026","2,291","4,711","3,489"
2020년07월_계_60~69세,"44,163","2,638","4,319","3,400","6,437","4,996","2,274","3,075","2,512","2,325","2,131","2,197","4,297","3,562"
2020년07월_계_70~79세,"21,064","1,269","1,994","1,555","3,582","1,751","1,095","1,711","1,341","1,125","1,258","1,063","1,855","1,465"
2020년07월_계_80~89세,"7,929",469,680,478,"1,808",572,441,650,577,427,461,320,597,449
2020년07월_계_90~99세,"1,005",55,71,62,195,81,75,81,65,64,46,45,89,76
2020년07월_계_100세 이상,100,5,16,4,4,5,37,1,4,5,6,5,7,1
2020년07월_남_총인구수,"142,426","7,538","13,689","10,611","19,158","21,319","7,642","15,043","6,307","6,296","5,513","6,314","13,535","9,461"
2020년07월_남_연령구간인구수,"142,426","7,538","13,689","10,611","19,158","21,319","7,642","15,043","6,307","6,296","5,513","6,314","13,535","9,461"
2020년07월_남_0~9세,"10,157",362,821,525,"1,154","2,174",528,"1,410",262,242,259,471,"1,246",703
2020년07월_남_10~19세,"12,538",344,982,875,"1,705","2,392",678,"2,129",330,367,347,406,"1,258",725
2020년07월_남_20~29세,"20,704","1,122","2,053","1,709","2,540","3,279","1,256","2,136",877,"1,017",796,796,"1,754","1,369"
2020년07월_남_30~39세,"18,012","1,146","1,870","1,157","2,096","2,707",904,"1,523",891,897,675,"1,081","1,780","1,285"
2020년07월_남_40~49세,"20,418",991,"1,865","1,554","2,652","3,121",965,"2,572",824,848,798,819,"2,118","1,291"
2020년07월_남_50~59세,"26,357","1,491","2,712","2,174","3,675","4,002","1,507","2,754","1,137","1,167",981,"1,052","2,215","1,490"
2020년07월_남_60~69세,"21,761","1,322","2,173","1,705","3,292","2,575","1,148","1,470","1,183","1,093",978,"1,063","2,051","1,708"
2020년07월_남_70~79세,"9,619",593,949,730,"1,456",881,491,755,604,513,533,510,892,712
2020년07월_남_80~89세,"2,645",155,253,173,541,178,133,275,185,137,136,113,201,165
2020년07월_남_90~99세,194,11,9,9,47,10,20,19,14,14,8,2,18,13
2020년07월_남_100세 이상,21,1,2,0,0,0,12,0,0,1,2,1,2,0
2020년07월_여_총인구수,"145,310","7,320","12,914","10,024","20,349","21,969","8,008","15,696","6,472","6,355","5,773","6,543","14,004","9,883"
2020년07월_여_연령구간인구수,"145,310","7,320","12,914","10,024","20,349","21,969","8,008","15,696","6,472","6,355","5,773","6,543","14,004","9,883"
2020년07월_여_0~9세,"9,578",391,707,466,"1,119","2,037",488,"1,346",252,226,233,484,"1,171",658
2020년07월_여_10~19세,"11,545",380,847,747,"1,628","2,246",654,"1,920",277,326,318,401,"1,177",624
2020년07월_여_20~29세,"17,831",991,"1,737","1,334","2,163","2,842","1,060","1,875",749,951,685,737,"1,577","1,130"
2020년07월_여_30~39세,"16,730",882,"1,545",939,"1,879","2,956",828,"1,765",720,686,547,971,"1,761","1,251"
2020년07월_여_40~49세,"20,883",793,"1,686","1,438","2,827","3,626","1,072","3,068",747,749,700,770,"2,141","1,266"
2020년07월_여_50~59세,"28,722","1,529","2,698","2,218","4,043","4,501","1,788","2,723","1,214","1,229","1,045","1,239","2,496","1,999"
2020년07월_여_60~69세,"22,402","1,316","2,146","1,695","3,145","2,421","1,126","1,605","1,329","1,232","1,153","1,134","2,246","1,854"
2020년07월_여_70~79세,"11,445",676,"1,045",825,"2,126",870,604,956,737,612,725,553,963,753
2020년07월_여_80~89세,"5,284",314,427,305,"1,267",394,308,375,392,290,325,207,396,284
2020년07월_여_90~99세,811,44,62,53,148,71,55,62,51,50,38,43,71,63
2020년07월_여_100세 이상,79,4,14,4,4,5,25,1,4,4,4,4,5,1
