카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년01월_계_총인구수,"1,193,894","277,846","23,956","43,751","30,558","30,411","43,423","20,552","19,900","29,286","19,501","16,508","371,509","10,599","24,028","20,035","40,889","38,858","25,251","45,853","45,991","24,849","50,231","27,792","17,133","175,698","5,929","10,670","9,217","23,599","27,208","11,815","20,977","17,398","37,952","10,933","368,841","18,920","15,389","36,540","22,481","38,810","36,524","26,573","32,961","31,956","28,326","52,272","28,089"
2020년01월_계_연령구간인구수,"1,193,894","277,846","23,956","43,751","30,558","30,411","43,423","20,552","19,900","29,286","19,501","16,508","371,509","10,599","24,028","20,035","40,889","38,858","25,251","45,853","45,991","24,849","50,231","27,792","17,133","175,698","5,929","10,670","9,217","23,599","27,208","11,815","20,977","17,398","37,952","10,933","368,841","18,920","15,389","36,540","22,481","38,810","36,524","26,573","32,961","31,956","28,326","52,272","28,089"
2020년01월_계_0~9세,"103,729","19,942","1,529","3,336","2,757","2,131","3,985",946,"1,252","1,687","1,560",759,"34,496",924,"1,207","1,083","3,233","2,629","1,556","5,292","7,313","1,425","6,073","1,848","1,913","10,341",250,467,395,"1,600","2,183",472,"1,008","1,295","2,388",283,"38,950","1,300","1,023","3,121","1,527","4,707","3,946","2,731","2,847","3,670","4,478","6,021","3,579"
2020년01월_계_10~19세,"123,236","30,338","2,008","4,588","3,700","3,373","7,253","1,312","1,815","2,998","2,169","1,122","34,608",659,"1,728","1,658","3,758","3,408","2,186","5,052","4,388","1,854","5,555","2,440","1,922","14,709",316,524,632,"2,318","3,187",802,"1,592","1,934","2,892",512,"43,581","2,084","1,650","4,588","2,518","3,582","5,092","2,267","4,468","4,243","3,220","6,928","2,941"
2020년01월_계_20~29세,"186,375","44,254","3,430","10,119","4,284","4,378","6,195","2,741","3,070","4,421","3,098","2,518","55,109","1,536","3,580","2,860","6,311","6,008","4,059","6,266","5,180","4,884","7,003","5,383","2,039","28,172",871,"1,858","1,148","3,235","4,167","1,381","3,249","3,533","7,238","1,492","58,840","3,233","2,518","6,590","3,810","6,513","5,005","5,808","6,230","4,656","3,480","7,942","3,055"
2020년01월_계_30~39세,"184,482","34,198","3,065","5,986","3,714","3,815","4,717","2,614","2,814","3,398","2,133","1,942","60,732","1,771","3,688","2,766","5,816","5,655","3,399","6,944","9,835","4,496","8,408","5,554","2,400","25,195",872,"1,729","1,108","2,838","3,604","1,328","3,046","2,316","7,043","1,311","64,357","2,585","2,025","5,647","3,268","7,932","5,694","6,582","4,547","5,135","6,113","9,426","5,403"
2020년01월_계_40~49세,"206,165","47,262","3,875","6,807","5,627","5,234","9,453","3,081","3,163","4,730","3,039","2,253","61,810","1,493","3,801","3,285","6,244","6,219","3,861","8,069","7,790","3,741","8,941","5,040","3,326","28,254",893,"1,464","1,424","3,968","4,717","1,780","3,237","2,822","6,422","1,527","68,839","3,238","2,567","6,890","3,963","6,964","7,361","4,269","6,330","6,011","5,279","10,697","5,270"
2020년01월_계_50~59세,"196,083","49,388","4,459","6,724","5,373","5,423","7,190","4,125","3,679","5,547","3,882","2,986","62,621","1,902","4,422","3,539","7,694","6,893","4,991","7,583","5,909","4,337","8,062","4,506","2,783","30,824","1,126","1,957","1,764","4,227","5,121","2,229","3,804","2,720","5,655","2,221","53,250","3,317","2,771","5,506","3,783","4,607","5,633","2,962","5,293","5,097","3,560","6,837","3,884"
2020년01월_계_60~69세,"111,269","28,714","3,117","3,508","2,843","3,183","2,551","3,251","2,386","3,476","1,889","2,510","36,813","1,313","3,244","2,735","4,600","4,686","3,036","3,803","3,359","2,551","4,014","1,849","1,623","21,211",862,"1,509","1,448","2,994","2,356","2,053","2,738","1,621","3,720","1,910","24,531","1,900","1,619","2,482","2,146","2,715","2,195","1,070","1,945","1,962","1,385","2,754","2,358"
2020년01월_계_70~79세,"54,808","15,360","1,647","1,679","1,467","1,899","1,308","1,725","1,131","1,956","1,007","1,541","16,944",662,"1,589","1,481","2,149","2,344","1,421","1,858","1,506","1,033","1,427",716,758,"11,610",495,776,910,"1,691","1,233","1,221","1,619",770,"1,756","1,139","10,894",882,805,"1,108",942,"1,220","1,013",586,793,793,526,"1,119","1,107"
