,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년07월_계_총인구수,"157,690","6,372","4,010","2,983","3,491","6,907","2,708","1,743","2,101","2,813","2,716","1,727","1,837","1,611","1,726","5,129","4,994","22,115","9,062","13,133","6,293","6,225","21,448","16,154","10,392"
2021년07월_계_연령구간인구수,"157,690","6,372","4,010","2,983","3,491","6,907","2,708","1,743","2,101","2,813","2,716","1,727","1,837","1,611","1,726","5,129","4,994","22,115","9,062","13,133","6,293","6,225","21,448","16,154","10,392"
2021년07월_계_0~9세,"10,276",182,92,61,80,455,43,25,52,56,42,31,47,21,30,227,294,"1,849",616,886,366,323,"1,919","1,501","1,078"
2021년07월_계_10~19세,"13,460",268,190,85,118,372,126,61,83,106,78,53,49,45,60,340,409,"2,328",883,942,512,555,"2,591","1,716","1,490"
2021년07월_계_20~29세,"16,522",434,269,139,275,969,137,77,147,169,120,68,82,67,60,616,513,"2,997",852,"1,361",644,671,"2,607","1,954","1,294"
2021년07월_계_30~39세,"15,222",361,188,150,205,"1,077",113,77,123,141,113,59,79,65,67,502,410,"2,505",777,"1,488",561,564,"2,402","2,088","1,107"
2021년07월_계_40~49세,"21,763",563,320,304,336,782,229,153,172,252,171,138,107,112,125,611,695,"3,494","1,355","1,847",888,838,"3,709","2,571","1,991"
2021년07월_계_50~59세,"25,742","1,059",638,517,580,906,421,261,418,492,507,280,335,278,266,786,910,"3,451","1,429","2,173","1,031","1,146","3,481","2,735","1,642"
2021년07월_계_60~69세,"26,652","1,478",946,699,892,"1,035",625,414,516,726,719,490,507,435,492,927,890,"2,884","1,519","2,263","1,179","1,192","2,721","2,120",983
2021년07월_계_70~79세,"16,553","1,113",719,525,537,742,556,345,322,475,532,335,345,335,336,717,551,"1,616","1,010","1,426",711,650,"1,254",893,508
2021년07월_계_80~89세,"9,970",777,561,439,386,486,399,286,229,329,389,246,260,217,256,338,286,869,549,663,345,247,665,493,255
2021년07월_계_90~99세,"1,480",130,83,63,82,77,56,44,39,65,44,24,25,36,34,64,36,121,68,79,54,38,95,80,43
2021년07월_계_100세 이상,50,7,4,1,0,6,3,0,0,2,1,3,1,0,0,1,0,1,4,5,2,1,4,3,1
2021년07월_남_총인구수,"78,027","3,215","2,069","1,563","1,847","3,530","1,314",868,"1,082","1,472","1,379",896,954,840,904,"2,501","2,390","10,988","4,355","6,531","3,057","3,079","10,213","7,851","5,129"
2021년07월_남_연령구간인구수,"78,027","3,215","2,069","1,563","1,847","3,530","1,314",868,"1,082","1,472","1,379",896,954,840,904,"2,501","2,390","10,988","4,355","6,531","3,057","3,079","10,213","7,851","5,129"
2021년07월_남_0~9세,"5,377",96,52,36,40,236,25,13,26,28,16,21,28,12,20,127,156,960,331,441,183,172,996,804,558
2021년07월_남_10~19세,"7,022",152,116,52,67,189,76,37,40,55,40,24,34,23,27,180,192,"1,228",448,503,273,288,"1,317",879,782
2021년07월_남_20~29세,"9,020",248,151,91,165,501,82,45,98,102,72,40,54,40,36,341,271,"1,677",453,763,356,360,"1,374","1,041",659
2021년07월_남_30~39세,"7,939",209,110,99,129,590,62,57,71,83,66,35,45,43,46,246,208,"1,281",382,796,310,308,"1,182","1,053",528
2021년07월_남_40~49세,"11,265",342,193,200,214,447,139,99,112,168,125,89,66,78,84,340,357,"1,730",680,986,459,418,"1,769","1,243",927
2021년07월_남_50~59세,"13,252",590,370,305,339,516,242,144,228,296,296,175,178,165,154,402,464,"1,756",720,"1,079",495,554,"1,636","1,288",860
2021년07월_남_60~69세,"12,939",747,508,366,475,515,297,220,263,395,398,275,276,221,278,411,410,"1,347",675,"1,046",505,556,"1,247","1,026",482
2021년07월_남_70~79세,"7,434",530,337,243,255,343,255,152,156,219,221,147,167,167,162,314,235,694,449,644,332,314,492,365,241
2021년07월_남_80~89세,"3,458",265,209,160,145,169,128,99,78,110,136,82,99,79,85,129,88,293,199,259,136,99,187,140,84
2021년07월_남_90~99세,311,34,23,11,18,20,8,2,10,16,9,8,7,12,12,10,9,21,18,13,8,10,12,12,8
2021년07월_남_100세 이상,10,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
2021년07월_여_총인구수,"79,663","3,157","1,941","1,420","1,644","3,377","1,394",875,"1,019","1,341","1,337",831,883,771,822,"2,628","2,604","11,127","4,707","6,602","3,236","3,146","11,235","8,303","5,263"
2021년07월_여_연령구간인구수,"79,663","3,157","1,941","1,420","1,644","3,377","1,394",875,"1,019","1,341","1,337",831,883,771,822,"2,628","2,604","11,127","4,707","6,602","3,236","3,146","11,235","8,303","5,263"
2021년07월_여_0~9세,"4,899",86,40,25,40,219,18,12,26,28,26,10,19,9,10,100,138,889,285,445,183,151,923,697,520
2021년07월_여_10~19세,"6,438",116,74,33,51,183,50,24,43,51,38,29,15,22,33,160,217,"1,100",435,439,239,267,"1,274",837,708
2021년07월_여_20~29세,"7,502",186,118,48,110,468,55,32,49,67,48,28,28,27,24,275,242,"1,320",399,598,288,311,"1,233",913,635
2021년07월_여_30~39세,"7,283",152,78,51,76,487,51,20,52,58,47,24,34,22,21,256,202,"1,224",395,692,251,256,"1,220","1,035",579
2021년07월_여_40~49세,"10,498",221,127,104,122,335,90,54,60,84,46,49,41,34,41,271,338,"1,764",675,861,429,420,"1,940","1,328","1,064"
2021년07월_여_50~59세,"12,490",469,268,212,241,390,179,117,190,196,211,105,157,113,112,384,446,"1,695",709,"1,094",536,592,"1,845","1,447",782
2021년07월_여_60~69세,"13,713",731,438,333,417,520,328,194,253,331,321,215,231,214,214,516,480,"1,537",844,"1,217",674,636,"1,474","1,094",501
2021년07월_여_70~79세,"9,119",583,382,282,282,399,301,193,166,256,311,188,178,168,174,403,316,922,561,782,379,336,762,528,267
2021년07월_여_80~89세,"6,512",512,352,279,241,317,271,187,151,219,253,164,161,138,171,209,198,576,350,404,209,148,478,353,171
2021년07월_여_90~99세,"1,169",96,60,52,64,57,48,42,29,49,35,16,18,24,22,54,27,100,50,66,46,28,83,68,35
2021년07월_여_100세 이상,40,5,4,1,0,2,3,0,0,2,1,3,1,0,0,0,0,0,4,4,2,1,3,3,1
