,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년05월_계_총인구수,"433,988","16,679","23,060","15,498","14,902","24,209","14,938","15,485","18,365","23,199","15,127","25,151","35,726","16,611","39,107","26,656","19,644","24,354","13,751","16,253","35,273"
2021년05월_계_연령구간인구수,"433,988","16,679","23,060","15,498","14,902","24,209","14,938","15,485","18,365","23,199","15,127","25,151","35,726","16,611","39,107","26,656","19,644","24,354","13,751","16,253","35,273"
2021년05월_계_0~9세,"28,508",756,"1,079",566,797,"1,958",431,966,"1,391","1,463",586,"1,581","3,830","1,401","2,606","2,014","1,057","1,755",583,"1,741","1,947"
2021년05월_계_10~19세,"36,728","1,162","1,845",966,"1,268","2,788",846,928,"1,752","1,815",966,"2,114","4,890","1,432","3,626","2,564","1,464","1,924",855,"1,352","2,171"
2021년05월_계_20~29세,"66,276","2,781","4,190","4,421","1,999","2,935","5,111","2,612","2,274","3,236","3,036","3,279","3,408","2,052","5,715","3,103","3,469","3,406","1,979","2,084","5,186"
2021년05월_계_30~39세,"59,345","2,457","3,242","2,496","1,968","2,943","2,016","2,580","2,613","3,132","1,852","3,138","4,476","2,398","5,093","3,554","2,710","3,381","1,762","2,621","4,913"
2021년05월_계_40~49세,"68,896","2,518","3,531","2,002","2,098","4,409","1,625","2,376","3,137","3,512","1,856","4,135","7,810","2,883","6,334","4,510","2,830","3,699","1,902","2,654","5,075"
2021년05월_계_50~59세,"69,093","2,741","3,671","1,950","2,677","4,096","1,993","2,494","2,851","3,757","2,339","4,145","5,030","2,748","6,311","4,223","2,992","4,252","2,392","2,541","5,890"
2021년05월_계_60~69세,"55,769","2,095","2,759","1,507","2,186","2,757","1,456","1,941","2,272","3,374","2,246","3,623","3,288","2,106","4,858","3,618","2,726","3,367","2,220","1,930","5,440"
2021년05월_계_70~79세,"32,826","1,310","1,790","1,042","1,269","1,466",953,"1,066","1,370","1,969","1,443","2,118","2,054","1,094","2,849","2,120","1,592","1,738","1,409",948,"3,226"
