카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년12월_계_총인구수,"284,594","7,562","19,655","1,449","2,602","1,073","3,782","2,496",967,"17,202","3,428","3,543","2,700","3,339","8,516","9,308","11,550","14,595","20,829","4,413","12,008","4,362","34,593","48,812","22,607","23,203"
2021년12월_계_연령구간인구수,"284,594","7,562","19,655","1,449","2,602","1,073","3,782","2,496",967,"17,202","3,428","3,543","2,700","3,339","8,516","9,308","11,550","14,595","20,829","4,413","12,008","4,362","34,593","48,812","22,607","23,203"
2021년12월_계_0~9세,"20,826",308,"2,018",26,101,19,100,65,13,"1,310",70,98,79,219,875,709,468,"1,222","1,692",313,379,127,"2,246","4,194","1,927","2,248"
2021년12월_계_10~19세,"26,476",437,"2,453",57,135,31,175,132,18,"1,701",150,162,113,196,635,757,815,"1,381","1,904",367,622,224,"4,183","5,666","1,891","2,271"
2021년12월_계_20~29세,"37,437",709,"1,946",103,235,48,238,172,32,"2,088",217,902,343,424,"1,010","1,169","1,834","2,138","2,572",511,"2,847",958,"4,999","6,296","2,783","2,863"
2021년12월_계_30~39세,"34,379",670,"2,304",92,195,49,220,109,40,"2,262",237,420,284,432,"1,426","1,145","1,341","2,069","2,691",447,"1,345",579,"3,594","6,007","3,288","3,133"
2021년12월_계_40~49세,"41,949",837,"3,558",104,249,84,333,202,56,"2,823",337,369,339,440,"1,127","1,319","1,464","2,097","3,044",650,"1,369",450,"5,607","8,122","3,397","3,572"
2021년12월_계_50~59세,"46,820","1,397","3,063",233,491,188,665,436,191,"2,806",648,488,460,537,"1,192","1,604","1,872","2,296","3,367",740,"1,776",658,"6,194","8,260","3,732","3,526"
2021년12월_계_60~69세,"41,669","1,564","2,649",445,648,312,"1,011",725,307,"2,449",938,528,500,520,"1,115","1,368","1,984","1,799","3,048",713,"1,776",688,"4,288","5,967","3,306","3,021"
2021년12월_계_70~79세,"20,395",882,979,200,291,188,552,362,194,"1,022",484,349,321,337,644,742,"1,040",917,"1,476",386,"1,109",376,"2,076","2,488","1,444","1,536"
2021년12월_계_80~89세,"12,627",652,571,174,219,129,404,250,103,634,293,201,219,195,428,423,638,579,901,246,693,266,"1,240","1,577",700,892
2021년12월_계_90~99세,"1,953",103,111,14,38,24,80,43,13,103,50,24,42,37,62,69,93,92,129,39,89,35,161,232,130,140
2021년12월_계_100세 이상,63,3,3,1,0,1,4,0,0,4,4,2,0,2,2,3,1,5,5,1,3,1,5,3,9,1
2021년12월_남_총인구수,"140,584","3,787","9,723",783,"1,351",580,"1,942","1,238",529,"8,586","1,812","1,825","1,308","1,582","4,303","4,571","5,762","6,944","9,921","2,206","6,349","2,223","16,986","23,540","11,047","11,686"
2021년12월_남_연령구간인구수,"140,584","3,787","9,723",783,"1,351",580,"1,942","1,238",529,"8,586","1,812","1,825","1,308","1,582","4,303","4,571","5,762","6,944","9,921","2,206","6,349","2,223","16,986","23,540","11,047","11,686"
