카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년11월_계_총인구수,"473,952","22,490","15,324","17,370","16,197","16,125","12,305","27,332","19,293","11,853","23,794","21,587","25,008","11,233","14,784","21,359","42,774","15,674","50,223","3,726","16,864","35,963","12,826","19,848"
2021년11월_계_연령구간인구수,"473,952","22,490","15,324","17,370","16,197","16,125","12,305","27,332","19,293","11,853","23,794","21,587","25,008","11,233","14,784","21,359","42,774","15,674","50,223","3,726","16,864","35,963","12,826","19,848"
2021년11월_계_0~9세,"35,892","1,995",693,825,"1,005",941,563,"1,637","1,117",756,"1,805","1,096","1,377",339,739,"1,715","5,367","1,232","5,936",91,"1,514","3,083",929,"1,137"
2021년11월_계_10~19세,"48,332","3,030",976,"1,359","1,428","1,217",616,"2,355","1,249","1,050","2,593","1,572","1,975",535,"1,265","2,630","4,969","1,583","6,094",167,"3,394","4,145","1,266","2,864"
2021년11월_계_20~29세,"73,110","2,789","2,568","2,491","1,959","2,094","2,478","5,452","4,566","1,574","3,169","4,277","5,578","2,886","1,797","2,672","5,112","2,751","6,715",281,"1,610","5,385","2,311","2,595"
2021년11월_계_30~39세,"64,807","2,529","1,598","1,794","1,683","1,996","2,140","4,672","3,600","1,412","2,662","3,469","4,205","1,923","1,483","2,598","6,738","2,021","7,713",261,"1,260","5,340","2,039","1,671"
2021년11월_계_40~49세,"76,314","4,212","1,805","2,306","2,228","2,235","1,692","4,371","2,822","1,787","3,906","3,036","3,728","1,469","1,885","3,330","8,019","2,306","9,419",395,"3,928","6,115","1,989","3,331"
2021년11월_계_50~59세,"76,970","3,513","2,597","2,921","3,024","2,833","1,723","4,286","2,541","1,953","3,961","3,361","4,035","1,876","2,761","3,826","5,936","2,775","7,704",667,"2,542","6,342","2,257","3,536"
2021년11월_계_60~69세,"58,289","2,593","2,791","3,140","2,893","2,696","1,669","2,831","2,003","1,858","3,225","3,057","2,679","1,371","2,663","3,105","4,218","1,713","4,015",799,"1,352","3,681","1,324","2,613"
2021년11월_계_70~79세,"26,449","1,245","1,564","1,712","1,296","1,444",939,"1,097",952,"1,002","1,679","1,164",925,573,"1,271",953,"1,626",814,"1,737",562,823,"1,222",457,"1,392"
2021년11월_계_80~89세,"11,977",511,654,740,587,585,425,546,377,409,697,487,451,221,784,449,677,422,770,408,370,577,217,613
2021년11월_계_90~99세,"1,758",71,76,80,93,82,57,82,63,52,96,66,53,38,134,80,106,55,117,91,69,72,37,88
2021년11월_계_100세 이상,54,2,2,2,1,2,3,3,3,0,1,2,2,2,2,1,6,2,3,4,2,1,0,8
2021년11월_남_총인구수,"233,010","11,089","7,773","8,750","7,900","8,180","5,865","13,122","9,428","5,757","11,376","11,027","12,504","5,998","7,012","10,504","21,046","7,471","24,523","1,921","8,320","17,419","6,441","9,584"
2021년11월_남_연령구간인구수,"233,010","11,089","7,773","8,750","7,900","8,180","5,865","13,122","9,428","5,757","11,376","11,027","12,504","5,998","7,012","10,504","21,046","7,471","24,523","1,921","8,320","17,419","6,441","9,584"
2021년11월_남_0~9세,"18,500","1,007",365,459,532,517,288,866,561,394,913,594,687,171,363,882,"2,725",632,"3,064",56,783,"1,591",460,590
2021년11월_남_10~19세,"24,876","1,546",514,701,761,636,317,"1,238",640,520,"1,232",833,948,289,650,"1,415","2,556",831,"3,091",84,"1,774","2,145",653,"1,502"
2021년11월_남_20~29세,"37,308","1,425","1,426","1,364","1,052","1,120","1,134","2,508","2,089",780,"1,640","2,257","2,851","1,539",976,"1,476","2,571","1,305","3,418",156,854,"2,662","1,306","1,399"
2021년11월_남_30~39세,"33,202","1,266",887,981,860,"1,097","1,111","2,368","1,939",741,"1,318","2,000","2,296","1,146",758,"1,278","3,250","1,014","3,735",148,542,"2,566","1,073",828
