카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년12월_계_총인구수,"73,345","10,925","16,891","13,842","15,002","9,212","7,473"
2021년12월_계_연령구간인구수,"73,345","10,925","16,891","13,842","15,002","9,212","7,473"
2021년12월_계_0~9세,"6,488",825,"2,010","1,066","1,495",579,513
2021년12월_계_10~19세,"7,014",948,"2,032","1,351","1,345",578,760
2021년12월_계_20~29세,"9,710","1,526","1,953","1,988","1,988","1,215","1,040"
2021년12월_계_30~39세,"10,669","1,429","2,340","1,880","2,474","1,586",960
2021년12월_계_40~49세,"10,892","1,413","2,999","1,891","2,146","1,321","1,122"
2021년12월_계_50~59세,"12,677","2,032","2,718","2,544","2,566","1,507","1,310"
2021년12월_계_60~69세,"9,288","1,634","1,674","1,870","1,758","1,435",917
2021년12월_계_70~79세,"4,086",649,733,722,750,672,560
2021년12월_계_80~89세,"2,115",384,373,440,395,278,245
2021년12월_계_90~99세,394,80,58,88,83,41,44
2021년12월_계_100세 이상,12,5,1,2,2,0,2
2021년12월_남_총인구수,"36,092","5,286","8,224","6,707","7,408","4,815","3,652"
2021년12월_남_연령구간인구수,"36,092","5,286","8,224","6,707","7,408","4,815","3,652"
2021년12월_남_0~9세,"3,378",424,"1,048",544,796,288,278
2021년12월_남_10~19세,"3,588",467,999,682,703,321,416
2021년12월_남_20~29세,"5,117",816,"1,013","1,027","1,042",681,538
2021년12월_남_30~39세,"5,310",697,"1,049",936,"1,224",899,505
2021년12월_남_40~49세,"5,324",668,"1,462",886,"1,036",736,536
2021년12월_남_50~59세,"6,103",941,"1,363","1,197","1,229",732,641
2021년12월_남_60~69세,"4,549",809,821,923,877,708,411
2021년12월_남_70~79세,"1,832",303,305,331,334,326,233
2021년12월_남_80~89세,786,146,142,151,146,113,88
2021년12월_남_90~99세,102,14,22,28,21,11,6
2021년12월_남_100세 이상,3,1,0,2,0,0,0
2021년12월_여_총인구수,"37,253","5,639","8,667","7,135","7,594","4,397","3,821"
2021년12월_여_연령구간인구수,"37,253","5,639","8,667","7,135","7,594","4,397","3,821"
2021년12월_여_0~9세,"3,110",401,962,522,699,291,235
2021년12월_여_10~19세,"3,426",481,"1,033",669,642,257,344
2021년12월_여_20~29세,"4,593",710,940,961,946,534,502
2021년12월_여_30~39세,"5,359",732,"1,291",944,"1,250",687,455
2021년12월_여_40~49세,"5,568",745,"1,537","1,005","1,110",585,586
2021년12월_여_50~59세,"6,574","1,091","1,355","1,347","1,337",775,669
2021년12월_여_60~69세,"4,739",825,853,947,881,727,506
2021년12월_여_70~79세,"2,254",346,428,391,416,346,327
2021년12월_여_80~89세,"1,329",238,231,289,249,165,157
2021년12월_여_90~99세,292,66,36,60,62,30,38
2021년12월_여_100세 이상,9,4,1,0,2,0,2
