,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년06월_계_총인구수,"3,349,454","1,040,118","263,184","216,982","174,956","192,433","192,563","347,462","129,711","111,184","542,842","105,133","246,878","351,596","26,957","64,724","61,825","51,811","43,102","45,454","35,140","39,321","61,681","44,515"
2020년06월_계_연령구간인구수,"3,349,454","1,040,118","263,184","216,982","174,956","192,433","192,563","347,462","129,711","111,184","542,842","105,133","246,878","351,596","26,957","64,724","61,825","51,811","43,102","45,454","35,140","39,321","61,681","44,515"
2020년06월_계_0~9세,"277,878","85,822","22,105","17,246","12,635","13,844","19,992","28,958","10,251","8,434","50,948","5,809","27,837","35,678","1,138","4,345","3,459","2,755","1,614","1,982","1,442","1,893","3,845","1,668"
2020년06월_계_10~19세,"327,569","101,118","23,993","23,700","13,865","18,603","20,957","35,693","12,922","10,368","61,997","7,996","27,948","34,236","1,577","6,025","4,200","4,128","2,995","2,966","2,157","3,010","5,711","2,522"
2020년06월_계_20~29세,"381,057","131,642","36,487","32,973","19,126","22,677","20,379","44,781","11,433","10,852","69,089","9,225","24,666","40,924","2,061","5,608","5,052","3,991","3,278","3,639","2,514","3,194","5,989","3,119"
2020년06월_계_30~39세,"411,941","137,263","35,951","30,150","20,706","22,489","27,967","42,182","14,689","12,260","71,595","9,117","38,498","50,838","1,817","5,935","5,319","4,123","2,547","2,912","2,260","2,714","5,150","2,722"
2020년06월_계_40~49세,"539,898","168,978","41,361","36,574","25,617","30,541","34,885","54,675","21,587","17,789","99,301","13,133","47,519","60,368","2,940","9,544","7,177","6,572","4,673","5,230","3,580","4,501","7,918","4,413"
2020년06월_계_50~59세,"583,173","187,510","50,807","43,786","29,665","34,971","28,281","57,794","22,779","18,511","95,719","19,056","38,792","58,406","4,679","11,374","11,155","9,217","7,465","8,579","6,666","6,970","10,592","7,909"
2020년06월_계_60~69세,"445,112","136,410","33,016","22,479","29,171","29,062","22,682","44,060","19,706","15,862","55,719","20,522","25,262","40,972","5,256","10,682","11,793","9,435","8,050","8,643","7,024","7,089","9,843","8,784"
2020년06월_계_70~79세,"243,549","62,309","13,072","6,728","16,362","14,504","11,643","25,437","11,090","10,721","25,911","12,510","10,645","20,612","4,060","6,688","8,075","6,812","6,827","6,435","5,336","5,580","7,129","7,372"
2020년06월_계_80~89세,"121,988","25,634","5,611","2,897","6,812","5,146","5,168","12,108","4,613","5,580","11,133","6,842","4,897","8,463","2,981","3,986","4,935","4,149","4,816","4,347","3,613","3,794","4,783","5,314"
2020년06월_계_90~99세,"16,512","3,255",748,428,932,557,590,"1,683",614,780,"1,352",879,770,"1,040",439,526,634,613,820,697,530,544,680,656
2020년06월_계_100세 이상,777,177,33,21,65,39,19,91,27,27,78,44,44,59,9,11,26,16,17,24,18,32,41,36
2020년06월_남_총인구수,"1,686,331","527,035","133,960","110,851","87,093","96,577","98,554","172,027","65,214","56,072","274,583","51,496","129,682","176,445","13,191","32,793","30,708","26,011","20,733","22,637","17,236","18,943","30,123","21,402"
2020년06월_남_연령구간인구수,"1,686,331","527,035","133,960","110,851","87,093","96,577","98,554","172,027","65,214","56,072","274,583","51,496","129,682","176,445","13,191","32,793","30,708","26,011","20,733","22,637","17,236","18,943","30,123","21,402"
2020년06월_남_0~9세,"142,949","44,370","11,375","8,831","6,579","7,183","10,402","15,069","5,158","4,396","25,996","2,963","14,349","18,236",581,"2,180","1,790","1,391",865,"1,043",761,959,"1,985",857
2020년06월_남_10~19세,"171,651","53,034","12,652","12,548","7,215","9,757","10,862","18,816","6,709","5,351","32,344","4,208","14,716","17,632",847,"3,213","2,265","2,254","1,602","1,577","1,153","1,552","3,058","1,320"
2020년06월_남_20~29세,"211,521","73,132","20,242","18,310","10,598","12,474","11,508","24,706","6,292","6,488","37,426","5,314","13,854","21,918","1,167","3,241","2,904","2,353","1,982","2,160","1,441","1,821","3,523","1,799"
2020년06월_남_30~39세,"215,095","72,424","18,916","16,045","10,982","11,888","14,593","21,510","7,581","6,527","36,828","4,803","20,467","26,067",967,"3,014","2,924","2,263","1,329","1,617","1,222","1,414","2,631","1,507"
2020년06월_남_40~49세,"278,217","85,693","20,857","17,441","13,469","15,466","18,460","27,249","11,684","9,508","49,366","6,962","25,954","30,681","1,712","5,192","4,011","3,680","2,536","2,921","1,994","2,463","4,095","2,516"
2020년06월_남_50~59세,"297,444","93,274","25,088","21,501","14,717","17,444","14,524","28,476","11,616","9,747","49,341","9,641","20,612","29,441","2,561","6,227","5,898","4,989","3,949","4,653","3,576","3,684","5,436","4,323"
2020년06월_남_60~69세,"221,240","67,583","16,799","12,081","13,834","13,826","11,043","21,099","9,646","7,652","28,378","9,956","13,145","20,142","2,748","5,525","5,897","4,713","3,917","4,461","3,622","3,521","4,814","4,421"
2020년06월_남_70~79세,"107,021","28,495","6,163","3,191","7,281","6,611","5,249","11,104","4,983","4,560","11,170","5,394","4,994","9,197","1,654","2,890","3,442","2,985","2,964","2,743","2,298","2,266","2,923","2,959"
2020년06월_남_80~89세,"37,881","8,359","1,734",814,"2,221","1,807","1,783","3,673","1,423","1,717","3,448","2,087","1,462","2,899",860,"1,198","1,470","1,266","1,443","1,313","1,061","1,142","1,500","1,560"
2020년06월_남_90~99세,"3,152",630,128,83,181,113,125,304,114,120,263,162,123,222,92,110,105,113,145,145,106,114,149,135
2020년06월_남_100세 이상,160,41,6,6,16,8,5,21,8,6,23,6,6,10,2,3,2,4,1,4,2,7,9,5
2020년06월_여_총인구수,"1,663,123","513,083","129,224","106,131","87,863","95,856","94,009","175,435","64,497","55,112","268,259","53,637","117,196","175,151","13,766","31,931","31,117","25,800","22,369","22,817","17,904","20,378","31,558","23,113"
2020년06월_여_연령구간인구수,"1,663,123","513,083","129,224","106,131","87,863","95,856","94,009","175,435","64,497","55,112","268,259","53,637","117,196","175,151","13,766","31,931","31,117","25,800","22,369","22,817","17,904","20,378","31,558","23,113"
2020년06월_여_0~9세,"134,929","41,452","10,730","8,415","6,056","6,661","9,590","13,889","5,093","4,038","24,952","2,846","13,488","17,442",557,"2,165","1,669","1,364",749,939,681,934,"1,860",811
2020년06월_여_10~19세,"155,918","48,084","11,341","11,152","6,650","8,846","10,095","16,877","6,213","5,017","29,653","3,788","13,232","16,604",730,"2,812","1,935","1,874","1,393","1,389","1,004","1,458","2,653","1,202"
