카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년04월_계_총인구수,"213,037","16,330","3,412","1,614","4,090","4,393","3,626","4,508","6,622","15,464","5,110","3,391","26,050","7,919","10,596","13,315","4,889","8,912","16,817","18,376","28,926","8,677"
2020년04월_계_연령구간인구수,"213,037","16,330","3,412","1,614","4,090","4,393","3,626","4,508","6,622","15,464","5,110","3,391","26,050","7,919","10,596","13,315","4,889","8,912","16,817","18,376","28,926","8,677"
2020년04월_계_0~9세,"13,857",623,123,31,201,109,128,194,390,"1,440",187,104,"1,862",400,467,625,301,782,"1,513","1,004","2,620",753
2020년04월_계_10~19세,"19,714","1,021",195,45,279,208,169,231,495,"1,551",316,175,"3,218",656,794,"1,280",435,945,"1,651","1,678","3,593",779
2020년04월_계_20~29세,"25,086","1,469",306,103,345,432,273,432,503,"1,809",613,308,"3,480",921,"1,295","1,703",595,"1,002","2,625","2,021","3,461","1,390"
2020년04월_계_30~39세,"22,006","1,169",208,77,330,305,244,387,601,"2,135",452,291,"2,638",770,950,"1,299",540,"1,135","2,269","1,724","3,445","1,037"
2020년04월_계_40~49세,"32,668","2,037",403,124,477,461,339,581,979,"2,652",637,429,"4,629","1,086","1,469","1,988",759,"1,484","2,662","2,702","5,352","1,418"
2020년04월_계_50~59세,"36,746","3,074",697,345,734,808,726,837,"1,174","2,401",826,614,"4,438","1,445","2,028","2,537",967,"1,456","2,521","3,200","4,591","1,327"
2020년04월_계_60~69세,"32,315","3,345",673,446,848,929,822,940,"1,275","1,850",985,687,"3,044","1,400","1,905","2,226",687,"1,216","2,026","2,827","3,147","1,037"
2020년04월_계_70~79세,"19,393","2,256",445,282,512,669,567,534,758,"1,057",674,539,"1,765",805,"1,152","1,089",360,554,994,"2,074","1,700",607
2020년04월_계_80~89세,"9,569","1,116",307,140,294,392,314,312,388,488,331,217,843,370,465,483,208,283,480,991,882,265
2020년04월_계_90~99세,"1,581",198,51,21,65,73,41,57,55,77,83,27,127,58,66,85,36,54,73,141,129,64
2020년04월_계_100세 이상,102,22,4,0,5,7,3,3,4,4,6,0,6,8,5,0,1,1,3,14,6,0
2020년04월_남_총인구수,"105,639","8,014","1,751",866,"2,088","2,313","1,847","2,324","3,304","7,567","2,417","1,732","12,756","3,953","5,235","6,565","2,399","4,325","8,335","9,180","14,270","4,398"
2020년04월_남_연령구간인구수,"105,639","8,014","1,751",866,"2,088","2,313","1,847","2,324","3,304","7,567","2,417","1,732","12,756","3,953","5,235","6,565","2,399","4,325","8,335","9,180","14,270","4,398"
2020년04월_남_0~9세,"7,143",334,68,23,112,59,66,100,189,749,92,57,965,206,249,316,127,391,772,484,"1,390",394
2020년04월_남_10~19세,"10,353",541,103,21,150,113,100,127,267,788,150,101,"1,659",340,415,697,230,494,840,917,"1,902",398
2020년04월_남_20~29세,"13,709",843,198,61,217,273,161,256,273,929,309,170,"1,888",499,693,908,352,544,"1,399","1,130","1,861",745
2020년04월_남_30~39세,"11,501",638,121,56,169,197,149,208,321,"1,078",250,168,"1,326",435,532,710,285,554,"1,127",942,"1,699",536
2020년04월_남_40~49세,"16,689","1,123",233,77,272,307,201,327,533,"1,278",328,253,"2,147",545,775,"1,009",364,719,"1,363","1,445","2,651",739
2020년04월_남_50~59세,"18,367","1,564",355,187,388,448,403,439,569,"1,195",428,333,"2,227",739,987,"1,208",463,664,"1,207","1,627","2,257",679
2020년04월_남_60~69세,"15,471","1,567",359,235,429,469,418,483,623,884,438,306,"1,422",661,852,"1,040",338,606,999,"1,333","1,515",494
2020년04월_남_70~79세,"8,671",966,213,145,243,289,244,257,372,469,290,245,758,374,520,505,156,242,449,914,707,313
2020년04월_남_80~89세,"3,386",388,93,57,94,132,96,118,140,177,110,96,339,141,197,162,75,98,166,355,264,88
2020년04월_남_90~99세,323,46,7,4,12,23,9,8,14,19,21,3,25,11,15,10,9,13,13,29,20,12
2020년04월_남_100세 이상,26,4,1,0,2,3,0,1,3,1,1,0,0,2,0,0,0,0,0,4,4,0
2020년04월_여_총인구수,"107,398","8,316","1,661",748,"2,002","2,080","1,779","2,184","3,318","7,897","2,693","1,659","13,294","3,966","5,361","6,750","2,490","4,587","8,482","9,196","14,656","4,279"
2020년04월_여_연령구간인구수,"107,398","8,316","1,661",748,"2,002","2,080","1,779","2,184","3,318","7,897","2,693","1,659","13,294","3,966","5,361","6,750","2,490","4,587","8,482","9,196","14,656","4,279"
2020년04월_여_0~9세,"6,714",289,55,8,89,50,62,94,201,691,95,47,897,194,218,309,174,391,741,520,"1,230",359
2020년04월_여_10~19세,"9,361",480,92,24,129,95,69,104,228,763,166,74,"1,559",316,379,583,205,451,811,761,"1,691",381
2020년04월_여_20~29세,"11,377",626,108,42,128,159,112,176,230,880,304,138,"1,592",422,602,795,243,458,"1,226",891,"1,600",645
2020년04월_여_30~39세,"10,505",531,87,21,161,108,95,179,280,"1,057",202,123,"1,312",335,418,589,255,581,"1,142",782,"1,746",501
2020년04월_여_40~49세,"15,979",914,170,47,205,154,138,254,446,"1,374",309,176,"2,482",541,694,979,395,765,"1,299","1,257","2,701",679
2020년04월_여_50~59세,"18,379","1,510",342,158,346,360,323,398,605,"1,206",398,281,"2,211",706,"1,041","1,329",504,792,"1,314","1,573","2,334",648
2020년04월_여_60~69세,"16,844","1,778",314,211,419,460,404,457,652,966,547,381,"1,622",739,"1,053","1,186",349,610,"1,027","1,494","1,632",543
2020년04월_여_70~79세,"10,722","1,290",232,137,269,380,323,277,386,588,384,294,"1,007",431,632,584,204,312,545,"1,160",993,294
2020년04월_여_80~89세,"6,183",728,214,83,200,260,218,194,248,311,221,121,504,229,268,321,133,185,314,636,618,177
2020년04월_여_90~99세,"1,258",152,44,17,53,50,32,49,41,58,62,24,102,47,51,75,27,41,60,112,109,52
2020년04월_여_100세 이상,76,18,3,0,3,4,3,2,1,3,5,0,6,6,5,0,1,1,3,10,2,0
