카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년07월_계_총인구수,"62,281","29,374","8,659","2,398","4,363","5,386","5,372","4,433","2,296"
2020년07월_계_연령구간인구수,"62,281","29,374","8,659","2,398","4,363","5,386","5,372","4,433","2,296"
2020년07월_계_0~9세,"3,157","2,230",331,67,125,120,111,123,50
2020년07월_계_10~19세,"4,536","2,947",584,134,181,201,202,184,103
2020년07월_계_20~29세,"5,081","2,949",574,105,453,299,262,319,120
2020년07월_계_30~39세,"5,249","3,291",580,134,249,321,261,287,126
2020년07월_계_40~49세,"7,791","4,497","1,046",240,398,490,538,395,187
2020년07월_계_50~59세,"10,888","4,959","1,545",465,774,999,990,775,381
2020년07월_계_60~69세,"11,773","4,154","1,892",535,988,"1,359","1,311",996,538
2020년07월_계_70~79세,"8,727","2,839","1,410",445,731,999,"1,048",806,449
2020년07월_계_80~89세,"4,456","1,331",593,248,408,524,581,473,298
2020년07월_계_90~99세,599,173,93,25,55,71,67,73,42
2020년07월_계_100세 이상,24,4,11,0,1,3,1,2,2
2020년07월_남_총인구수,"31,388","14,827","4,304","1,155","2,247","2,770","2,661","2,265","1,159"
2020년07월_남_연령구간인구수,"31,388","14,827","4,304","1,155","2,247","2,770","2,661","2,265","1,159"
2020년07월_남_0~9세,"1,560","1,118",165,25,53,53,59,61,26
2020년07월_남_10~19세,"2,362","1,518",316,59,101,113,103,96,56
2020년07월_남_20~29세,"2,990","1,697",333,60,315,190,145,187,63
2020년07월_남_30~39세,"2,926","1,769",316,74,140,211,155,184,77
2020년07월_남_40~49세,"4,402","2,380",591,147,248,320,342,244,130
2020년07월_남_50~59세,"5,714","2,543",819,250,397,539,527,420,219
2020년07월_남_60~69세,"5,649","1,981",880,259,490,653,631,489,266
2020년07월_남_70~79세,"4,086","1,326",656,194,346,473,485,396,210
2020년07월_남_80~89세,"1,573",457,208,83,142,202,201,172,108
2020년07월_남_90~99세,122,38,18,4,14,16,13,15,4
2020년07월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년07월_여_총인구수,"30,893","14,547","4,355","1,243","2,116","2,616","2,711","2,168","1,137"
2020년07월_여_연령구간인구수,"30,893","14,547","4,355","1,243","2,116","2,616","2,711","2,168","1,137"
2020년07월_여_0~9세,"1,597","1,112",166,42,72,67,52,62,24
2020년07월_여_10~19세,"2,174","1,429",268,75,80,88,99,88,47
2020년07월_여_20~29세,"2,091","1,252",241,45,138,109,117,132,57
2020년07월_여_30~39세,"2,323","1,522",264,60,109,110,106,103,49
2020년07월_여_40~49세,"3,389","2,117",455,93,150,170,196,151,57
2020년07월_여_50~59세,"5,174","2,416",726,215,377,460,463,355,162
2020년07월_여_60~69세,"6,124","2,173","1,012",276,498,706,680,507,272
2020년07월_여_70~79세,"4,641","1,513",754,251,385,526,563,410,239
2020년07월_여_80~89세,"2,883",874,385,165,266,322,380,301,190
2020년07월_여_90~99세,477,135,75,21,41,55,54,58,38
2020년07월_여_100세 이상,20,4,9,0,0,3,1,1,2
