,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년08월_계_총인구수,"279,517","6,825","7,735","7,030","2,271","1,536","1,899","2,626","3,058","2,982","3,313","5,237","4,326","4,479","2,581","1,560","3,330","4,786","6,972","22,388","9,335","11,482","38,613","8,439","22,927","14,061","24,889","15,662","6,605","32,570"
2021년08월_계_연령구간인구수,"279,517","6,825","7,735","7,030","2,271","1,536","1,899","2,626","3,058","2,982","3,313","5,237","4,326","4,479","2,581","1,560","3,330","4,786","6,972","22,388","9,335","11,482","38,613","8,439","22,927","14,061","24,889","15,662","6,605","32,570"
2021년08월_계_0~9세,"17,995",322,481,256,62,23,34,66,108,84,168,340,82,163,62,25,88,286,294,"1,553",419,446,"3,548",812,"1,379","1,163","2,079",571,513,"2,568"
2021년08월_계_10~19세,"27,311",575,610,470,124,55,91,135,136,146,163,331,179,263,91,76,116,334,403,"2,174",686,904,"4,348",963,"2,631","1,963","3,272","1,173",638,"4,261"
2021년08월_계_20~29세,"35,508",583,664,636,163,92,122,176,206,133,309,613,265,398,224,86,352,485,893,"2,440","1,362","1,269","4,613",902,"3,238","2,318","3,519","4,189",737,"4,521"
2021년08월_계_30~39세,"27,638",486,716,501,114,64,79,138,200,147,257,468,199,325,151,75,298,465,745,"2,322",872,942,"4,402","1,098","2,304","1,530","2,930","1,459",789,"3,562"
2021년08월_계_40~49세,"40,740",780,"1,004",728,213,123,172,215,302,259,324,574,389,472,236,128,384,703,795,"3,383","1,243","1,411","6,246","1,399","3,457","2,629","4,756","1,640","1,033","5,742"
2021년08월_계_50~59세,"48,454","1,174","1,308","1,309",412,245,333,368,534,477,537,869,728,820,530,228,530,921,"1,124","3,981","1,832","1,854","6,264","1,269","4,370","2,533","4,580","2,234","1,090","6,000"
2021년08월_계_60~69세,"42,104","1,421","1,488","1,421",478,388,472,614,673,748,657,"1,066","1,019",943,557,375,745,879,"1,309","3,603","1,652","2,149","5,113","1,125","3,481","1,066","2,262","2,079",925,"3,396"
2021년08월_계_70~79세,"24,892",885,874,"1,004",406,288,334,528,533,574,514,613,829,590,397,317,542,484,916,"1,947",871,"1,707","2,651",598,"1,357",590,995,"1,455",512,"1,581"
2021년08월_계_80~89세,"12,715",516,503,593,243,214,214,324,321,358,336,319,525,421,270,213,223,204,432,874,354,705,"1,236",239,599,229,434,714,285,817
2021년08월_계_90~99세,"2,087",81,85,104,53,43,47,62,44,53,48,44,107,83,59,35,48,25,59,106,44,93,186,32,109,39,60,137,80,121
2021년08월_계_100세 이상,73,2,2,8,3,1,1,0,1,3,0,0,4,1,4,2,4,0,2,5,0,2,6,2,2,1,2,11,3,1
2021년08월_남_총인구수,"139,265","3,355","3,831","3,559","1,128",780,959,"1,312","1,614","1,469","1,682","2,741","2,224","2,320","1,343",768,"1,771","2,546","3,565","11,005","4,742","5,902","18,660","4,185","11,306","6,885","12,149","7,872","3,426","16,166"
2021년08월_남_연령구간인구수,"139,265","3,355","3,831","3,559","1,128",780,959,"1,312","1,614","1,469","1,682","2,741","2,224","2,320","1,343",768,"1,771","2,546","3,565","11,005","4,742","5,902","18,660","4,185","11,306","6,885","12,149","7,872","3,426","16,166"
2021년08월_남_0~9세,"9,262",172,240,141,28,8,20,34,47,35,76,175,53,87,37,13,51,159,158,770,240,235,"1,841",399,718,595,"1,087",295,263,"1,285"
2021년08월_남_10~19세,"13,977",271,301,244,59,38,44,62,85,68,87,166,102,151,49,42,71,159,209,"1,139",377,549,"2,145",515,"1,346","1,018","1,662",543,327,"2,148"
2021년08월_남_20~29세,"19,357",336,363,361,94,48,72,107,125,80,180,402,152,243,138,54,193,269,450,"1,341",723,731,"2,376",485,"1,788","1,216","1,861","2,288",429,"2,452"
2021년08월_남_30~39세,"14,434",251,390,277,68,40,43,89,112,99,157,259,125,170,97,40,186,247,440,"1,210",492,539,"2,125",526,"1,166",753,"1,442",859,435,"1,797"
