,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년12월_계_총인구수,"385,483","31,962","10,844","44,087","28,107","24,512","28,577","31,485","22,856","27,780","24,344","14,141","14,467","37,990","23,142","21,189"
2021년12월_계_연령구간인구수,"385,483","31,962","10,844","44,087","28,107","24,512","28,577","31,485","22,856","27,780","24,344","14,141","14,467","37,990","23,142","21,189"
2021년12월_계_0~9세,"22,992","1,850",244,"2,584","2,431","1,072","1,492","2,235",755,"1,801","2,000",671,985,"2,007","1,397","1,468"
2021년12월_계_10~19세,"26,967","1,907",433,"3,095","1,944","1,582","1,827","2,144",857,"1,764","1,595",726,961,"4,008","2,363","1,761"
2021년12월_계_20~29세,"64,882","5,505","2,142","9,614","4,187","4,138","4,561","4,877","5,233","3,590","3,166","2,484","2,121","6,294","3,340","3,630"
2021년12월_계_30~39세,"60,826","5,468","1,874","5,957","4,761","4,001","4,660","4,291","4,659","4,446","3,909","2,391","2,604","5,222","3,059","3,524"
2021년12월_계_40~49세,"57,207","4,218","1,269","6,339","4,490","3,507","4,215","4,704","2,924","4,109","3,784","1,996","2,225","6,291","3,765","3,371"
2021년12월_계_50~59세,"58,073","4,703","1,654","6,340","4,134","3,871","4,432","5,173","2,983","4,398","3,529","2,025","2,198","5,996","3,714","2,923"
2021년12월_계_60~69세,"50,478","4,377","1,720","5,464","3,333","3,320","3,998","4,161","3,033","4,064","3,448","2,075","1,853","4,311","3,005","2,316"
2021년12월_계_70~79세,"29,582","2,499",980,"3,078","1,840","2,059","2,291","2,504","1,758","2,516","2,114","1,223","1,033","2,525","1,676","1,486"
2021년12월_계_80~89세,"12,617","1,259",456,"1,381",845,868,969,"1,201",576,955,716,479,417,"1,150",713,632
2021년12월_계_90~99세,"1,775",169,71,208,135,89,129,186,75,134,81,68,66,179,108,77
2021년12월_계_100세 이상,84,7,1,27,7,5,3,9,3,3,2,3,4,7,2,1
2021년12월_남_총인구수,"186,426","16,056","5,594","21,372","13,544","11,685","13,864","15,349","10,890","13,304","11,802","6,766","6,959","18,017","11,093","10,131"
2021년12월_남_연령구간인구수,"186,426","16,056","5,594","21,372","13,544","11,685","13,864","15,349","10,890","13,304","11,802","6,766","6,959","18,017","11,093","10,131"
2021년12월_남_0~9세,"11,754",956,124,"1,309","1,244",537,778,"1,144",399,904,"1,000",362,507,"1,021",723,746
2021년12월_남_10~19세,"13,821",990,217,"1,582",998,825,971,"1,103",457,988,861,379,480,"1,943","1,114",913
2021년12월_남_20~29세,"31,308","2,904","1,099","4,883","1,984","1,923","2,212","2,548","2,262","1,706","1,505","1,134","1,006","2,923","1,591","1,628"
