카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년06월_계_총인구수,"44,987","5,483","3,647","12,110","15,533","1,993","3,873","2,236",112,0,0,0,0
2020년06월_계_연령구간인구수,"44,987","5,483","3,647","12,110","15,533","1,993","3,873","2,236",112,0,0,0,0
2020년06월_계_0~9세,"3,371",419,374,815,"1,187",156,244,176,0,0,0,0,0
2020년06월_계_10~19세,"3,889",510,256,"1,030","1,484",101,365,139,4,0,0,0,0
2020년06월_계_20~29세,"5,937",700,582,"1,663","1,834",425,446,285,2,0,0,0,0
2020년06월_계_30~39세,"4,774",583,471,"1,230","1,624",234,383,245,4,0,0,0,0
2020년06월_계_40~49세,"5,795",698,383,"1,650","2,105",197,556,196,10,0,0,0,0
2020년06월_계_50~59세,"7,348",910,500,"2,080","2,581",243,655,364,15,0,0,0,0
2020년06월_계_60~69세,"6,497",737,477,"1,778","2,246",269,579,389,22,0,0,0,0
2020년06월_계_70~79세,"4,819",615,376,"1,237","1,621",228,400,300,42,0,0,0,0
2020년06월_계_80~89세,"2,159",271,193,523,714,115,205,125,13,0,0,0,0
2020년06월_계_90~99세,352,38,33,94,115,20,36,16,0,0,0,0,0
2020년06월_계_100세 이상,46,2,2,10,22,5,4,1,0,0,0,0,0
2020년06월_남_총인구수,"23,401","2,803","1,951","6,498","7,834","1,113","1,955","1,195",52,0,0,0,0
2020년06월_남_연령구간인구수,"23,401","2,803","1,951","6,498","7,834","1,113","1,955","1,195",52,0,0,0,0
2020년06월_남_0~9세,"1,714",191,215,408,591,77,131,101,0,0,0,0,0
2020년06월_남_10~19세,"2,022",285,130,560,730,60,187,67,3,0,0,0,0
2020년06월_남_20~29세,"3,868",426,387,"1,150","1,107",312,280,206,0,0,0,0,0
2020년06월_남_30~39세,"2,612",322,257,690,854,147,200,140,2,0,0,0,0
2020년06월_남_40~49세,"3,122",377,220,887,"1,102",113,304,112,7,0,0,0,0
2020년06월_남_50~59세,"3,904",491,275,"1,115","1,355",131,337,191,9,0,0,0,0
2020년06월_남_60~69세,"3,144",339,237,885,"1,077",131,266,202,7,0,0,0,0
2020년06월_남_70~79세,"2,150",268,149,577,732,100,173,134,17,0,0,0,0
2020년06월_남_80~89세,778,95,76,205,250,35,73,37,7,0,0,0,0
2020년06월_남_90~99세,75,9,5,17,31,5,3,5,0,0,0,0,0
2020년06월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년06월_여_총인구수,"21,586","2,680","1,696","5,612","7,699",880,"1,918","1,041",60,0,0,0,0
2020년06월_여_연령구간인구수,"21,586","2,680","1,696","5,612","7,699",880,"1,918","1,041",60,0,0,0,0
2020년06월_여_0~9세,"1,657",228,159,407,596,79,113,75,0,0,0,0,0
2020년06월_여_10~19세,"1,867",225,126,470,754,41,178,72,1,0,0,0,0
2020년06월_여_20~29세,"2,069",274,195,513,727,113,166,79,2,0,0,0,0
2020년06월_여_30~39세,"2,162",261,214,540,770,87,183,105,2,0,0,0,0
2020년06월_여_40~49세,"2,673",321,163,763,"1,003",84,252,84,3,0,0,0,0
2020년06월_여_50~59세,"3,444",419,225,965,"1,226",112,318,173,6,0,0,0,0
2020년06월_여_60~69세,"3,353",398,240,893,"1,169",138,313,187,15,0,0,0,0
2020년06월_여_70~79세,"2,669",347,227,660,889,128,227,166,25,0,0,0,0
2020년06월_여_80~89세,"1,381",176,117,318,464,80,132,88,6,0,0,0,0
2020년06월_여_90~99세,277,29,28,77,84,15,33,11,0,0,0,0,0
2020년06월_여_100세 이상,34,2,2,6,17,3,3,1,0,0,0,0,0
