,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년11월_계_총인구수,"526,337","32,055","35,934","28,714","15,152","22,728","22,366","28,332","29,327","17,501","24,800","18,012","21,575","15,722","24,998","20,527","39,880","21,358","32,309","32,888","42,159"
2020년11월_계_연령구간인구수,"526,337","32,055","35,934","28,714","15,152","22,728","22,366","28,332","29,327","17,501","24,800","18,012","21,575","15,722","24,998","20,527","39,880","21,358","32,309","32,888","42,159"
2020년11월_계_0~9세,"42,186","3,223","3,643","1,546",682,"1,269","1,643","1,635","1,848",882,"1,800","1,339","1,522",666,"1,490","1,682","6,012","1,329","2,882","2,540","4,553"
2020년11월_계_10~19세,"50,098","3,061","4,423","1,720","1,079","1,657","2,145","2,174","2,416","1,144","2,496","1,661","1,962","1,002","2,383","2,239","3,635","1,950","3,596","3,407","5,948"
2020년11월_계_20~29세,"71,019","4,234","4,320","6,290","2,139","3,175","2,947","4,098","4,243","2,273","3,278","2,498","2,929","2,184","3,520","2,419","3,976","2,897","4,166","4,532","4,901"
2020년11월_계_30~39세,"72,769","4,804","4,541","5,433","1,686","3,221","2,818","3,733","4,171","2,179","3,047","2,275","2,861","1,876","2,902","2,457","7,739","2,320","4,595","4,585","5,526"
2020년11월_계_40~49세,"89,021","5,611","6,761","4,537","2,301","3,474","3,858","4,353","4,577","2,488","4,158","2,893","3,332","2,164","3,808","3,495","7,398","3,388","5,831","5,716","8,878"
2020년11월_계_50~59세,"90,497","5,133","5,772","4,400","3,039","4,056","3,837","5,358","5,322","3,412","4,402","3,278","3,810","3,123","4,877","3,522","4,964","4,339","5,548","5,598","6,707"
2020년11월_계_60~69세,"65,363","3,660","3,975","2,874","2,314","3,204","2,935","4,038","4,023","2,735","3,430","2,447","3,047","2,670","3,473","2,909","3,974","3,008","3,441","3,646","3,560"
2020년11월_계_70~79세,"30,783","1,571","1,771","1,345","1,284","1,815","1,516","2,015","1,824","1,500","1,553","1,153","1,388","1,450","1,610","1,228","1,591","1,433","1,516","1,853","1,367"
2020년11월_계_80~89세,"12,437",624,607,502,543,736,548,789,765,784,540,391,616,508,780,494,504,596,612,870,628
2020년11월_계_90~99세,"2,027",128,109,66,74,111,116,121,125,101,81,68,105,78,150,81,84,94,118,129,88
2020년11월_계_100세 이상,137,6,12,1,11,10,3,18,13,3,15,9,3,1,5,1,3,4,4,12,3
2020년11월_남_총인구수,"261,423","15,623","17,686","14,292","7,679","11,205","11,222","14,136","14,620","8,528","12,162","9,057","10,540","7,892","12,197","10,234","19,767","10,930","16,256","16,585","20,812"
2020년11월_남_연령구간인구수,"261,423","15,623","17,686","14,292","7,679","11,205","11,222","14,136","14,620","8,528","12,162","9,057","10,540","7,892","12,197","10,234","19,767","10,930","16,256","16,585","20,812"
2020년11월_남_0~9세,"21,703","1,644","1,900",817,357,682,852,805,936,462,922,686,759,352,781,841,"3,085",686,"1,457","1,334","2,345"
2020년11월_남_10~19세,"25,613","1,492","2,295",890,590,839,"1,133","1,082","1,213",589,"1,245",857,"1,031",507,"1,205","1,168","1,896","1,043","1,826","1,777","2,935"
2020년11월_남_20~29세,"36,641","2,095","2,245","2,822","1,125","1,645","1,539","2,111","2,180","1,173","1,704","1,292","1,559","1,164","1,859","1,327","1,972","1,590","2,242","2,435","2,562"
2020년11월_남_30~39세,"37,448","2,340","2,140","2,949",962,"1,730","1,422","1,971","2,205","1,167","1,566","1,227","1,478","1,072","1,514","1,257","3,743","1,215","2,416","2,507","2,567"
2020년11월_남_40~49세,"45,244","2,921","3,245","2,453","1,249","1,809","1,987","2,275","2,320","1,303","2,072","1,488","1,624","1,161","1,795","1,755","3,872","1,772","2,958","2,902","4,283"
2020년11월_남_50~59세,"44,634","2,439","2,885","2,191","1,536","1,954","1,933","2,684","2,627","1,682","2,097","1,610","1,803","1,534","2,343","1,690","2,357","2,206","2,791","2,778","3,494"
2020년11월_남_60~69세,"31,557","1,738","1,885","1,377","1,108","1,496","1,429","1,955","1,995","1,305","1,601","1,217","1,425","1,260","1,732","1,419","1,906","1,534","1,660","1,730","1,785"
