카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년08월_계_총인구수,"281,854","7,782","19,783","1,489","2,593","1,092","3,874","2,594",962,"17,429","3,538","3,596","2,949","2,311","8,935","9,971","12,003","15,127","21,382","4,622","12,039","4,564","35,901","49,948","16,916","20,454"
2020년08월_계_연령구간인구수,"281,854","7,782","19,783","1,489","2,593","1,092","3,874","2,594",962,"17,429","3,538","3,596","2,949","2,311","8,935","9,971","12,003","15,127","21,382","4,622","12,039","4,564","35,901","49,948","16,916","20,454"
2020년08월_계_0~9세,"21,827",358,"2,248",30,110,26,125,73,15,"1,518",81,101,87,90,969,821,564,"1,335","1,786",344,442,158,"2,687","4,565","1,279","2,015"
2020년08월_계_10~19세,"27,139",462,"2,456",66,142,37,183,156,24,"1,719",167,186,143,120,668,761,886,"1,492","2,047",408,689,235,"4,493","6,067","1,375","2,157"
2020년08월_계_20~29세,"37,103",818,"1,919",126,261,37,246,185,37,"2,189",254,842,406,277,"1,051","1,243","1,902","2,184","2,666",551,"2,685","1,039","5,130","6,303","2,230","2,522"
2020년08월_계_30~39세,"34,416",690,"2,512",99,202,69,240,118,39,"2,456",271,428,313,217,"1,475","1,323","1,389","2,156","2,915",499,"1,318",624,"3,921","6,393","2,177","2,572"
2020년08월_계_40~49세,"42,504",927,"3,587",117,262,91,361,229,66,"2,891",370,388,374,267,"1,199","1,387","1,574","2,218","3,168",708,"1,437",501,"6,111","8,586","2,414","3,271"
2020년08월_계_50~59세,"47,083","1,468","3,121",276,525,210,730,499,193,"2,819",692,525,523,407,"1,274","1,757","2,045","2,474","3,503",777,"1,842",698,"6,268","8,360","2,937","3,160"
2020년08월_계_60~69세,"37,310","1,413","2,337",385,566,280,928,648,291,"2,143",889,523,516,417,"1,091","1,333","1,871","1,659","2,824",655,"1,691",636,"3,866","5,416","2,513","2,419"
2020년08월_계_70~79세,"21,027",949,991,221,282,189,578,413,193,"1,029",516,373,344,297,746,832,"1,109",987,"1,534",429,"1,195",411,"2,101","2,594","1,279","1,435"
2020년08월_계_80~89세,"11,445",603,509,155,219,131,387,228,92,571,249,205,199,170,383,431,564,528,813,213,649,227,"1,146","1,423",595,755
2020년08월_계_90~99세,"1,889",91,101,13,23,21,89,44,12,90,46,22,42,46,74,72,94,88,125,38,83,33,173,234,108,127
2020년08월_계_100세 이상,111,3,2,1,1,1,7,1,0,4,3,3,2,3,5,11,5,6,1,0,8,2,5,7,9,21
2020년08월_남_총인구수,"139,086","3,892","9,806",814,"1,336",590,"1,998","1,276",531,"8,701","1,873","1,829","1,437","1,120","4,508","4,853","5,930","7,223","10,157","2,317","6,360","2,297","17,601","24,054","8,298","10,285"
2020년08월_남_연령구간인구수,"139,086","3,892","9,806",814,"1,336",590,"1,998","1,276",531,"8,701","1,873","1,829","1,437","1,120","4,508","4,853","5,930","7,223","10,157","2,317","6,360","2,297","17,601","24,054","8,298","10,285"
2020년08월_남_0~9세,"11,197",172,"1,175",12,61,18,63,38,8,800,49,67,46,44,509,408,287,674,894,173,213,83,"1,349","2,353",669,"1,032"
2020년08월_남_10~19세,"14,109",241,"1,277",43,64,21,105,90,10,874,93,104,73,67,367,414,457,775,"1,026",228,374,117,"2,284","3,138",710,"1,157"
2020년08월_남_20~29세,"19,773",451,"1,049",74,161,26,133,114,21,"1,122",138,441,210,157,557,657,990,"1,123","1,337",309,"1,574",509,"2,685","3,303","1,190","1,442"
2020년08월_남_30~39세,"17,487",376,"1,166",60,107,40,133,62,25,"1,276",164,238,160,118,767,659,765,"1,075","1,479",254,782,354,"2,010","3,027","1,118","1,272"
2020년08월_남_40~49세,"21,063",498,"1,772",74,147,58,216,114,36,"1,486",217,216,212,139,623,708,814,"1,038","1,523",372,800,289,"2,904","3,987","1,181","1,639"
2020년08월_남_50~59세,"23,592",768,"1,578",159,297,125,398,237,113,"1,426",391,275,269,201,709,868,"1,033","1,168","1,652",380,"1,029",349,"3,134","4,015","1,381","1,637"
2020년08월_남_60~69세,"18,065",724,"1,147",224,272,150,517,334,179,"1,052",453,235,247,208,525,613,870,761,"1,311",314,823,304,"1,893","2,575","1,185","1,149"
2020년08월_남_70~79세,"9,168",432,449,105,146,90,285,190,94,444,268,176,150,117,283,342,482,407,647,178,497,180,862,"1,092",615,637
2020년08월_남_80~89세,"4,127",204,177,61,76,55,122,88,42,196,85,69,58,59,140,159,211,174,257,95,249,102,440,508,222,278
2020년08월_남_90~99세,459,24,16,2,4,7,22,9,3,24,13,6,11,8,27,21,20,27,30,14,13,9,38,56,26,29
2020년08월_남_100세 이상,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,0,1,13
2020년08월_여_총인구수,"142,768","3,890","9,977",675,"1,257",502,"1,876","1,318",431,"8,728","1,665","1,767","1,512","1,191","4,427","5,118","6,073","7,904","11,225","2,305","5,679","2,267","18,300","25,894","8,618","10,169"
2020년08월_여_연령구간인구수,"142,768","3,890","9,977",675,"1,257",502,"1,876","1,318",431,"8,728","1,665","1,767","1,512","1,191","4,427","5,118","6,073","7,904","11,225","2,305","5,679","2,267","18,300","25,894","8,618","10,169"
2020년08월_여_0~9세,"10,630",186,"1,073",18,49,8,62,35,7,718,32,34,41,46,460,413,277,661,892,171,229,75,"1,338","2,212",610,983
2020년08월_여_10~19세,"13,030",221,"1,179",23,78,16,78,66,14,845,74,82,70,53,301,347,429,717,"1,021",180,315,118,"2,209","2,929",665,"1,000"
2020년08월_여_20~29세,"17,330",367,870,52,100,11,113,71,16,"1,067",116,401,196,120,494,586,912,"1,061","1,329",242,"1,111",530,"2,445","3,000","1,040","1,080"
2020년08월_여_30~39세,"16,929",314,"1,346",39,95,29,107,56,14,"1,180",107,190,153,99,708,664,624,"1,081","1,436",245,536,270,"1,911","3,366","1,059","1,300"
2020년08월_여_40~49세,"21,441",429,"1,815",43,115,33,145,115,30,"1,405",153,172,162,128,576,679,760,"1,180","1,645",336,637,212,"3,207","4,599","1,233","1,632"
2020년08월_여_50~59세,"23,491",700,"1,543",117,228,85,332,262,80,"1,393",301,250,254,206,565,889,"1,012","1,306","1,851",397,813,349,"3,134","4,345","1,556","1,523"
2020년08월_여_60~69세,"19,245",689,"1,190",161,294,130,411,314,112,"1,091",436,288,269,209,566,720,"1,001",898,"1,513",341,868,332,"1,973","2,841","1,328","1,270"
2020년08월_여_70~79세,"11,859",517,542,116,136,99,293,223,99,585,248,197,194,180,463,490,627,580,887,251,698,231,"1,239","1,502",664,798
2020년08월_여_80~89세,"7,318",399,332,94,143,76,265,140,50,375,164,136,141,111,243,272,353,354,556,118,400,125,706,915,373,477
2020년08월_여_90~99세,"1,430",67,85,11,19,14,67,35,9,66,33,16,31,38,47,51,74,61,95,24,70,24,135,178,82,98
2020년08월_여_100세 이상,65,1,2,1,0,1,3,1,0,3,1,1,1,1,4,7,4,5,0,0,2,1,3,7,8,8
