카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년03월_계_총인구수,"264,023","25,442","36,271","20,920","5,905","5,524","3,348","3,736","2,998","9,897","6,548","19,976","36,357","31,812","16,277","39,012"
2021년03월_계_연령구간인구수,"264,023","25,442","36,271","20,920","5,905","5,524","3,348","3,736","2,998","9,897","6,548","19,976","36,357","31,812","16,277","39,012"
2021년03월_계_0~9세,"20,112","1,609","2,379","2,318",167,137,80,118,93,543,227,"1,980","2,730","3,451","1,031","3,249"
2021년03월_계_10~19세,"22,673","2,703","3,489","1,180",270,245,103,148,108,596,400,"1,972","3,973","2,480",802,"4,204"
2021년03월_계_20~29세,"36,165","3,848","5,390","3,151",496,458,208,265,245,"1,557",985,"2,058","4,443","3,995","3,723","5,343"
2021년03월_계_30~39세,"32,880","2,536","3,924","4,106",475,396,203,217,194,"1,150",670,"2,624","3,922","4,774","2,808","4,881"
2021년03월_계_40~49세,"41,359","3,985","6,313","3,030",620,595,272,371,270,"1,272",815,"3,538","6,249","4,942","2,219","6,868"
2021년03월_계_50~59세,"44,927","4,180","7,019","2,832","1,177","1,024",584,701,591,"1,889","1,268","3,008","6,262","5,358","2,453","6,581"
2021년03월_계_60~69세,"35,681","3,285","4,173","2,355","1,383","1,316",869,889,703,"1,755","1,152","2,579","4,893","3,877","1,886","4,566"
2021년03월_계_70~79세,"19,637","2,134","2,307","1,217",807,840,611,574,493,785,650,"1,511","2,581","2,030",904,"2,193"
2021년03월_계_80~89세,"9,414","1,058","1,156",652,448,452,367,381,251,315,347,625,"1,157",816,399,990
2021년03월_계_90~99세,"1,143",100,118,76,61,58,50,68,48,35,34,80,144,86,52,133
2021년03월_계_100세 이상,32,4,3,3,1,3,1,4,2,0,0,1,3,3,0,4
2021년03월_남_총인구수,"132,924","12,789","18,927","11,116","3,176","2,794","1,766","1,934","1,536","4,804","3,245","9,839","17,359","15,266","8,863","19,510"
2021년03월_남_연령구간인구수,"132,924","12,789","18,927","11,116","3,176","2,794","1,766","1,934","1,536","4,804","3,245","9,839","17,359","15,266","8,863","19,510"
2021년03월_남_0~9세,"10,258",852,"1,239","1,220",93,69,39,58,53,264,128,997,"1,319","1,704",545,"1,678"
2021년03월_남_10~19세,"11,746","1,410","1,757",623,145,125,52,75,59,310,218,"1,080","1,949","1,247",423,"2,273"
2021년03월_남_20~29세,"19,839","2,172","3,107","1,743",305,261,138,167,148,803,525,"1,105","2,294","2,103","2,064","2,904"
2021년03월_남_30~39세,"17,659","1,397","2,210","2,316",274,241,130,131,116,606,393,"1,349","1,904","2,356","1,703","2,533"
2021년03월_남_40~49세,"21,187","1,936","3,271","1,769",379,367,176,218,157,619,421,"1,771","3,024","2,383","1,292","3,404"
2021년03월_남_50~59세,"22,548","2,139","3,771","1,450",679,519,327,387,322,889,635,"1,460","2,996","2,440","1,306","3,228"
2021년03월_남_60~69세,"17,453","1,588","2,171","1,194",737,681,486,490,354,839,545,"1,170","2,319","1,773",925,"2,181"
2021년03월_남_70~79세,"8,766",904,987,565,396,383,289,279,235,366,264,662,"1,096",920,460,960
2021년03월_남_80~89세,"3,218",368,380,218,156,140,120,115,77,102,109,230,426,313,138,326
2021년03월_남_90~99세,244,22,34,18,11,8,9,14,13,6,7,15,32,26,7,22
2021년03월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년03월_여_총인구수,"131,099","12,653","17,344","9,804","2,729","2,730","1,582","1,802","1,462","5,093","3,303","10,137","18,998","16,546","7,414","19,502"
2021년03월_여_연령구간인구수,"131,099","12,653","17,344","9,804","2,729","2,730","1,582","1,802","1,462","5,093","3,303","10,137","18,998","16,546","7,414","19,502"
2021년03월_여_0~9세,"9,854",757,"1,140","1,098",74,68,41,60,40,279,99,983,"1,411","1,747",486,"1,571"
2021년03월_여_10~19세,"10,927","1,293","1,732",557,125,120,51,73,49,286,182,892,"2,024","1,233",379,"1,931"
2021년03월_여_20~29세,"16,326","1,676","2,283","1,408",191,197,70,98,97,754,460,953,"2,149","1,892","1,659","2,439"
2021년03월_여_30~39세,"15,221","1,139","1,714","1,790",201,155,73,86,78,544,277,"1,275","2,018","2,418","1,105","2,348"
2021년03월_여_40~49세,"20,172","2,049","3,042","1,261",241,228,96,153,113,653,394,"1,767","3,225","2,559",927,"3,464"
2021년03월_여_50~59세,"22,379","2,041","3,248","1,382",498,505,257,314,269,"1,000",633,"1,548","3,266","2,918","1,147","3,353"
2021년03월_여_60~69세,"18,228","1,697","2,002","1,161",646,635,383,399,349,916,607,"1,409","2,574","2,104",961,"2,385"
2021년03월_여_70~79세,"10,871","1,230","1,320",652,411,457,322,295,258,419,386,849,"1,485","1,110",444,"1,233"
2021년03월_여_80~89세,"6,196",690,776,434,292,312,247,266,174,213,238,395,731,503,261,664
2021년03월_여_90~99세,899,78,84,58,50,50,41,54,35,29,27,65,112,60,45,111
2021년03월_여_100세 이상,26,3,3,3,0,3,1,4,0,0,0,1,3,2,0,3
