카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년03월_계_총인구수,"229,013","17,360","9,879","7,544","19,700","16,099","14,140","10,251","12,207","21,596","27,739","8,547","6,822","9,193","20,778","13,105","14,053"
2021년03월_계_연령구간인구수,"229,013","17,360","9,879","7,544","19,700","16,099","14,140","10,251","12,207","21,596","27,739","8,547","6,822","9,193","20,778","13,105","14,053"
2021년03월_계_0~9세,"13,360",944,347,179,659,"1,301",915,773,748,"1,179","2,724",542,236,427,"1,162",780,444
2021년03월_계_10~19세,"15,377","1,246",522,261,"1,148",866,"1,236",741,813,"1,010","2,875",514,267,480,"1,172","1,453",773
2021년03월_계_20~29세,"33,787","2,575","1,558",952,"4,230","2,488","1,901","1,606","1,832","3,607","2,931",928,"1,075","1,400","2,716","1,797","2,191"
2021년03월_계_30~39세,"38,352","2,790","1,735","1,049","3,126","3,682","2,098","1,871","2,007","4,588","3,587","1,436","1,140","1,672","3,941","1,492","2,138"
2021년03월_계_40~49세,"35,320","2,734","1,370","1,077","2,711","2,622","2,289","1,557","1,836","2,915","4,849","1,227",873,"1,410","3,360","2,429","2,061"
2021년03월_계_50~59세,"36,849","2,798","1,433","1,639","3,107","2,233","2,322","1,600","1,968","3,504","4,553","1,382","1,102","1,288","3,222","2,221","2,477"
2021년03월_계_60~69세,"28,995","2,253","1,467","1,350","2,402","1,646","1,742","1,063","1,543","2,597","3,044","1,353","1,073","1,197","2,757","1,450","2,058"
2021년03월_계_70~79세,"16,839","1,304",929,668,"1,517",824,"1,024",649,981,"1,394","1,757",740,618,825,"1,575",792,"1,242"
2021년03월_계_80~89세,"8,598",594,439,293,701,362,548,333,403,687,"1,199",364,357,420,716,598,584
2021년03월_계_90~99세,"1,425",105,77,57,96,65,61,55,68,110,215,57,74,72,142,90,81
2021년03월_계_100세 이상,111,17,2,19,3,10,4,3,8,5,5,4,7,2,15,3,4
2021년03월_남_총인구수,"110,181","8,418","4,758","4,604","9,223","7,725","6,652","4,849","5,824","10,334","13,006","4,019","3,281","4,247","10,011","6,281","6,949"
2021년03월_남_연령구간인구수,"110,181","8,418","4,758","4,604","9,223","7,725","6,652","4,849","5,824","10,334","13,006","4,019","3,281","4,247","10,011","6,281","6,949"
2021년03월_남_0~9세,"6,846",484,180,89,327,644,456,395,374,612,"1,423",276,113,217,614,400,242
2021년03월_남_10~19세,"7,797",680,267,153,612,460,496,388,422,531,"1,445",257,134,220,576,719,437
2021년03월_남_20~29세,"16,004","1,293",824,443,"1,659","1,058",882,741,885,"1,558","1,432",461,570,698,"1,384",897,"1,219"
2021년03월_남_30~39세,"19,097","1,434",889,568,"1,692","1,767","1,058",901,979,"2,189","1,600",725,623,830,"1,930",721,"1,191"
2021년03월_남_40~49세,"17,367","1,317",700,687,"1,362","1,340","1,131",747,904,"1,428","2,179",607,431,683,"1,668","1,150","1,033"
2021년03월_남_50~59세,"18,210","1,374",669,"1,145","1,534","1,111","1,144",764,973,"1,728","2,189",638,518,578,"1,545","1,099","1,201"
2021년03월_남_60~69세,"13,876","1,049",657,952,"1,119",797,828,494,699,"1,313","1,470",607,494,499,"1,281",724,893
2021년03월_남_70~79세,"7,303",562,411,388,618,372,457,272,414,647,736,319,237,347,686,317,520
2021년03월_남_80~89세,"3,223",197,143,150,277,154,184,125,157,289,450,118,141,153,279,219,187
2021년03월_남_90~99세,424,25,16,20,22,19,15,21,15,38,80,11,19,22,42,34,25
2021년03월_남_100세 이상,34,3,2,9,1,3,1,1,2,1,2,0,1,0,6,1,1
2021년03월_여_총인구수,"118,832","8,942","5,121","2,940","10,477","8,374","7,488","5,402","6,383","11,262","14,733","4,528","3,541","4,946","10,767","6,824","7,104"
2021년03월_여_연령구간인구수,"118,832","8,942","5,121","2,940","10,477","8,374","7,488","5,402","6,383","11,262","14,733","4,528","3,541","4,946","10,767","6,824","7,104"
2021년03월_여_0~9세,"6,514",460,167,90,332,657,459,378,374,567,"1,301",266,123,210,548,380,202
2021년03월_여_10~19세,"7,580",566,255,108,536,406,740,353,391,479,"1,430",257,133,260,596,734,336
2021년03월_여_20~29세,"17,783","1,282",734,509,"2,571","1,430","1,019",865,947,"2,049","1,499",467,505,702,"1,332",900,972
2021년03월_여_30~39세,"19,255","1,356",846,481,"1,434","1,915","1,040",970,"1,028","2,399","1,987",711,517,842,"2,011",771,947
2021년03월_여_40~49세,"17,953","1,417",670,390,"1,349","1,282","1,158",810,932,"1,487","2,670",620,442,727,"1,692","1,279","1,028"
2021년03월_여_50~59세,"18,639","1,424",764,494,"1,573","1,122","1,178",836,995,"1,776","2,364",744,584,710,"1,677","1,122","1,276"
2021년03월_여_60~69세,"15,119","1,204",810,398,"1,283",849,914,569,844,"1,284","1,574",746,579,698,"1,476",726,"1,165"
2021년03월_여_70~79세,"9,536",742,518,280,899,452,567,377,567,747,"1,021",421,381,478,889,475,722
2021년03월_여_80~89세,"5,375",397,296,143,424,208,364,208,246,398,749,246,216,267,437,379,397
2021년03월_여_90~99세,"1,001",80,61,37,74,46,46,34,53,72,135,46,55,50,100,56,56
2021년03월_여_100세 이상,77,14,0,10,2,7,3,2,6,4,3,4,6,2,9,2,3
