,세종특별자치시,세종특별자치시 세종특별자치시
2020년03월_계_총인구수,"344,792","344,792"
2020년03월_계_연령구간인구수,"344,792","344,792"
2020년03월_계_0~9세,"47,449","47,449"
2020년03월_계_10~19세,"40,751","40,751"
2020년03월_계_20~29세,"36,373","36,373"
2020년03월_계_30~39세,"61,396","61,396"
2020년03월_계_40~49세,"65,983","65,983"
2020년03월_계_50~59세,"43,132","43,132"
2020년03월_계_60~69세,"28,002","28,002"
2020년03월_계_70~79세,"13,660","13,660"
2020년03월_계_80~89세,"6,894","6,894"
2020년03월_계_90~99세,"1,095","1,095"
2020년03월_계_100세 이상,57,57
2020년03월_남_총인구수,"171,951","171,951"
2020년03월_남_연령구간인구수,"171,951","171,951"
2020년03월_남_0~9세,"24,286","24,286"
2020년03월_남_10~19세,"20,459","20,459"
2020년03월_남_20~29세,"18,401","18,401"
2020년03월_남_30~39세,"29,894","29,894"
2020년03월_남_40~49세,"33,901","33,901"
2020년03월_남_50~59세,"22,328","22,328"
2020년03월_남_60~69세,"13,894","13,894"
2020년03월_남_70~79세,"6,216","6,216"
2020년03월_남_80~89세,"2,312","2,312"
2020년03월_남_90~99세,250,250
2020년03월_남_100세 이상,10,10
2020년03월_여_총인구수,"172,841","172,841"
2020년03월_여_연령구간인구수,"172,841","172,841"
2020년03월_여_0~9세,"23,163","23,163"
2020년03월_여_10~19세,"20,292","20,292"
2020년03월_여_20~29세,"17,972","17,972"
2020년03월_여_30~39세,"31,502","31,502"
2020년03월_여_40~49세,"32,082","32,082"
2020년03월_여_50~59세,"20,804","20,804"
2020년03월_여_60~69세,"14,108","14,108"
2020년03월_여_70~79세,"7,444","7,444"
2020년03월_여_80~89세,"4,582","4,582"
2020년03월_여_90~99세,845,845
2020년03월_여_100세 이상,47,47
