,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년05월_계_총인구수,"188,704","59,992","5,357","7,359","3,348","5,945","15,340","5,278","6,398","7,694","7,015","3,733","1,944","12,408","24,436","22,457"
2021년05월_계_연령구간인구수,"188,704","59,992","5,357","7,359","3,348","5,945","15,340","5,278","6,398","7,694","7,015","3,733","1,944","12,408","24,436","22,457"
2021년05월_계_0~9세,"13,641","5,787",169,378,83,209,"1,324",150,384,286,219,81,45,702,"2,083","1,741"
2021년05월_계_10~19세,"18,270","7,554",297,628,143,275,"1,093",272,394,523,516,367,81,"1,032","2,612","2,483"
2021년05월_계_20~29세,"22,950","7,015",488,731,291,557,"2,054",454,783,680,703,440,200,"1,584","3,680","3,290"
2021년05월_계_30~39세,"22,877","8,327",404,639,233,558,"2,520",396,937,610,532,282,136,"1,328","3,283","2,692"
2021년05월_계_40~49세,"30,252","12,116",542,"1,001",339,732,"2,573",559,927,817,756,347,177,"1,720","4,092","3,554"
2021년05월_계_50~59세,"31,554","9,026","1,022","1,322",669,"1,113","2,363","1,018","1,169","1,375","1,405",629,369,"2,218","3,914","3,942"
2021년05월_계_60~69세,"26,592","5,665","1,205","1,425",773,"1,282","1,975","1,219","1,018","1,748","1,488",793,490,"2,011","2,817","2,683"
2021년05월_계_70~79세,"13,719","2,939",697,695,459,695,916,656,487,983,817,461,240,"1,101","1,264","1,309"
2021년05월_계_80~89세,"7,747","1,385",455,469,322,464,458,455,264,575,522,304,174,612,614,674
2021년05월_계_90~99세,"1,063",172,74,68,35,57,63,95,35,92,54,28,30,97,77,86
2021년05월_계_100세 이상,39,6,4,3,1,3,1,4,0,5,3,1,2,3,0,3
2021년05월_남_총인구수,"97,419","30,296","2,823","3,668","1,768","3,233","8,591","2,751","3,608","4,054","3,752","1,947","1,015","6,246","12,395","11,272"
2021년05월_남_연령구간인구수,"97,419","30,296","2,823","3,668","1,768","3,233","8,591","2,751","3,608","4,054","3,752","1,947","1,015","6,246","12,395","11,272"
2021년05월_남_0~9세,"7,017","2,927",90,201,49,104,714,79,223,144,106,43,22,341,"1,083",891
2021년05월_남_10~19세,"9,532","3,890",175,313,75,148,565,126,219,309,288,187,47,529,"1,364","1,297"
2021년05월_남_20~29세,"12,712","3,774",290,403,185,348,"1,174",266,485,382,400,230,112,866,"1,969","1,828"
2021년05월_남_30~39세,"12,530","4,358",239,337,131,341,"1,499",233,575,370,333,191,82,713,"1,730","1,398"
2021년05월_남_40~49세,"16,164","6,186",323,527,206,460,"1,571",333,562,486,447,201,108,915,"2,101","1,738"
2021년05월_남_50~59세,"16,755","4,693",558,695,379,615,"1,382",567,641,753,812,344,199,"1,135","2,001","1,981"
2021년05월_남_60~69세,"13,445","2,677",659,715,402,704,"1,036",658,562,893,788,413,253,986,"1,384","1,315"
2021년05월_남_70~79세,"6,291","1,300",315,292,213,338,460,315,237,490,373,223,113,501,553,568
2021년05월_남_80~89세,"2,754",455,160,173,119,163,180,159,91,210,194,112,74,240,189,235
2021년05월_남_90~99세,213,35,14,11,9,11,10,15,13,16,10,3,5,19,21,21
2021년05월_남_100세 이상,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021년05월_여_총인구수,"91,285","29,696","2,534","3,691","1,580","2,712","6,749","2,527","2,790","3,640","3,263","1,786",929,"6,162","12,041","11,185"
2021년05월_여_연령구간인구수,"91,285","29,696","2,534","3,691","1,580","2,712","6,749","2,527","2,790","3,640","3,263","1,786",929,"6,162","12,041","11,185"
2021년05월_여_0~9세,"6,624","2,860",79,177,34,105,610,71,161,142,113,38,23,361,"1,000",850
2021년05월_여_10~19세,"8,738","3,664",122,315,68,127,528,146,175,214,228,180,34,503,"1,248","1,186"
2021년05월_여_20~29세,"10,238","3,241",198,328,106,209,880,188,298,298,303,210,88,718,"1,711","1,462"
2021년05월_여_30~39세,"10,347","3,969",165,302,102,217,"1,021",163,362,240,199,91,54,615,"1,553","1,294"
2021년05월_여_40~49세,"14,088","5,930",219,474,133,272,"1,002",226,365,331,309,146,69,805,"1,991","1,816"
2021년05월_여_50~59세,"14,799","4,333",464,627,290,498,981,451,528,622,593,285,170,"1,083","1,913","1,961"
2021년05월_여_60~69세,"13,147","2,988",546,710,371,578,939,561,456,855,700,380,237,"1,025","1,433","1,368"
2021년05월_여_70~79세,"7,428","1,639",382,403,246,357,456,341,250,493,444,238,127,600,711,741
2021년05월_여_80~89세,"4,993",930,295,296,203,301,278,296,173,365,328,192,100,372,425,439
2021년05월_여_90~99세,850,137,60,57,26,46,53,80,22,76,44,25,25,78,56,65
2021년05월_여_100세 이상,33,5,4,2,1,2,1,4,0,4,2,1,2,2,0,3
