카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년04월_계_총인구수,"68,229","24,734","2,915","3,200","2,784","6,092","2,808","2,005","2,960","2,122","2,411","4,833","3,747","4,013","3,605"
2021년04월_계_연령구간인구수,"68,229","24,734","2,915","3,200","2,784","6,092","2,808","2,005","2,960","2,122","2,411","4,833","3,747","4,013","3,605"
2021년04월_계_0~9세,"3,845","2,249",91,126,64,275,92,42,84,72,75,177,181,185,132
2021년04월_계_10~19세,"5,143","2,909",146,131,130,359,168,91,151,82,122,237,192,231,194
2021년04월_계_20~29세,"5,499","2,737",219,196,141,453,175,125,195,82,140,290,237,263,246
2021년04월_계_30~39세,"4,903","2,511",153,193,126,383,130,77,124,102,113,266,255,235,235
2021년04월_계_40~49세,"7,950","3,831",265,291,240,629,245,162,311,208,227,405,372,383,381
2021년04월_계_50~59세,"11,440","4,074",554,514,482,"1,072",467,331,496,288,421,836,609,684,612
2021년04월_계_60~69세,"12,534","3,312",612,679,637,"1,222",586,420,571,465,470,"1,170",743,863,784
2021년04월_계_70~79세,"9,897","1,996",522,639,556,983,570,415,540,408,461,829,694,710,574
2021년04월_계_80~89세,"6,118",965,301,391,354,645,337,301,412,360,324,554,404,395,375
2021년04월_계_90~99세,859,148,50,39,49,68,37,40,69,54,53,64,59,62,67
2021년04월_계_100세 이상,41,2,2,1,5,3,1,1,7,1,5,5,1,2,5
2021년04월_남_총인구수,"33,735","12,157","1,463","1,593","1,385","2,979","1,362",953,"1,480",991,"1,221","2,378","1,908","2,004","1,861"
2021년04월_남_연령구간인구수,"33,735","12,157","1,463","1,593","1,385","2,979","1,362",953,"1,480",991,"1,221","2,378","1,908","2,004","1,861"
2021년04월_남_0~9세,"1,942","1,124",45,68,35,135,41,24,47,31,45,84,92,100,71
2021년04월_남_10~19세,"2,651","1,478",81,67,72,180,86,46,81,45,70,129,95,125,96
2021년04월_남_20~29세,"3,098","1,476",116,98,88,281,103,69,107,53,88,184,136,167,132
2021년04월_남_30~39세,"2,597","1,240",92,123,82,216,64,41,74,46,62,154,142,116,145
2021년04월_남_40~49세,"4,451","1,860",160,190,144,373,149,107,186,133,153,242,265,227,262
2021년04월_남_50~59세,"6,340","2,139",306,299,277,565,260,193,292,158,263,472,352,389,375
2021년04월_남_60~69세,"6,281","1,605",324,333,335,582,288,212,306,227,239,579,406,434,411
2021년04월_남_70~79세,"4,319",901,227,286,235,435,254,158,232,177,195,357,297,321,244
2021년04월_남_80~89세,"1,901",302,101,120,111,205,105,99,143,108,95,168,117,115,112
2021년04월_남_90~99세,155,32,11,9,6,7,12,4,12,13,11,9,6,10,13
2021년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"34,494","12,577","1,452","1,607","1,399","3,113","1,446","1,052","1,480","1,131","1,190","2,455","1,839","2,009","1,744"
2021년04월_여_연령구간인구수,"34,494","12,577","1,452","1,607","1,399","3,113","1,446","1,052","1,480","1,131","1,190","2,455","1,839","2,009","1,744"
2021년04월_여_0~9세,"1,903","1,125",46,58,29,140,51,18,37,41,30,93,89,85,61
2021년04월_여_10~19세,"2,492","1,431",65,64,58,179,82,45,70,37,52,108,97,106,98
2021년04월_여_20~29세,"2,401","1,261",103,98,53,172,72,56,88,29,52,106,101,96,114
2021년04월_여_30~39세,"2,306","1,271",61,70,44,167,66,36,50,56,51,112,113,119,90
2021년04월_여_40~49세,"3,499","1,971",105,101,96,256,96,55,125,75,74,163,107,156,119
2021년04월_여_50~59세,"5,100","1,935",248,215,205,507,207,138,204,130,158,364,257,295,237
2021년04월_여_60~69세,"6,253","1,707",288,346,302,640,298,208,265,238,231,591,337,429,373
2021년04월_여_70~79세,"5,578","1,095",295,353,321,548,316,257,308,231,266,472,397,389,330
2021년04월_여_80~89세,"4,217",663,200,271,243,440,232,202,269,252,229,386,287,280,263
2021년04월_여_90~99세,704,116,39,30,43,61,25,36,57,41,42,55,53,52,54
2021년04월_여_100세 이상,41,2,2,1,5,3,1,1,7,1,5,5,1,2,5
