카테고리,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년04월_계_총인구수,"39,377","18,545","2,184","1,608","1,670","2,421","2,098","4,617","1,452","1,862","1,560","1,360"
2020년04월_계_연령구간인구수,"39,377","18,545","2,184","1,608","1,670","2,421","2,098","4,617","1,452","1,862","1,560","1,360"
2020년04월_계_0~9세,"1,914","1,369",43,33,23,74,69,145,26,54,45,33
2020년04월_계_10~19세,"3,036","1,949",116,74,71,146,107,253,51,105,79,85
2020년04월_계_20~29세,"3,228","1,948",117,76,96,201,112,284,84,128,84,98
2020년04월_계_30~39세,"2,727","1,710",93,69,69,150,114,264,61,85,61,51
2020년04월_계_40~49세,"4,519","2,686",199,154,106,216,191,441,104,162,133,127
2020년04월_계_50~59세,"7,032","3,275",468,316,285,401,356,754,278,325,310,264
2020년04월_계_60~69세,"6,992","2,607",470,325,347,508,427,945,363,375,357,268
2020년04월_계_70~79세,"5,578","1,807",385,316,362,395,407,819,240,353,275,219
2020년04월_계_80~89세,"3,779","1,048",249,212,255,292,281,604,220,244,188,186
2020년04월_계_90~99세,538,137,40,32,50,37,34,100,25,29,27,27
2020년04월_계_100세 이상,34,9,4,1,6,1,0,8,0,2,1,2
2020년04월_남_총인구수,"18,986","9,007","1,037",799,776,"1,188","1,004","2,193",692,870,769,651
2020년04월_남_연령구간인구수,"18,986","9,007","1,037",799,776,"1,188","1,004","2,193",692,870,769,651
2020년04월_남_0~9세,973,695,20,18,9,40,32,74,14,29,25,17
2020년04월_남_10~19세,"1,556",996,58,37,31,70,51,136,31,52,43,51
2020년04월_남_20~29세,"1,857","1,106",67,39,62,123,74,163,51,66,48,58
2020년04월_남_30~39세,"1,412",843,49,40,43,87,62,146,33,44,38,27
2020년04월_남_40~49세,"2,476","1,373",115,95,66,130,109,277,62,98,76,75
2020년04월_남_50~59세,"3,722","1,697",252,200,151,222,190,391,140,173,155,151
2020년04월_남_60~69세,"3,466","1,215",249,179,180,260,229,459,185,190,185,135
2020년04월_남_70~79세,"2,267",741,148,120,162,155,164,329,100,145,124,79
2020년04월_남_80~89세,"1,135",317,72,67,62,90,85,191,71,63,66,51
2020년04월_남_90~99세,115,23,7,4,9,11,8,24,5,8,9,7
2020년04월_남_100세 이상,7,1,0,0,1,0,0,3,0,2,0,0
2020년04월_여_총인구수,"20,391","9,538","1,147",809,894,"1,233","1,094","2,424",760,992,791,709
2020년04월_여_연령구간인구수,"20,391","9,538","1,147",809,894,"1,233","1,094","2,424",760,992,791,709
2020년04월_여_0~9세,941,674,23,15,14,34,37,71,12,25,20,16
2020년04월_여_10~19세,"1,480",953,58,37,40,76,56,117,20,53,36,34
2020년04월_여_20~29세,"1,371",842,50,37,34,78,38,121,33,62,36,40
2020년04월_여_30~39세,"1,315",867,44,29,26,63,52,118,28,41,23,24
2020년04월_여_40~49세,"2,043","1,313",84,59,40,86,82,164,42,64,57,52
2020년04월_여_50~59세,"3,310","1,578",216,116,134,179,166,363,138,152,155,113
2020년04월_여_60~69세,"3,526","1,392",221,146,167,248,198,486,178,185,172,133
2020년04월_여_70~79세,"3,311","1,066",237,196,200,240,243,490,140,208,151,140
2020년04월_여_80~89세,"2,644",731,177,145,193,202,196,413,149,181,122,135
2020년04월_여_90~99세,423,114,33,28,41,26,26,76,20,21,18,20
2020년04월_여_100세 이상,27,8,4,1,5,1,0,5,0,0,1,2
