,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년11월_계_총인구수,"271,187","32,978","10,256","24,679","19,394","15,217","39,223","10,819","28,304","17,776","14,945","27,901","14,543","15,152"
2020년11월_계_연령구간인구수,"271,187","32,978","10,256","24,679","19,394","15,217","39,223","10,819","28,304","17,776","14,945","27,901","14,543","15,152"
2020년11월_계_0~9세,"19,733","2,658",366,"2,618","1,047",882,"2,632",821,"2,563","1,546",809,"1,917","1,014",860
2020년11월_계_10~19세,"24,987","2,784",660,"3,162","1,128","1,449","2,904","1,032","4,162","1,792",993,"2,844","1,050","1,027"
2020년11월_계_20~29세,"32,891","3,991","1,139","2,493","2,910","1,775","5,656","1,308","3,228","1,866","1,729","3,258","1,652","1,886"
2020년11월_계_30~39세,"33,203","4,377",901,"3,106","3,143","1,462","5,447","1,407","2,790","2,022","1,677","3,164","1,829","1,878"
2020년11월_계_40~49세,"43,232","5,035","1,279","4,930","3,029","2,146","5,705","1,768","5,731","3,218","2,086","4,400","1,975","1,930"
2020년11월_계_50~59세,"44,534","5,376","1,817","3,606","3,011","2,532","6,655","1,688","4,620","2,585","2,595","4,854","2,463","2,732"
2020년11월_계_60~69세,"40,917","4,935","2,057","2,592","2,693","2,546","5,936","1,444","3,236","2,595","2,842","4,435","2,650","2,956"
2020년11월_계_70~79세,"22,279","2,690","1,347","1,503","1,635","1,594","3,057",925,"1,450","1,564","1,587","2,172","1,365","1,390"
2020년11월_계_80~89세,"8,191",981,589,570,678,712,"1,092",378,451,520,552,756,483,429
2020년11월_계_90~99세,"1,083",133,79,92,92,112,124,46,68,63,69,90,55,60
2020년11월_계_100세 이상,137,18,22,7,28,7,15,2,5,5,6,11,7,4
2020년11월_남_총인구수,"132,022","16,088","5,000","12,046","9,159","7,379","19,210","5,182","13,696","8,806","7,379","13,595","7,088","7,394"
2020년11월_남_연령구간인구수,"132,022","16,088","5,000","12,046","9,159","7,379","19,210","5,182","13,696","8,806","7,379","13,595","7,088","7,394"
2020년11월_남_0~9세,"10,227","1,357",188,"1,358",511,437,"1,357",428,"1,314",878,442,986,527,444
2020년11월_남_10~19세,"13,045","1,504",357,"1,735",563,778,"1,519",466,"2,059",999,536,"1,479",499,551
2020년11월_남_20~29세,"17,220","2,129",615,"1,264","1,319",985,"2,887",697,"1,732",977,907,"1,785",883,"1,040"
2020년11월_남_30~39세,"16,646","2,187",517,"1,441","1,558",761,"2,791",695,"1,309",982,889,"1,593",929,994
2020년11월_남_40~49세,"21,072","2,500",670,"2,379","1,478","1,026","2,797",864,"2,626","1,617","1,097","2,065","1,013",940
2020년11월_남_50~59세,"21,178","2,491",883,"1,754","1,463","1,183","3,148",824,"2,284","1,278","1,226","2,289","1,134","1,221"
2020년11월_남_60~69세,"18,993","2,285",963,"1,185","1,270","1,174","2,795",636,"1,553","1,161","1,308","2,067","1,252","1,344"
2020년11월_남_70~79세,"10,270","1,222",573,686,715,734,"1,425",412,678,705,740,"1,036",653,691
2020년11월_남_80~89세,"3,100",367,218,225,258,272,456,152,130,201,215,271,180,155
2020년11월_남_90~99세,249,38,16,19,21,26,34,7,10,8,17,24,16,13
2020년11월_남_100세 이상,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020년11월_여_총인구수,"139,165","16,890","5,256","12,633","10,235","7,838","20,013","5,637","14,608","8,970","7,566","14,306","7,455","7,758"
2020년11월_여_연령구간인구수,"139,165","16,890","5,256","12,633","10,235","7,838","20,013","5,637","14,608","8,970","7,566","14,306","7,455","7,758"
2020년11월_여_0~9세,"9,506","1,301",178,"1,260",536,445,"1,275",393,"1,249",668,367,931,487,416
2020년11월_여_10~19세,"11,942","1,280",303,"1,427",565,671,"1,385",566,"2,103",793,457,"1,365",551,476
2020년11월_여_20~29세,"15,671","1,862",524,"1,229","1,591",790,"2,769",611,"1,496",889,822,"1,473",769,846
2020년11월_여_30~39세,"16,557","2,190",384,"1,665","1,585",701,"2,656",712,"1,481","1,040",788,"1,571",900,884
2020년11월_여_40~49세,"22,160","2,535",609,"2,551","1,551","1,120","2,908",904,"3,105","1,601",989,"2,335",962,990
2020년11월_여_50~59세,"23,356","2,885",934,"1,852","1,548","1,349","3,507",864,"2,336","1,307","1,369","2,565","1,329","1,511"
2020년11월_여_60~69세,"21,924","2,650","1,094","1,407","1,423","1,372","3,141",808,"1,683","1,434","1,534","2,368","1,398","1,612"
2020년11월_여_70~79세,"12,009","1,468",774,817,920,860,"1,632",513,772,859,847,"1,136",712,699
2020년11월_여_80~89세,"5,091",614,371,345,420,440,636,226,321,319,337,485,303,274
2020년11월_여_90~99세,834,95,63,73,71,86,90,39,58,55,52,66,39,47
2020년11월_여_100세 이상,115,10,22,7,25,4,14,1,4,5,4,11,5,3
