카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년06월_계_총인구수,"37,337","9,770","2,092","1,916","2,285","3,110","2,167","5,108","3,348","2,751","2,060","2,730"
2021년06월_계_연령구간인구수,"37,337","9,770","2,092","1,916","2,285","3,110","2,167","5,108","3,348","2,751","2,060","2,730"
2021년06월_계_0~9세,"1,261",609,55,49,38,77,46,112,85,71,49,70
2021년06월_계_10~19세,"1,937",886,120,55,78,135,94,196,111,105,57,100
2021년06월_계_20~29세,"2,754","1,173",118,104,122,216,130,247,190,208,110,136
2021년06월_계_30~39세,"2,331",951,108,75,103,188,125,231,170,138,119,123
2021년06월_계_40~49세,"3,698","1,425",168,156,190,290,185,377,266,263,165,213
2021년06월_계_50~59세,"7,047","1,639",413,411,404,662,415,"1,045",663,506,375,514
2021년06월_계_60~69세,"9,052","1,571",548,538,671,737,557,"1,447",933,677,607,766
2021년06월_계_70~79세,"5,342",939,305,287,376,476,353,851,514,460,335,446
2021년06월_계_80~89세,"3,441",526,221,215,268,294,226,516,357,292,202,324
2021년06월_계_90~99세,456,49,36,26,33,34,34,81,58,30,38,37
2021년06월_계_100세 이상,18,2,0,0,2,1,2,5,1,1,3,1
2021년06월_남_총인구수,"19,187","5,006","1,098",970,"1,190","1,571","1,100","2,649","1,706","1,418","1,057","1,422"
2021년06월_남_연령구간인구수,"19,187","5,006","1,098",970,"1,190","1,571","1,100","2,649","1,706","1,418","1,057","1,422"
2021년06월_남_0~9세,638,312,29,28,17,32,22,60,40,37,22,39
2021년06월_남_10~19세,988,451,59,28,44,67,41,110,53,49,28,58
2021년06월_남_20~29세,"1,625",673,67,62,74,110,83,166,111,128,64,87
2021년06월_남_30~39세,"1,333",511,67,43,64,108,73,126,100,82,79,80
2021년06월_남_40~49세,"2,137",768,106,81,120,178,109,213,161,157,104,140
2021년06월_남_50~59세,"3,841",901,231,229,210,364,227,567,373,287,185,267
2021년06월_남_60~69세,"4,804",778,300,296,370,405,281,789,492,361,332,400
2021년06월_남_70~79세,"2,501",410,144,123,178,214,188,410,243,209,167,215
2021년06월_남_80~89세,"1,218",189,87,76,105,85,69,190,119,102,67,129
2021년06월_남_90~99세,97,12,8,4,7,8,7,17,14,5,9,6
2021년06월_남_100세 이상,5,1,0,0,1,0,0,1,0,1,0,1
2021년06월_여_총인구수,"18,150","4,764",994,946,"1,095","1,539","1,067","2,459","1,642","1,333","1,003","1,308"
2021년06월_여_연령구간인구수,"18,150","4,764",994,946,"1,095","1,539","1,067","2,459","1,642","1,333","1,003","1,308"
2021년06월_여_0~9세,623,297,26,21,21,45,24,52,45,34,27,31
2021년06월_여_10~19세,949,435,61,27,34,68,53,86,58,56,29,42
2021년06월_여_20~29세,"1,129",500,51,42,48,106,47,81,79,80,46,49
2021년06월_여_30~39세,998,440,41,32,39,80,52,105,70,56,40,43
2021년06월_여_40~49세,"1,561",657,62,75,70,112,76,164,105,106,61,73
2021년06월_여_50~59세,"3,206",738,182,182,194,298,188,478,290,219,190,247
2021년06월_여_60~69세,"4,248",793,248,242,301,332,276,658,441,316,275,366
2021년06월_여_70~79세,"2,841",529,161,164,198,262,165,441,271,251,168,231
2021년06월_여_80~89세,"2,223",337,134,139,163,209,157,326,238,190,135,195
2021년06월_여_90~99세,359,37,28,22,26,26,27,64,44,25,29,31
2021년06월_여_100세 이상,13,1,0,0,1,1,2,4,1,0,3,0
