카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년02월_계_총인구수,"100,245","38,618","8,710","28,128","3,481","3,478","2,991","2,368","2,146","3,281","3,563","3,481"
2020년02월_계_연령구간인구수,"100,245","38,618","8,710","28,128","3,481","3,478","2,991","2,368","2,146","3,281","3,563","3,481"
2020년02월_계_0~9세,"8,019","2,638",303,"4,418",99,132,79,49,32,87,87,95
2020년02월_계_10~19세,"9,779","4,576",479,"3,563",145,236,125,79,75,153,158,190
2020년02월_계_20~29세,"9,749","4,878",631,"2,702",237,238,164,128,124,217,192,238
2020년02월_계_30~39세,"10,868","3,766",537,"5,200",213,192,150,122,107,165,213,203
2020년02월_계_40~49세,"14,716","6,323",896,"5,269",338,382,252,164,137,288,299,368
2020년02월_계_50~59세,"16,043","6,819","1,545","3,290",660,626,468,405,384,591,612,643
2020년02월_계_60~69세,"14,074","4,897","1,793","1,985",725,676,629,540,497,751,819,762
2020년02월_계_70~79세,"9,859","2,960","1,550","1,031",574,527,586,459,428,580,615,549
2020년02월_계_80~89세,"6,258","1,533",837,594,430,425,487,359,321,392,496,384
2020년02월_계_90~99세,818,212,117,73,58,42,49,62,41,50,67,47
2020년02월_계_100세 이상,62,16,22,3,2,2,2,1,0,7,5,2
2020년02월_남_총인구수,"49,839","19,158","4,274","14,075","1,746","1,775","1,438","1,191","1,042","1,606","1,783","1,751"
2020년02월_남_연령구간인구수,"49,839","19,158","4,274","14,075","1,746","1,775","1,438","1,191","1,042","1,606","1,783","1,751"
2020년02월_남_0~9세,"4,170","1,352",165,"2,311",52,75,41,26,15,40,46,47
2020년02월_남_10~19세,"4,993","2,336",249,"1,812",85,131,64,37,32,72,80,95
2020년02월_남_20~29세,"5,356","2,700",379,"1,348",139,150,96,84,74,129,118,139
2020년02월_남_30~39세,"5,650","1,946",317,"2,570",126,113,85,80,74,99,133,107
2020년02월_남_40~49세,"7,699","3,095",516,"2,677",211,222,165,104,88,190,204,227
2020년02월_남_50~59세,"8,300","3,470",782,"1,713",358,335,249,229,197,291,319,357
2020년02월_남_60~69세,"6,882","2,337",853,963,365,347,308,272,244,376,424,393
2020년02월_남_70~79세,"4,375","1,315",681,472,251,242,246,216,194,257,253,248
2020년02월_남_80~89세,"2,192",544,289,198,147,152,173,128,118,137,181,125
2020년02월_남_90~99세,205,57,38,11,11,8,10,15,6,13,23,13
2020년02월_남_100세 이상,17,6,5,0,1,0,1,0,0,2,2,0
2020년02월_여_총인구수,"50,406","19,460","4,436","14,053","1,735","1,703","1,553","1,177","1,104","1,675","1,780","1,730"
2020년02월_여_연령구간인구수,"50,406","19,460","4,436","14,053","1,735","1,703","1,553","1,177","1,104","1,675","1,780","1,730"
2020년02월_여_0~9세,"3,849","1,286",138,"2,107",47,57,38,23,17,47,41,48
2020년02월_여_10~19세,"4,786","2,240",230,"1,751",60,105,61,42,43,81,78,95
2020년02월_여_20~29세,"4,393","2,178",252,"1,354",98,88,68,44,50,88,74,99
2020년02월_여_30~39세,"5,218","1,820",220,"2,630",87,79,65,42,33,66,80,96
2020년02월_여_40~49세,"7,017","3,228",380,"2,592",127,160,87,60,49,98,95,141
2020년02월_여_50~59세,"7,743","3,349",763,"1,577",302,291,219,176,187,300,293,286
2020년02월_여_60~69세,"7,192","2,560",940,"1,022",360,329,321,268,253,375,395,369
2020년02월_여_70~79세,"5,484","1,645",869,559,323,285,340,243,234,323,362,301
2020년02월_여_80~89세,"4,066",989,548,396,283,273,314,231,203,255,315,259
2020년02월_여_90~99세,613,155,79,62,47,34,39,47,35,37,44,34
2020년02월_여_100세 이상,45,10,17,3,1,2,1,1,0,5,3,2
