카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년08월_계_총인구수,"25,696","10,829","1,282","1,544","2,571","2,713","2,293","1,487","2,977"
2020년08월_계_연령구간인구수,"25,696","10,829","1,282","1,544","2,571","2,713","2,293","1,487","2,977"
2020년08월_계_0~9세,"1,173",696,44,50,56,119,68,51,89
2020년08월_계_10~19세,"1,887","1,076",70,75,154,180,109,61,162
2020년08월_계_20~29세,"1,988","1,056",74,86,158,188,118,104,204
2020년08월_계_30~39세,"1,693",893,55,76,118,178,136,90,147
2020년08월_계_40~49세,"2,977","1,459",148,152,251,343,172,170,282
2020년08월_계_50~59세,"4,627","1,927",242,285,553,446,386,231,557
2020년08월_계_60~69세,"4,586","1,657",268,296,552,501,448,267,597
2020년08월_계_70~79세,"3,904","1,245",211,309,391,425,472,294,557
2020년08월_계_80~89세,"2,474",707,149,192,282,286,329,189,340
2020년08월_계_90~99세,367,109,21,20,53,43,53,29,39
2020년08월_계_100세 이상,20,4,0,3,3,4,2,1,3
2020년08월_남_총인구수,"12,476","5,261",636,757,"1,251","1,350","1,073",709,"1,439"
2020년08월_남_연령구간인구수,"12,476","5,261",636,757,"1,251","1,350","1,073",709,"1,439"
2020년08월_남_0~9세,586,341,22,27,32,61,32,25,46
2020년08월_남_10~19세,994,575,38,33,75,102,58,38,75
2020년08월_남_20~29세,"1,066",557,41,42,94,101,59,53,119
2020년08월_남_30~39세,897,441,25,39,71,104,78,52,87
2020년08월_남_40~49세,"1,632",745,87,97,139,195,105,100,164
2020년08월_남_50~59세,"2,552",996,143,172,310,266,230,125,310
2020년08월_남_60~69세,"2,247",812,140,149,270,244,205,130,297
2020년08월_남_70~79세,"1,622",528,86,129,155,176,198,119,231
2020년08월_남_80~89세,802,241,53,64,91,91,98,60,104
2020년08월_남_90~99세,76,25,1,5,14,9,10,7,5
2020년08월_남_100세 이상,2,0,0,0,0,1,0,0,1
2020년08월_여_총인구수,"13,220","5,568",646,787,"1,320","1,363","1,220",778,"1,538"
2020년08월_여_연령구간인구수,"13,220","5,568",646,787,"1,320","1,363","1,220",778,"1,538"
2020년08월_여_0~9세,587,355,22,23,24,58,36,26,43
2020년08월_여_10~19세,893,501,32,42,79,78,51,23,87
2020년08월_여_20~29세,922,499,33,44,64,87,59,51,85
2020년08월_여_30~39세,796,452,30,37,47,74,58,38,60
2020년08월_여_40~49세,"1,345",714,61,55,112,148,67,70,118
2020년08월_여_50~59세,"2,075",931,99,113,243,180,156,106,247
2020년08월_여_60~69세,"2,339",845,128,147,282,257,243,137,300
2020년08월_여_70~79세,"2,282",717,125,180,236,249,274,175,326
2020년08월_여_80~89세,"1,672",466,96,128,191,195,231,129,236
2020년08월_여_90~99세,291,84,20,15,39,34,43,22,34
2020년08월_여_100세 이상,18,4,0,3,3,3,2,1,2
