,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년11월_계_총인구수,"469,340","26,610","40,921","28,825","9,767","5,532","8,199","61,934","39,407","22,710","61,963","41,160","41,789","31,105","49,418"
2020년11월_계_연령구간인구수,"469,340","26,610","40,921","28,825","9,767","5,532","8,199","61,934","39,407","22,710","61,963","41,160","41,789","31,105","49,418"
2020년11월_계_0~9세,"54,595","1,690","5,239","2,344",326,150,265,"6,001","5,094","1,604","6,908","5,859","6,524","4,968","7,623"
2020년11월_계_10~19세,"47,395","2,291","3,903","2,457",555,261,456,"6,481","5,538","2,079","6,948","5,061","3,606","2,606","5,153"
2020년11월_계_20~29세,"51,423","3,212","3,967","2,981",916,513,803,"7,916","3,927","3,187","7,582","3,854","5,191","2,758","4,616"
2020년11월_계_30~39세,"75,324","2,939","7,201","3,856",854,405,661,"8,416","5,804","2,899","9,317","6,750","9,976","7,011","9,235"
2020년11월_계_40~49세,"87,582","4,032","7,516","4,797","1,266",601,888,"10,752","8,465","3,785","11,677","9,092","7,967","5,976","10,768"
2020년11월_계_50~59세,"66,521","5,132","5,478","4,982","2,183","1,196","1,716","10,560","4,983","4,180","8,908","4,761","3,877","2,985","5,580"
2020년11월_계_60~69세,"48,887","4,128","4,612","4,204","2,008","1,267","1,727","6,608","3,125","2,774","5,899","3,271","2,803","2,653","3,808"
2020년11월_계_70~79세,"25,663","2,006","2,074","2,157","1,072",704,"1,040","3,462","1,736","1,469","3,289","1,795","1,343","1,607","1,909"
2020년11월_계_80~89세,"10,387","1,036",783,884,511,357,567,"1,529",654,638,"1,273",629,434,465,627
2020년11월_계_90~99세,"1,490",140,134,155,74,73,70,198,78,88,154,87,66,74,99
2020년11월_계_100세 이상,73,4,14,8,2,5,6,11,3,7,8,1,2,2,0
2020년11월_남_총인구수,"235,230","14,185","20,441","15,208","5,698","3,039","4,469","30,566","19,235","11,368","30,379","20,271","20,803","15,406","24,162"
2020년11월_남_연령구간인구수,"235,230","14,185","20,441","15,208","5,698","3,039","4,469","30,566","19,235","11,368","30,379","20,271","20,803","15,406","24,162"
2020년11월_남_0~9세,"27,839",873,"2,712","1,175",173,73,143,"2,990","2,556",853,"3,512","3,017","3,317","2,545","3,900"
2020년11월_남_10~19세,"24,167","1,229","2,019","1,274",301,132,257,"3,326","2,796","1,084","3,559","2,494","1,766","1,299","2,631"
2020년11월_남_20~29세,"26,597","1,899","2,011","1,631",567,306,480,"4,222","1,970","1,698","3,740","2,002","2,507","1,329","2,235"
2020년11월_남_30~39세,"37,037","1,661","3,475","2,152",546,232,394,"4,075","2,684","1,476","4,464","3,182","5,007","3,502","4,187"
2020년11월_남_40~49세,"45,534","2,247","3,890","2,707",815,380,551,"5,268","4,177","1,928","5,761","4,656","4,314","3,216","5,624"
2020년11월_남_50~59세,"33,997","2,789","2,717","2,726","1,380",691,976,"5,242","2,537","2,090","4,447","2,406","1,841","1,423","2,732"
2020년11월_남_60~69세,"23,794","2,177","2,242","2,161","1,158",690,923,"3,296","1,442","1,336","2,804","1,476","1,254","1,138","1,697"
2020년11월_남_70~79세,"11,964",898,"1,044","1,012",534,386,497,"1,529",801,649,"1,554",796,617,763,884
2020년11월_남_80~89세,"3,924",372,298,334,204,134,225,562,251,239,499,226,165,168,247
2020년11월_남_90~99세,358,38,31,33,20,14,21,53,19,15,37,16,14,22,25
2020년11월_남_100세 이상,19,2,2,3,0,1,2,3,2,0,2,0,1,1,0
2020년11월_여_총인구수,"234,110","12,425","20,480","13,617","4,069","2,493","3,730","31,368","20,172","11,342","31,584","20,889","20,986","15,699","25,256"
2020년11월_여_연령구간인구수,"234,110","12,425","20,480","13,617","4,069","2,493","3,730","31,368","20,172","11,342","31,584","20,889","20,986","15,699","25,256"
2020년11월_여_0~9세,"26,756",817,"2,527","1,169",153,77,122,"3,011","2,538",751,"3,396","2,842","3,207","2,423","3,723"
2020년11월_여_10~19세,"23,228","1,062","1,884","1,183",254,129,199,"3,155","2,742",995,"3,389","2,567","1,840","1,307","2,522"
2020년11월_여_20~29세,"24,826","1,313","1,956","1,350",349,207,323,"3,694","1,957","1,489","3,842","1,852","2,684","1,429","2,381"
2020년11월_여_30~39세,"38,287","1,278","3,726","1,704",308,173,267,"4,341","3,120","1,423","4,853","3,568","4,969","3,509","5,048"
2020년11월_여_40~49세,"42,048","1,785","3,626","2,090",451,221,337,"5,484","4,288","1,857","5,916","4,436","3,653","2,760","5,144"
2020년11월_여_50~59세,"32,524","2,343","2,761","2,256",803,505,740,"5,318","2,446","2,090","4,461","2,355","2,036","1,562","2,848"
2020년11월_여_60~69세,"25,093","1,951","2,370","2,043",850,577,804,"3,312","1,683","1,438","3,095","1,795","1,549","1,515","2,111"
2020년11월_여_70~79세,"13,699","1,108","1,030","1,145",538,318,543,"1,933",935,820,"1,735",999,726,844,"1,025"
2020년11월_여_80~89세,"6,463",664,485,550,307,223,342,967,403,399,774,403,269,297,380
2020년11월_여_90~99세,"1,132",102,103,122,54,59,49,145,59,73,117,71,52,52,74
2020년11월_여_100세 이상,54,2,12,5,2,4,4,8,1,7,6,1,1,1,0
