카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년01월_계_총인구수,"1,599,658","845,710","191,363","194,154","266,196","193,997","210,139","132,759","32,364","50,468","47,230","36,807","83,849","38,338","92,945","29,049"
2021년01월_계_연령구간인구수,"1,599,658","845,710","191,363","194,154","266,196","193,997","210,139","132,759","32,364","50,468","47,230","36,807","83,849","38,338","92,945","29,049"
2021년01월_계_0~9세,"122,503","73,844","16,182","13,605","24,141","19,916","14,474","8,661","1,445","2,564","2,305","3,199","7,700","1,295","5,832","1,184"
2021년01월_계_10~19세,"148,922","86,043","19,850","20,253","26,537","19,403","18,846","11,613","2,098","3,887","3,350","3,353","8,079","2,068","7,615","1,970"
2021년01월_계_20~29세,"198,562","120,041","24,686","28,230","41,078","26,047","24,311","14,649","2,363","4,348","4,377","4,512","9,267","3,062","9,431","2,201"
2021년01월_계_30~39세,"194,224","118,352","23,091","22,505","41,270","31,486","23,307","12,947","2,194","3,866","3,234","4,725","11,510","2,493","9,587","2,009"
2021년01월_계_40~49세,"240,713","136,576","30,503","30,520","43,251","32,302","30,880","18,363","3,304","6,213","5,314","5,580","13,584","3,930","13,673","3,296"
2021년01월_계_50~59세,"273,075","137,889","33,109","34,120","43,042","27,618","37,531","23,933","5,850","8,940","8,434","6,030","13,741","7,402","17,696","5,629"
2021년01월_계_60~69세,"225,183","98,153","24,245","25,412","27,941","20,555","32,011","22,941","6,874","9,933","9,232","5,025","10,441","8,791","15,382","6,400"
2021년01월_계_70~79세,"120,768","47,522","12,374","12,479","12,217","10,452","17,454","12,479","4,582","6,359","6,525","2,691","5,545","5,462","8,249","3,900"
2021년01월_계_80~89세,"65,860","23,668","6,266","6,116","5,862","5,424","9,955","6,264","3,130","3,757","3,893","1,501","3,490","3,356","4,693","2,153"
2021년01월_계_90~99세,"9,278","3,432","1,001",865,822,744,"1,301",832,497,574,526,181,473,449,729,284
2021년01월_계_100세 이상,570,190,56,49,35,50,69,77,27,27,40,10,19,30,58,23
2021년01월_남_총인구수,"811,057","426,213","95,118","96,402","135,102","99,591","106,269","66,633","16,271","25,447","23,487","19,125","43,937","19,702","49,247","14,726"
