카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년11월_계_총인구수,"473,468","36,810","38,563","27,645","21,996","28,241","32,318","26,884","32,976","27,621","24,423","45,548","27,061","20,312","14,912","12,196","55,962"
2021년11월_계_연령구간인구수,"473,468","36,810","38,563","27,645","21,996","28,241","32,318","26,884","32,976","27,621","24,423","45,548","27,061","20,312","14,912","12,196","55,962"
2021년11월_계_0~9세,"27,772","2,371","2,196","1,005",887,"1,389","1,644","1,035","2,520","3,154",941,"2,406","1,472","1,017",669,850,"4,216"
2021년11월_계_10~19세,"37,284","2,175","2,578","1,673","1,432","2,320","2,805","1,546","2,687","2,320","1,474","3,326","1,995","1,582","1,134",847,"7,390"
2021년11월_계_20~29세,"65,402","4,900","5,086","4,194","3,489","4,304","4,337","4,831","4,479","2,641","3,537","6,472","3,805","2,863","1,988","1,571","6,905"
2021년11월_계_30~39세,"67,046","5,997","5,352","3,808","2,897","3,790","4,035","4,224","5,468","4,802","3,304","6,302","3,969","2,706","1,960","1,896","6,536"
2021년11월_계_40~49세,"74,142","5,526","5,686","3,610","3,066","4,482","4,940","3,850","5,573","5,338","3,400","7,374","4,136","3,050","2,152","1,705","10,254"
2021년11월_계_50~59세,"77,137","5,881","6,640","4,803","3,810","4,757","5,654","4,182","4,881","3,771","4,031","7,588","4,368","3,450","2,520","2,119","8,682"
2021년11월_계_60~69세,"66,949","5,299","5,738","4,531","3,559","3,834","4,834","3,678","3,947","3,034","3,829","6,495","4,071","3,208","2,483","1,799","6,610"
2021년11월_계_70~79세,"38,603","3,107","3,416","2,736","1,994","2,280","2,720","2,345","2,313","1,700","2,534","3,835","2,232","1,621","1,370",927,"3,473"
2021년11월_계_80~89세,"16,956","1,365","1,661","1,137",756,975,"1,199","1,067",993,761,"1,227","1,566",911,719,567,425,"1,627"
2021년11월_계_90~99세,"2,090",184,199,134,102,108,146,120,113,96,142,175,101,91,66,57,256
2021년11월_계_100세 이상,87,5,11,14,4,2,4,6,2,4,4,9,1,5,3,0,13
2021년11월_남_총인구수,"226,555","17,438","18,199","13,377","10,740","13,365","15,849","12,518","15,627","13,409","11,902","21,406","13,032","10,139","7,278","6,010","26,266"
2021년11월_남_연령구간인구수,"226,555","17,438","18,199","13,377","10,740","13,365","15,849","12,518","15,627","13,409","11,902","21,406","13,032","10,139","7,278","6,010","26,266"
2021년11월_남_0~9세,"14,270","1,184","1,127",507,478,716,812,549,"1,270","1,650",509,"1,199",733,538,348,435,"2,215"
2021년11월_남_10~19세,"19,072","1,059","1,364",855,747,"1,164","1,374",711,"1,407","1,203",770,"1,667","1,053",875,573,449,"3,801"
2021년11월_남_20~29세,"31,231","2,306","2,434","2,070","1,759","2,083","2,086","2,098","2,036","1,331","1,783","3,071","1,902","1,473",977,798,"3,024"
2021년11월_남_30~39세,"32,924","2,931","2,646","1,975","1,576","1,861","2,026","2,084","2,627","2,250","1,735","3,014","1,997","1,425","1,007",956,"2,814"
2021년11월_남_40~49세,"36,674","2,808","2,750","1,890","1,567","2,172","2,504","1,884","2,746","2,715","1,744","3,667","2,054","1,547","1,072",857,"4,697"
2021년11월_남_50~59세,"37,163","2,833","3,106","2,249","1,739","2,229","2,818","2,051","2,377","1,844","1,997","3,542","2,048","1,689","1,226","1,070","4,345"
2021년11월_남_60~69세,"30,900","2,370","2,607","2,113","1,633","1,731","2,373","1,653","1,764","1,378","1,784","2,898","1,883","1,547","1,187",879,"3,100"
2021년11월_남_70~79세,"16,873","1,342","1,444","1,212",895,969,"1,301","1,001",975,719,"1,049","1,680",964,741,621,411,"1,549"
2021년11월_남_80~89세,"6,858",559,653,465,324,406,512,452,392,293,489,627,372,273,248,145,648
2021년11월_남_90~99세,570,44,66,37,21,34,43,35,32,25,42,40,26,30,18,10,67
2021년11월_남_100세 이상,20,2,2,4,1,0,0,0,1,1,0,1,0,1,1,0,6
2021년11월_여_총인구수,"246,913","19,372","20,364","14,268","11,256","14,876","16,469","14,366","17,349","14,212","12,521","24,142","14,029","10,173","7,634","6,186","29,696"
2021년11월_여_연령구간인구수,"246,913","19,372","20,364","14,268","11,256","14,876","16,469","14,366","17,349","14,212","12,521","24,142","14,029","10,173","7,634","6,186","29,696"
